category,name,functionality,specialty,specialist,surgeon
Organ,Heart,Engine,Cardiology,Cardiologist,
Organ,Brain & Nervous System,Control Center,Neurology,Neurologist,Neurosurgeon
Organ,Lungs,Inject Fuel,Pulmonology,Pulmonologist,
Organ,"Stomach, Intestines, Liver, Pancreas, Gallbladder",Convert Nutrient and Blood Filtering,Gastroenterology,Gastroenterologist,
Organ,Hormones & Glands,,Endocrinology,Endocrinologist,
Organ,Blood & Bone Marrow & Spleen,Remove Old Blood Cells,Hematology,Hematologist,
Organ,Cancer,,Oncology,Oncologist,
Organ,Immune System,,Immunology,Immunologist,
Organ,Kidneys,Blood Filtering,Nephrology,Nephrologist,
Organ,Urinary System,,Urology,Urologist,
Organ,Children’s Health,,Pediatrics,Pediatrician,
Organ,Female Reproductive Health & Pregnancy,,Gynecology & Obstetrics,Gynecologist / Obstetrician,
Organ,Male Reproductive Health,,Andrology,Andrologist,
Organ,"Bones, Joints, Muscles",,Orthopedics,,Orthopedic Surgeon
Organ,"Joints, Autoimmune Diseases",,Rheumatology,Rheumatologist,
Organ,"Skin, Hair, Nails",Cover the body,Dermatology,Dermatologist,
Organ,Eyes,Vision,Ophthalmology,Ophthalmologist,
Organ,"Ear, Nose, Throat",Sound,Otolaryngology,Otolaryngologist,
Organ,"Teeth, Jaw",,Dentistry / Oral & Maxillofacial Surgery,Dentist,
Organ,Mental Health,,Psychiatry,Psychiatrist,
Part,Frontal Lobe,,Neurology,,
Part,Parietal Lobe,,Neurology,,
Part,Temporal Lobe,,Neurology,,
Part,Occipital Lobe,,Neurology,,
Part,Cerebellum,,Neurology,,
Part,Spinal Cord,,Neurology,,
Part,Iris,,Ophthalmology,,
Part,Pupil,,Ophthalmology,,
Part,Sclera,,Ophthalmology,,
Part,Retina,,Ophthalmology,,
Part,Macula,,Ophthalmology,,
Part,Optic Nerve,,Ophthalmology,,
