artist,album,track_no,track
Kendrick Lamar,To Pimp a Butterfly,1,Wesley's Theory (featuring George Clinton and Thundercat)
Kendrick Lamar,To Pimp a Butterfly,2,For Free? (Interlude)
Kendrick Lamar,To Pimp a Butterfly,3,King Kunta
Kendrick Lamar,To Pimp a Butterfly,4,"Institutionalized (featuring Bilal, Anna Wise, and Snoop Dogg)"
Kendrick Lamar,To Pimp a Butterfly,5,"These Walls (featuring Bilal, Anna Wise, and Thundercat)"
Kendrick Lamar,To Pimp a Butterfly,6,U
Kendrick Lamar,To Pimp a Butterfly,7,Alright
Kendrick Lamar,To Pimp a Butterfly,8,For Sale? (Interlude)
Kendrick Lamar,To Pimp a Butterfly,9,Momma
Kendrick Lamar,To Pimp a Butterfly,10,Hood Politics
Kendrick Lamar,To Pimp a Butterfly,11,How Much a Dollar Cost (featuring James Fauntleroy and Ronald Isley)
Kendrick Lamar,To Pimp a Butterfly,12,Complexion (A Zulu Love) (featuring Rapsody)
Kendrick Lamar,To Pimp a Butterfly,13,The Blacker the Berry
Kendrick Lamar,To Pimp a Butterfly,14,You Ain't Gotta Lie (Momma Said)
Kendrick Lamar,To Pimp a Butterfly,15,I
Kendrick Lamar,To Pimp a Butterfly,16,Mortal Man
Kendrick Lamar,Mr. Morale & the Big Steppers,1,United in Grief
Kendrick Lamar,Mr. Morale & the Big Steppers,2,N95
Kendrick Lamar,Mr. Morale & the Big Steppers,3,Worldwide Steppers
Kendrick Lamar,Mr. Morale & the Big Steppers,4,Die Hard (with Blxst and Amanda Reifer)
Kendrick Lamar,Mr. Morale & the Big Steppers,5,Father Time (featuring Sampha)
Kendrick Lamar,Mr. Morale & the Big Steppers,6,Rich (interlude)
Kendrick Lamar,Mr. Morale & the Big Steppers,7,Rich Spirit
Kendrick Lamar,Mr. Morale & the Big Steppers,8,We Cry Together (with Taylour Paige)
Kendrick Lamar,Mr. Morale & the Big Steppers,9,Purple Hearts (with Summer Walker and Ghostface Killah)
Kendrick Lamar,Mr. Morale & the Big Steppers,10,Count Me Out
Kendrick Lamar,Mr. Morale & the Big Steppers,11,Crown
Kendrick Lamar,Mr. Morale & the Big Steppers,12,Silent Hill (with Kodak Black)
Kendrick Lamar,Mr. Morale & the Big Steppers,13,Savior (interlude)
Kendrick Lamar,Mr. Morale & the Big Steppers,14,Savior (with Baby Keem and Sam Dew)
Kendrick Lamar,Mr. Morale & the Big Steppers,15,Auntie Diaries
Kendrick Lamar,Mr. Morale & the Big Steppers,16,Mr. Morale (with Tanna Leone)
Kendrick Lamar,Mr. Morale & the Big Steppers,17,Mother I Sober (featuring Beth Gibbons)
Kendrick Lamar,Mr. Morale & the Big Steppers,18,Mirror
Kendrick Lamar,Mr. Morale & the Big Steppers,19,The Heart Part 5
Kendrick Lamar,GNX,1,Wacced Out Murals
Kendrick Lamar,GNX,2,Squabble Up
Kendrick Lamar,GNX,3,Luther (with SZA)
Kendrick Lamar,GNX,4,Man at the Garden
Kendrick Lamar,GNX,5,Hey Now (featuring Dody6)
Kendrick Lamar,GNX,6,Reincarnated
Kendrick Lamar,GNX,7,TV Off (featuring Lefty Gunplay)
Kendrick Lamar,GNX,8,"Dodger Blue (featuring Wallie the Sensei, Siete7x, and Roddy Ricch)"
Kendrick Lamar,GNX,9,Peekaboo (featuring AzChike)
Kendrick Lamar,GNX,10,Heart Pt. 6
Kendrick Lamar,GNX,11,"GNX (featuring Hitta J3, YoungThreat, and Peysoh)"
Kendrick Lamar,GNX,12,Gloria (with SZA)
