field,year,laureates
Physics,2025,"John Clarke, John M. Martinis, Michel H. Devoret"
Physics,2024,"Geoffrey Hinton, John J. Hopfield"
Physics,2023,"Anne L'Huillier, Ferenc Krausz, Pierre Agostini"
Physics,2022,"Alain Aspect, Anton Zeilinger, John Clauser"
Physics,2021,"Giorgio Parisi, Klaus Hasselmann, Syukuro Manabe"
Physics,2020,"Andrea Ghez, Reinhard Genzel, Roger Penrose"
Physics,2019,"Didier Queloz, James Peebles, Michel Mayor"
Physics,2018,"Arthur Ashkin, Donna Strickland, Gérard Mourou"
Physics,2017,"Barry C. Barish, Kip S. Thorne, Rainer Weiss"
Physics,2016,"David J. Thouless, F. Duncan M. Haldane, J. Michael Kosterlitz"
Physics,2015,"Arthur B. McDonald, Takaaki Kajita"
Physics,2014,"Hiroshi Amano, Isamu Akasaki, Shuji Nakamura"
Physics,2013,"François Englert, Peter Higgs"
Physics,2012,"David J. Wineland, Serge Haroche"
Physics,2011,"Adam G. Riess, Brian P. Schmidt, Saul Perlmutter"
Physics,2010,"Andre Geim, Konstantin Novoselov"
Physics,2009,"Charles K. Kao, George E. Smith, Willard S. Boyle"
Physics,2008,"Makoto Kobayashi, Toshihide Maskawa"
Physics,2007,"Albert Fert, Peter Grünberg"
Physics,2006,"George F. Smoot, John C. Mather"
Physics,2005,"John L. Hall, Roy J. Glauber, Theodor W. Hänsch"
Physics,2004,"David J. Gross, Frank Wilczek, H. David Politzer"
Physics,2003,"Alexei Abrikosov, Anthony J. Leggett, Vitaly L. Ginzburg"
Physics,2002,"Masatoshi Koshiba, Raymond Davis Jr., Riccardo Giacconi"
Physics,2001,"Carl Wieman, Eric Cornell"
Physics,2000,"Herbert Kroemer, Jack Kilby"
Physics,1999,"Gerardus 't Hooft, Martinus J.G. Veltman"
Physics,1998,"Daniel C. Tsui, Horst L. Störmer, Robert B. Laughlin"
Physics,1997,"Claude Cohen-Tannoudji, Steven Chu, William D. Phillips"
Physics,1996,"David M. Lee, Douglas D. Osheroff, Robert C. Richardson"
Physics,1995,"Frederick Reines, Martin L. Perl"
Physics,1994,"Bertram N. Brockhouse, Clifford G. Shull"
Physics,1993,"Joseph H. Taylor Jr., Russell A. Hulse"
Physics,1992,Georges Charpak
Physics,1991,Pierre-Gilles de Gennes
Physics,1990,"Henry W. Kendall, Jerome I. Friedman, Richard E. Taylor"
Physics,1989,"Hans G. Dehmelt, Norman F. Ramsey"
Physics,1988,"Jack Steinberger, Leon M. Lederman, Melvin Schwartz"
Physics,1987,"J. Georg Bednorz, K. Alex Müller"
Physics,1986,"Ernst Ruska, Gerd Binnig, Heinrich Rohrer"
Physics,1985,Klaus von Klitzing
Physics,1984,"Carlo Rubbia, Simon van der Meer"
Physics,1983,"Subrahmanyan Chandrasekhar, William A. Fowler"
Physics,1982,Kenneth G. Wilson
Physics,1981,"Arthur L. Schawlow, Kai M. Siegbahn, Nicolaas Bloembergen"
Physics,1980,"James Cronin, Val Fitch"
Physics,1979,"Abdus Salam, Sheldon Glashow, Steven Weinberg"
Physics,1978,"Arno Penzias, Pyotr Kapitsa, Robert Woodrow Wilson"
Physics,1977,"John H. Van Vleck, Philip W. Anderson, Sir Nevill F. Mott"
Physics,1976,"Burton Richter, Samuel C.C. Ting"
Physics,1975,"Aage N. Bohr, Ben R. Mottelson, James Rainwater"
Physics,1974,"Antony Hewish, Martin Ryle"
Physics,1973,"Brian D. Josephson, Ivar Giaever, Leo Esaki"
Physics,1972,"John Bardeen, Leon N. Cooper, Robert Schrieffer"
Physics,1971,Dennis Gabor
Physics,1970,"Hannes Alfvén, Louis Néel"
Physics,1969,Murray Gell-Mann
Physics,1968,Luis Alvarez
Physics,1967,Hans Bethe
Physics,1966,Alfred Kastler
Physics,1965,"Julian Schwinger, Richard P. Feynman, Sin-Itiro Tomonaga"
Physics,1964,"Aleksandr M. Prokhorov, Charles H. Townes, Nicolay G. Basov"
Physics,1963,"Eugene Wigner, J. Hans D. Jensen, Maria Goeppert Mayer"
Physics,1962,Lev Landau
Physics,1961,"Robert Hofstadter, Rudolf Mössbauer"
Physics,1960,Donald A. Glaser
Physics,1959,"Emilio Segrè, Owen Chamberlain"
Physics,1958,"Igor Y. Tamm, Il'ja M. Frank, Pavel A. Cherenkov"
Physics,1957,"Chen Ning Yang, Tsung-Dao Lee"
Physics,1956,"John Bardeen, Walter H. Brattain, William B. Shockley"
Physics,1955,"Polykarp Kusch, Willis E. Lamb"
Physics,1954,"Max Born, Walther Bothe"
Physics,1953,Frits Zernike
Physics,1952,"E. M. Purcell, Felix Bloch"
Physics,1951,"Ernest T.S. Walton, John Cockcroft"
Physics,1950,Cecil Powell
Physics,1949,Hideki Yukawa
Physics,1948,Patrick M.S. Blackett
Physics,1947,Edward V. Appleton
Physics,1946,Percy W. Bridgman
Physics,1944,Isidor Isaac Rabi
Physics,1943,Otto Stern
Physics,1939,Ernest Lawrence
Physics,1938,Enrico Fermi
Physics,1937,"Clinton Davisson, George Paget Thomson"
Physics,1936,"Carl D. Anderson, Victor F. Hess"
Physics,1935,James Chadwick
Physics,1933,"Erwin Schrödinger, Paul A.M. Dirac"
Physics,1932,Werner Heisenberg
Physics,1930,Sir Chandrasekhara Venkata Raman
Physics,1929,Louis de Broglie
Physics,1928,Owen Willans Richardson
Physics,1927,"Arthur H. Compton, C.T.R. Wilson"
Physics,1926,Jean Baptiste Perrin
Physics,1925,"Gustav Hertz, James Franck"
Physics,1924,Manne Siegbahn
Physics,1923,Robert A. Millikan
Physics,1922,Niels Bohr
Physics,1921,Albert Einstein
Physics,1920,Charles Edouard Guillaume
Physics,1919,Johannes Stark
Physics,1918,Max Planck
Physics,1917,Charles Glover Barkla
Physics,1915,"Lawrence Bragg, William Bragg"
Physics,1914,Max von Laue
Physics,1913,Heike Kamerlingh Onnes
Physics,1912,Gustaf Dalén
Physics,1911,Wilhelm Wien
Physics,1910,Johannes Diderik van der Waals
Physics,1909,"Ferdinand Braun, Guglielmo Marconi"
Physics,1908,Gabriel Lippmann
Physics,1907,Albert A. Michelson
Physics,1906,J.J. Thomson
Physics,1905,Philipp Lenard
Physics,1904,Lord Rayleigh
Physics,1903,"Henri Becquerel, Marie Curie, Pierre Curie"
Physics,1902,"Hendrik A. Lorentz, Pieter Zeeman"
Physics,1901,Wilhelm Conrad Röntgen
Chemistry,2025,"Omar M. Yaghi, Richard Robson, Susumu Kitagawa"
Chemistry,2024,"David Baker, Demis Hassabis, John Jumper"
Chemistry,2023,"Aleksey Yekimov, Louis Brus, Moungi Bawendi"
Chemistry,2022,"Carolyn Bertozzi, K. Barry Sharpless, Morten Meldal"
Chemistry,2021,"Benjamin List, David W.C. MacMillan"
Chemistry,2020,"Emmanuelle Charpentier, Jennifer A. Doudna"
Chemistry,2019,"Akira Yoshino, John B. Goodenough, M. Stanley Whittingham"
Chemistry,2018,"Frances H. Arnold, George P. Smith, Sir Gregory P. Winter"
Chemistry,2017,"Jacques Dubochet, Joachim Frank, Richard Henderson"
Chemistry,2016,"Bernard L. Feringa, Jean-Pierre Sauvage, Sir J. Fraser Stoddart"
Chemistry,2015,"Aziz Sancar, Paul Modrich, Tomas Lindahl"
Chemistry,2014,"Eric Betzig, Stefan W. Hell, William E. Moerner"
Chemistry,2013,"Arieh Warshel, Martin Karplus, Michael Levitt"
Chemistry,2012,"Brian Kobilka, Robert J. Lefkowitz"
Chemistry,2011,Dan Shechtman
Chemistry,2010,"Akira Suzuki, Ei-ichi Negishi, Richard F. Heck"
Chemistry,2009,"Ada E. Yonath, Thomas A. Steitz, Venkatraman Ramakrishnan"
Chemistry,2008,"Martin Chalfie, Osamu Shimomura, Roger Y. Tsien"
Chemistry,2007,Gerhard Ertl
Chemistry,2006,Roger D. Kornberg
Chemistry,2005,"Richard R. Schrock, Robert H. Grubbs"
Chemistry,2004,"Aaron Ciechanover, Avram Hershko, Irwin Rose"
Chemistry,2003,"Peter Agre, Roderick MacKinnon"
Chemistry,2002,"John B. Fenn, Koichi Tanaka, Kurt Wüthrich"
Chemistry,2001,"K. Barry Sharpless, Ryoji Noyori, William Knowles"
Chemistry,2000,"Alan Heeger, Alan MacDiarmid, Hideki Shirakawa"
Chemistry,1999,Ahmed Zewail
Chemistry,1998,"John Pople, Walter Kohn"
Chemistry,1997,"Jens C. Skou, John E. Walker, Paul D. Boyer"
Chemistry,1996,"Richard E. Smalley, Robert F. Curl Jr., Sir Harold Kroto"
Chemistry,1995,"F. Sherwood Rowland, Mario J. Molina, Paul J. Crutzen"
Chemistry,1994,George A. Olah
Chemistry,1993,"Kary B. Mullis, Michael Smith"
Chemistry,1992,Rudolph A. Marcus
Chemistry,1991,Richard R. Ernst
