tournament,year,champion,runner_up
World Cup,1930,Uruguay,Argentina
World Cup,1934,Italy,Czechoslovakia
World Cup,1938,Italy,Hungary
World Cup,1942,No competition (World War II),—
World Cup,1946,No competition (World War II),—
World Cup,1950,Uruguay,Brazil
World Cup,1954,West Germany,Hungary
World Cup,1958,Brazil,Sweden
World Cup,1962,Brazil,Czechoslovakia
World Cup,1966,England,West Germany
World Cup,1970,Brazil,Italy
World Cup,1974,West Germany,Netherlands
World Cup,1978,Argentina,Netherlands
World Cup,1982,Italy,West Germany
World Cup,1986,Argentina,West Germany
World Cup,1990,West Germany,Argentina
World Cup,1994,Brazil,Italy
World Cup,1998,France,Brazil
World Cup,2002,Brazil,Germany
World Cup,2006,Italy,France
World Cup,2010,Spain,Netherlands
World Cup,2014,Germany,Argentina
World Cup,2018,France,Croatia
World Cup,2022,Argentina,France
Euro,1960,Soviet Union,Yugoslavia
Euro,1964,Spain,Soviet Union
Euro,1968,Italy,Yugoslavia
Euro,1972,West Germany,Soviet Union
Euro,1976,Czechoslovakia,West Germany
Euro,1980,West Germany,Belgium
Euro,1984,France,Spain
Euro,1988,Netherlands,Soviet Union
Euro,1992,Denmark,Germany
Euro,1996,Germany,Czech Republic
Euro,2000,France,Italy
Euro,2004,Greece,Portugal
Euro,2008,Spain,Germany
Euro,2012,Spain,Italy
Euro,2016,Portugal,France
Euro,2020,Italy,England
Euro,2024,Spain,England
Copa America,1916,Uruguay,Argentina
Copa America,1917,Uruguay,Argentina
Copa America,1919,Brazil,Uruguay
Copa America,1920,Uruguay,Argentina
Copa America,1921,Argentina,Brazil
Copa America,1922,Brazil,Paraguay
Copa America,1923,Uruguay,Argentina
Copa America,1924,Uruguay,Argentina
Copa America,1925,Argentina,Brazil
Copa America,1926,Uruguay,Argentina
Copa America,1927,Argentina,Uruguay
Copa America,1929,Argentina,Paraguay
Copa America,1935,Uruguay,Argentina
Copa America,1937,Argentina,Brazil
Copa America,1939,Peru,Uruguay
Copa America,1941,Argentina,Uruguay
Copa America,1942,Uruguay,Argentina
Copa America,1945,Argentina,Brazil
Copa America,1946,Argentina,Brazil
Copa America,1947,Argentina,Paraguay
Copa America,1949,Brazil,Paraguay
Copa America,1953,Paraguay,Brazil
Copa America,1955,Argentina,Chile
Copa America,1956,Uruguay,Chile
Copa America,1957,Argentina,Brazil
Copa America,1959,Argentina,Brazil
Copa America,1959,Uruguay,Argentina
Copa America,1963,Bolivia,Paraguay
Copa America,1967,Uruguay,Argentina
Copa America,1975,Peru,Colombia
Copa America,1979,Paraguay,Chile
Copa America,1983,Uruguay,Brazil
