name,author,year,status
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2014,To Read
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,2016,To Read
"Sapiens: A Graphic History, Volume 1 – The Birth of Humankind",Yuval Noah Harari,2020,To Read
"Sapiens: A Graphic History, Volume 2 − The Pillars of Civilization",Yuval Noah Harari,2021,To Read
"Sapiens: A Graphic History, Volume 3 − The Masters of History",Yuval Noah Harari,2024,To Read
The Tipping Point,Malcolm Gladwell,,Read
Blink,Malcolm Gladwell,,Read
Outliers,Malcolm Gladwell,,Read
David and Goliath,Malcolm Gladwell,,Read
An Absolutely Remarkable Thing,Hank Green,2018,To Read
The Fault in Our Stars,John Green,2012,To Read
