category,name,region,house,capital,sigil,motto
Kingdom,Kingdom of the North,,Stark,Winterfell,,
Kingdom,Kingdom of the Mountain and the Vale,,Arryn,The Eyrie,,
Kingdom,Kingdom of the Isles and the Rivers,,Hoare,Harrenhal,,
Kingdom,Kingdom of the Rock,,Lannister,Casterly Rock,,
Kingdom,Kingdom of the Reach,,Gardener,Highgarden,,
Kingdom,Storm Kingdom,,Durrandon,Storm's End,,
Kingdom,Principality of Dorne*,,Martell,Sunspear,,
House,Targaryen,Crownlands,,Dragonstone,Three-Headed Red Dragon,Fire and Blood
House,Stark,The North,,Winterfell,Grey Direwolf,Winter is Coming
House,Baratheon,Stormlands,,Storm's End,Black Stag on Gold,Ours is the Fury
House,Lannister,Westerlands,,Casterly Rock,Golden Lion,Hear Me Roar!
House,Tyrell,The Reach,,Highgarden,Golden Rose,Growing Strong
House,Tully,Riverlands,,Riverrun,Silver Trout,"Family, Duty, Honor"
House,Arryn,The Vale,,The Eyrie,Falcon and Crescent Moon,As High as Honor
House,Martell,Dorne,,Sunspear,Red Sun Pierced by a Spear,"Unbowed, Unbent, Unbroken"
House,Greyjoy,Iron Islands,,Pyke,Golden Kraken,We Do Not Sow
