family,branch,language,goals
Austroasiatic,Vietic,Vietnamese,Mother Tongue
Afro-Asiatic,Semitic,Arabic,
Austronesian,Malayo-Polynesian,Indonesian,
Austronesian,Malayo-Polynesian,Javanese,
Austronesian,Malayo-Polynesian,Tagalog,
Dravidian,South,Kannada,
Dravidian,South,Malayalam,
Dravidian,South,Tamil,
Dravidian,South-Central,Telugu,
Indo-European,Germanic,Dutch,A1
Indo-European,Germanic,English,IELTS 8.0
Indo-European,Germanic,German,A1
Indo-European,Indo-Aryan,Bengali,
Indo-European,Indo-Aryan,Gujarati,
Indo-European,Indo-Aryan,Hindi,
Indo-European,Indo-Aryan,Marathi,
Indo-European,Indo-Aryan,Punjabi,
Indo-European,Indo-Aryan,Urdu,
Indo-European,Iranian,Persian,
Indo-European,Romance,French,
Indo-European,Romance,Italian,
Indo-European,Romance,Portuguese,
Indo-European,Romance,Spanish,
Indo-European,Slavic,Polish,
Indo-European,Slavic,Russian,
Japonic,—,Japanese,
Koreanic,—,Korean,TOPIK I - Level 2
Kra-Dai,Tai,Thai,
Niger-Congo,Bantu,Swahili,
Sino-Tibetan,Sinitic,Cantonese,
Sino-Tibetan,Sinitic,Mandarin Chinese,
Sino-Tibetan,Tibeto-Burman,Burmese,
Turkic,Common Turkic,Turkish,
