name,chesscom,birth_year,generation,country,peak,note
Magnus Carlsen,magnuscarlsen,1990,Gen Y,Norway,2882,16th World Champion
Garry Kasparov,garrykasparov,1963,Baby Boomers,Russia,2851,13th World Champion
Fabiano Caruana,fabianocaruana,1992,Gen Y,United States,2844,World Champion Challenger
Levon Aronian,levonaronian,1982,Gen Y,United States,2830,World Blitz Champion
Wesley So,gmwso,1993,Gen Y,United States,2822,World Fisher Champion
Shakhriyar Mamedyarov,azerichess,1985,Gen Y,Azerbaijan,2820,World Rapid Champion
Maxime Vachier-Lagrave,lyonbeast,1990,Gen Y,France,2819,World Blitz Champion
Viswanathan Anand,thevish,1969,Gen X,India,2817,15th World Champion
Vladimir Kramnik,vladimirkramnik,1975,Gen X,Russia,2817,14th World Champion
Veselin Topalov,veselintopalov359,1975,Gen X,Bulgaria,2816,World Champion Challenger
Hikaru Nakamura,hikaru,1987,Gen Y,United States,2816,World Fisher Champion
Ding Liren,chefshouse,1992,Gen Y,China,2816,17th World Champion
Alexander Grischuk,grischuk,1983,Gen Y,Russia,2810,World Blitz Champion
Alireza Firouzja,firouzja2003,2003,Gen Z,France,2804,
Arjun Erigaisi,ghandeevam2003,2003,Gen Z,India,2801,
Anish Giri,anishgiri,1994,Gen Y,Netherlands,2798,
Ian Nepomniachtchi,lachesisq,1990,Gen Y,Russia,2795,World Blitz Champion
Gukesh Dommaraju,gukeshdommaraju,2006,,India,2794,18th World Champion
Teimour Radjabov,tradjabov,1987,,Azerbaijan,2793,
Alexander Morozevich,egorgeroev,1977,,Russia,2788,
Sergey Karjakin,sergeykarjakin,1990,,Russia,2788,World Rapid Champion
Vasyl Ivanchuk,viviania,1969,,Ukraine,2787,World Rapid Champion
Bobby Fischer,N/A,1943,,United States,2785,11th World Champion
Nodirbek Abdusattorov,chesswarrior7197,2004,,Uzbekistan,2783,World Rapid Champion
Anatoly Karpov,N/A,1951,,Russia,2780,12th World Champion
Boris Gelfand,remontada2017,1968,,Israel,2777,World Chess Challenger
Richárd Rapport,lordillidan,1996,,Romania,2776,
