musical,track_no,act_one,act_two
Hamilton,1,Alexander Hamilton,What'd I Miss
Hamilton,2,"Aaron Burr, Sir",Cabinet Battle #1
Hamilton,3,My Shot,Take a Break
Hamilton,4,The Story of Tonight,Say No to This
Hamilton,5,The Schuyler Sisters,The Room Where It Happens
Hamilton,6,Farmer Refuted,Schuyler Defeated
Hamilton,7,You'll Be Back,Cabinet Battle #2
Hamilton,8,Right Hand Man,Washington On Your Side
Hamilton,9,A Winter's Ball,One Last Time
Hamilton,10,Helpless,I Know Him
Hamilton,11,Satisfied,The Adams Administration
Hamilton,12,The Story of Tonight (Reprise),We Know
Hamilton,13,Wait for It,Hurricane
Hamilton,14,Stay Alive,The Reynolds Pamphlet
Hamilton,15,Ten Duel Commandments,Burn
Hamilton,16,Meet Me Inside,Blow Us All Away
Hamilton,17,That Would Be Enough,Stay Alive (Reprise)
Hamilton,18,Guns and Ships,It's Quiet Uptown
Hamilton,19,History Has Its Eyes On You,The Election of 1800
Hamilton,20,Yorktown (The World Turned Upside Down),Your Obedient Servant
Hamilton,21,What Comes Next?,Best of Wives and Best of Women
Hamilton,22,Dear Theodosia,The World Was Wide Enough
Hamilton,23,Non-Stop,"Who Lives, Who Dies, Who Tells Your Story"
