degree,year,semester,course,alternative,credit
Bachelor of Psychology,1,2022,C,Environmental Psychology,
Bachelor of Psychology,2,2022,C,Foundations of Psychology,
Bachelor of Psychology,3,2022,C,Understanding Personality,Personality Psychology
Bachelor of Psychology,4,2023,A,Forensic Psychology,
Bachelor of Psychology,5,2023,A,Psychology of Social Life,Social Psychology (Foundation)
Bachelor of Psychology,6,2023,A,Psychology of Everyday Thinking,Cognitive Psychology (Foundation)
Bachelor of Psychology,7,2023,B,Psychology of Gender,
Bachelor of Psychology,8,2023,B,Principles of Psychology,Research Methods (Foundation)
Bachelor of Psychology,9,2023,B,The Science of Human Nature,Evolutionary Psychology
Bachelor of Psychology,10,2023,C,Cognitive Psychology,
Bachelor of Psychology,11,2023,C,Social Psychology,
Bachelor of Psychology,12,2023,C,Developmental Psychology,
Bachelor of Psychology,13,2024,A,Biological Psychology,
Bachelor of Psychology,14,2024,A,Research Methods in Psychology,Statistics (Foundation)
Bachelor of Psychology,15,2024,B,Motivation and Organisational Psychology,Industrial-Organizational Psychology
Bachelor of Psychology,16,2024,B,Philosophy and Methodology of Psychology,Statistics (Advanced)
Bachelor of Psychology,17,2024,C,Psychological Assessment and Individual Differences,Practical - Assessment
Bachelor of Psychology,18,2024,C,Psychopathology and Models of Intervention,Practical - Intervention
Bachelor of Psychology,19,2025,A,Communication and Professional Practice,Professional Practice 1
Bachelor of Psychology,20,2025,A,Professional Practices and Cross-Cultural Psychology,Professional Practice 2
Bachelor of Psychology,21,2025,B,Foundations of Artificial Intelligence for STEM,
Bachelor of Psychology,22,2025,B,Research Project,Research Methods (Advanced)
