category,group,item,product_type,alternative,min,max,size,note
Accessories,Clothes,Gym Shorts,Black,,6,12,S,
Accessories,Clothes,Gym T-Shirt,Black,,6,12,S,
Accessories,Clothes,Shirt,White,,6,12,S,
Accessories,Clothes,Shirt,Black,,6,12,S,
Accessories,Clothes,Khaki Pants,Black,,6,12,S,
Accessories,Clothes,Socks,Black,,6,12,S,
Accessories,Clothes,Suit,Black,,6,12,S,
Accessories,Clothes,Underwear,Black,,6,12,S,
Accessories,Clothes,Masks,Black,,6,12,S,
Accessories,Accessories,Umbrella,Black,,1,2,,
Accessories,Technology,Phones,Nothing Phone,iPhone,1,2,6-inch,RAM - 08GB; 128GB SSD
Accessories,Technology,Tablets,iPad,,1,1,10-inch,RAM - 16GB; 256GB SSD; Keyboard + Pen;
Accessories,Technology,Laptops,Macbook Pro,ASUS ZenBook,1,1,13-inch,RAM - 32GB; 512GB SSD
Accessories,Technology,Headphones,Beats Buds,Nothing Ear,1,1,,
Accessories,Technology,(Smart) Watches,Garmin,G-Shock,1,2,,
Accessories,Technology,Gaming Consoles,Steam Machine,Play Station,1,1,,
Housing,Entrance,Smart Door,,,1,1,,
Housing,Entrance,Shoes Cabinet,,,1,1,,
Housing,Living Room,Sofa-Bed,,,1,1,,
Housing,Living Room,Foldable Table,,,1,1,,
Housing,Living Room,Smart TV,,,1,1,,
Housing,Living Room,Speaker,,,1,1,,
Housing,Bathroom,Dryer Machine,,,1,1,,
Housing,Bathroom,Washing Machine,,,1,1,,
Housing,Bathroom,Toilet,,,1,1,,
Housing,Bathroom,Floor Heater,,,1,1,,
Housing,Bathroom,Sink,,,1,1,,
Housing,Bathroom,Mirror Cabinet,,,1,1,,
Housing,Bathroom,Waterpik,,,1,1,,
Housing,Bathroom,Electric Toothbrush,,,1,1,,
Housing,Kitchen,Cups,,,6,12,,
Housing,Kitchen,Bowls,,,6,12,,
Housing,Kitchen,Spoons,,,6,12,,
Housing,Kitchen,Forks,,,6,12,,
Housing,Kitchen,Plates,,,6,12,,
Housing,Kitchen,Chairs,,,6,12,,
Housing,Kitchen,Air Fryer,,,1,1,,
Housing,Kitchen,Microwave,,,1,1,,
Housing,Kitchen,Blender,,,1,1,,
Housing,Kitchen,Dish Washer,,,1,1,,
Housing,Kitchen,Stove,,,1,1,,
Housing,Kitchen,Sink,,,1,1,,
Housing,Kitchen,Refrigerator,,,1,1,,
Housing,Kitchen,Rice Cooker,,,1,1,,
Housing,Home Office,Adjustable Standing Desk,,,1,1,,
Housing,Home Office,Ergonomic Chair,,,1,1,,
Housing,Home Office,Backpack,,,1,2,,
Housing,Home Office,3D Printer,,,1,1,,
Housing,Home Office,Chess Board,,,1,1,,
Housing,Home Office,Chess Clock,,,1,1,,
Housing,Home Office,Swiss Army Knives,,,1,1,,
Housing,Home Office,Fullset Toolbox,,,1,1,,
Housing,Home Office,LEGO,,,1,1,,
Housing,Home Office,Boardgame,,,1,1,,
Housing,Home,Air Conditioner,,,1,1,,
Housing,Home,Solar Panel,,,1,1,,
Housing,Garage,(Electric) Bike,Xiami,,1,1,,
Housing,Garage,Motorbike,Honda Wave,,1,1,,
Housing,Garage,Motorcycles,Hone Rebel,,1,1,,
Housing,Garage,Cars,Vinfast VF3,,1,1,,
Housing,Garage,Pickup Truck,-,,1,1,,
Housing,Garage,Supercar,Bugatti Veyron,,1,1,,
