type,country,series,title,year,director,writer
film,South Korea,,Parasite,2019,Bong Joon-ho,"Bong Joon-ho, Han Jin-won"
film,United States,,A Beautiful Mind,2001,Ron Howard,Akiva Goldsman
film,United States,,Everything Everywhere All at Once,2022,"Daniel Kwan, Daniel Scheinert","Daniel Kwan, Daniel Scheinert"
film,United States,,Memento,2000,Christopher Nolan,Christopher Nolan
film,United States,,Insomnia,2002,Christopher Nolan,Hillary Seitz
film,United States,,The Prestige,2006,Christopher Nolan,"Christopher Nolan, Jonathan Nolan"
film,United States,,Interstellar,2014,Christopher Nolan,"Jonathan Nolan, Christopher Nolan"
film,United States,,Tenet,2020,Christopher Nolan,Christopher Nolan
film,United States,,Oppenheimer,2023,Christopher Nolan,Christopher Nolan
film,United States,,The Odyssey,2026,Christopher Nolan,Christopher Nolan
film,United States,,A Few Good Men,1992,Rob Reiner,Aaron Sorkin
film,United States,,The Social Network,2010,David Fincher,Aaron Sorkin
film,United States,,Moneyball,2011,Bennett Miller,"Aaron Sorkin, Steven Zaillian"
film,United States,,Steve Jobs,2015,Danny Boyle,Aaron Sorkin
film,United States,,Molly's Game,2017,Aaron Sorkin,Aaron Sorkin
film,United States,,The Trial of the Chicago 7,2020,Aaron Sorkin,Aaron Sorkin
film,United States,,The Big Short,2015,Adam McKay,"Adam McKay, Charles Randolph"
film,United States,,Vice,2018,Adam McKay,Adam McKay
film,United Kingdom,,The Imitation Game,2014,Morten Tyldum,Graham Moore
film,United States,,Don't Look Up,2021,Adam McKay,"Adam McKay, David Sirota"
film,United States,,Margin Call,2011,J. C. Chandor,J. C. Chandor
film,United States,,Too Big to Fail,2011,Curtis Hanson,Peter Gould
film,United Kingdom,,The Theory of Everything,2014,James Marsh,Anthony McCarten
film,United Kingdom,,The King's Speech,2010,Tom Hooper,David Seidler
film,United States,,The Wolf of Wall Street,2013,Martin Scorsese,Terence Winter
film,South Korea,,Memories of Murder,2003,Bong Joon-ho,"Bong Joon-ho, Shim Sung-bo"
film,South Korea,,Oldboy,2003,Park Chan-wook,"Hwang Jo-yun, Lim Jun-hyung"
film,South Korea,,Decision to Leave,2022,Park Chan-wook,"Park Chan-wook, Jeong Seo-kyeong"
series,United Kingdom,Harry Potter,Harry Potter and the Philosopher's Stone,2001,Chris Columbus,
series,United Kingdom,Harry Potter,Harry Potter and the Chamber of Secrets,2002,Chris Columbus,
series,United Kingdom,Harry Potter,Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,
series,United Kingdom,Harry Potter,Harry Potter and the Goblet of Fire,2005,Mike Newell,
series,United Kingdom,Harry Potter,Harry Potter and the Order of the Phoenix,2007,David Yates,
series,United Kingdom,Harry Potter,Harry Potter and the Half-Blood Prince,2009,David Yates,
series,United Kingdom,Harry Potter,Harry Potter and the Deathly Hallows – Part 1,2010,David Yates,
series,United Kingdom,Harry Potter,Harry Potter and the Deathly Hallows – Part 2,2011,David Yates,
series,United States,The Dark Knight Trilogy,Batman Begins,2005,Christopher Nolan,
series,United States,The Dark Knight Trilogy,The Dark Knight,2008,Christopher Nolan,
series,United States,The Dark Knight Trilogy,The Dark Knight Rises,2012,Christopher Nolan,
series,United States,MCU (Phase 1),Iron Man,2008,,
series,United States,MCU (Phase 1),The Incredible Hulk,2008,,
series,United States,MCU (Phase 1),Iron Man 2,2010,,
series,United States,MCU (Phase 1),Thor,2011,,
series,United States,MCU (Phase 1),Captain America: The First Avenger,2011,,
series,United States,MCU (Phase 1),The Avengers,2012,,
series,United States,MCU (Phase 2),Iron Man 3,2013,,
series,United States,MCU (Phase 2),Thor: The Dark World,2013,,
series,United States,MCU (Phase 2),Captain America: The Winter Soldier,2014,,
series,United States,MCU (Phase 2),Guardians of the Galaxy,2014,,
series,United States,MCU (Phase 2),Avengers: Age of Ultron,2015,,
series,United States,MCU (Phase 2),Ant-Man,2015,,
series,United States,MCU (Phase 3),Captain America: Civil War,2016,,
series,United States,MCU (Phase 3),Doctor Strange,2016,,
series,United States,MCU (Phase 3),Guardians of the Galaxy Vol. 2,2017,,
series,United States,MCU (Phase 3),Spider-Man: Homecoming,2017,,
series,United States,MCU (Phase 3),Thor: Ragnarok,2017,,
series,United States,MCU (Phase 3),Black Panther,2018,,
series,United States,MCU (Phase 3),Avengers: Infinity War,2018,,
series,United States,MCU (Phase 3),Ant-Man and the Wasp,2018,,
series,United States,MCU (Phase 3),Captain Marvel,2019,,
series,United States,MCU (Phase 3),Avengers: Endgame,2019,,
series,United States,MCU (Phase 3),Spider-Man: Far From Home,2019,,
series,United States,MCU (Phase 4),Black Widow,2021,,
series,United States,MCU (Phase 4),Shang-Chi and the Legend of the Ten Rings,2021,,
series,United States,MCU (Phase 4),Eternals,2021,,
