price_range,continent,country,brand,model
"$15,000 - $25,000",Europe,Italy,Fiat,
"$15,000 - $30,000",Asia,Japan,Honda,
"$16,000 – $28,000",Asia,Japan,Mazda,
"$17,000 – $35,000",Asia,Japan,Nissan,
"$18,000 – $35,000",Asia,Japan,Subaru,
"$20,000 – $40,000",Asia,Japan,Toyota,
"$20,000 – $45,000",America,United States,Ford,Mustang
"$20,000 – $50,000",America,United States,GM,
"$22,000 – $35,000",Europe,United Kingdom,Mini,
"$22,000 – $45,000",Asia,South Korea,Hyundai,
"$22,000 – $45,000",Asia,South Korea,Kia,
"$25,000 – $50,000",Asia,South Korea,Genesis,
"$25,000 – $60,000",Europe,Germany,Volkswagen,
"$28,000 – $60,000",America,United States,Jeep,
"$30,000 – $50,000",Asia,Vietnam,Vinfast,
"$40,000 – $70,000",Europe,Sweden,Volvo,
"$47,000 – $70,000",Europe,United Kingdom,Jaguar,
"$50,000 – $80,000",America,United States,Tesla,
"$50,000 – $100,000",Europe,United Kingdom,Land Rover,
"$70,000 – $120,000",Europe,United Kingdom,Bentley,
"$70,000 – $200,000",Europe,Germany,Brabus,
,Europe,France,Bugatti,
"$35,000 – $55,000",Europe,Germany,Audi,
"$40,000 – $80,000",Europe,Germany,Mercedes-Benz,
"$35,000 – $60,000",Europe,Germany,BMW,
"$45,000 – $70,000",Europe,Germany,Porsche,
"$100,000 – $300,000",Europe,Italy,Ferrari,
"$120,000 – $350,000",Europe,Italy,Lamborghini,
"$90,000 – $250,000",Europe,Italy,Maserati,
"$60,000 – $120,000",Europe,United Kingdom,Aston Martin,
"$80,000 – $150,000",Europe,United Kingdom,Rolls-Royce,
