category,continent,country,state,city,university,note
Group of Eight (Go8),Oceania,Australia,Australian Capital Territory,Canberra,Australian National University (ANU),
Group of Eight (Go8),Oceania,Australia,New South Wales,Sydney,University of New South Wales,
Group of Eight (Go8),Oceania,Australia,New South Wales,Sydney,University of Sydney,
Group of Eight (Go8),Oceania,Australia,Queensland,Brisbane,University of Queensland,
Group of Eight (Go8),Oceania,Australia,South Australia,Adelaide,University of Adelaide,
Group of Eight (Go8),Oceania,Australia,Victoria,Melbourne,Monash University,
Group of Eight (Go8),Oceania,Australia,Victoria,Melbourne,University of Melbourne,
Group of Eight (Go8),Oceania,Australia,Western Australia,Perth,University of Western Australia,
Other (Australia),Oceania,Australia,Victoria,Melbourne,Deakin,
Other (Australia),Oceania,Australia,Victoria,Melbourne,La Trobe,
Other (Australia),Oceania,Australia,Victoria,Melbourne,RMIT,
Other (Australia),Oceania,Australia,New South Wales,Sydney,University of Technology Sydney (UTS),
Other (Australia),Oceania,Australia,New South Wales,Sydney,Macquarie,
Other (Australia),Oceania,Australia,New South Wales,Sydney,Western Sydney,
Russell Group,Europe,England,,Birmingham,University of Birmingham,
Russell Group,Europe,England,,Bristol,University of Bristol,
Russell Group,Europe,England,,Cambridge,University of Cambridge,
Russell Group,Europe,England,,Durham,Durham University,
Russell Group,Europe,England,,Exeter,University of Exeter,
Russell Group,Europe,England,,London,Imperial College London,
Russell Group,Europe,England,,London,King's College London,
Russell Group,Europe,England,,Leeds,University of Leeds,
Russell Group,Europe,England,,Liverpool,University of Liverpool,
Russell Group,Europe,England,,London,London School of Economics (LSE),
Russell Group,Europe,England,,Manchester,University of Manchester,
Russell Group,Europe,England,,Newcastle,Newcastle University,
Russell Group,Europe,England,,Nottingham,University of Nottingham,
Russell Group,Europe,England,,Oxford,University of Oxford,
Russell Group,Europe,England,,London,Queen Mary University of London,
Russell Group,Europe,England,,Sheffield,University of Sheffield,
Russell Group,Europe,England,,Southampton,University of Southampton,
Russell Group,Europe,England,,London,University College London (UCL),
Russell Group,Europe,England,,Coventry,University of Warwick,
Russell Group,Europe,England,,York,University of York,
Russell Group,Europe,Scotland,,Edinburgh,University of Edinburgh,
Russell Group,Europe,Scotland,,Glasgow,University of Glasgow,
Russell Group,Europe,Wales,,Cardiff,Cardiff University,
Russell Group,Europe,Northern Ireland,,Belfast,Queen's University Belfast,
University of London,Europe,United Kingdom,,,King's College London (KCL),"Focus: Medicine, Law, Humanities, Science, Social Sciences; Russell Group: Yes"
University of London,Europe,United Kingdom,,,London School of Economics and Political Science (LSE),"Focus: Social Sciences, Economics, Politics, Law; Russell Group: Yes"
University of London,Europe,United Kingdom,,,Queen Mary University of London (QMUL),"Focus: Law, Medicine, Humanities, Science, Engineering; Russell Group: Yes"
University of London,Europe,United Kingdom,,,University College London (UCL),"Focus: Comprehensive: Science, Engineering, Medicine, Arts, Humanities, Social Sciences; Russell Group: Yes"
University of London,Europe,United Kingdom,,,"Birkbeck, University of London","Focus: Flexible / Evening study, Humanities, Social Sciences, Science; Russell Group: No"
University of London,Europe,United Kingdom,,,"City, University of London","Focus: Business, Law, Engineering, Health Sciences; Russell Group: No"
University of London,Europe,United Kingdom,,,Courtauld Institute of Art,"Focus: Art History, Conservation; Russell Group: No"
University of London,Europe,United Kingdom,,,"Goldsmiths, University of London","Focus: Arts, Humanities, Social Sciences, Computing; Russell Group: No"
University of London,Europe,United Kingdom,,,Institute of Cancer Research (ICR),"Focus: Cancer Research, Biomedical Science; Russell Group: No"
University of London,Europe,United Kingdom,,,London Business School (LBS),"Focus: Business, Management, MBA programs; Russell Group: No"
University of London,Europe,United Kingdom,,,London School of Hygiene & Tropical Medicine (LSHTM),"Focus: Public Health, Global Health, Epidemiology; Russell Group: No"
University of London,Europe,United Kingdom,,,Royal Academy of Music,"Focus: Music, Performing Arts; Russell Group: No"
University of London,Europe,United Kingdom,,,Royal Central School of Speech and Drama,"Focus: Performing Arts, Drama, Theatre; Russell Group: No"
University of London,Europe,United Kingdom,,,"Royal Holloway, University of London","Focus: Humanities, Arts, Science, Management; Russell Group: No"
University of London,Europe,United Kingdom,,,Royal Veterinary College (RVC),"Focus: Veterinary Science, Biomedical Science; Russell Group: No"
University of London,Europe,United Kingdom,,,"St George's, University of London","Focus: Medicine, Health Sciences; Russell Group: No"
University of London,Europe,United Kingdom,,,School of Oriental and African Studies (SOAS),"Focus: Humanities, Social Sciences, Languages, Area Studies; Russell Group: No"
Other (Germany),Europe,Germany,Bavaria,Munich,Technical University of Munich,
Other (Germany),Europe,Germany,Bavaria,Munich,LMU Munich,
Other (Germany),Europe,Germany,Bavaria,Würzburg,University of Würzburg,
Other (Germany),Europe,Germany,Bavaria,Erlangen & Nuremberg,University of Erlangen-Nuremberg,
Other (Germany),Europe,Germany,Baden-Württemberg,Heidelberg,Universität Heidelberg,
Other (Germany),Europe,Germany,Baden-Württemberg,Tübingen,University of Tübingen,
Other (Germany),Europe,Germany,Baden-Württemberg,Freiburg,University of Freiburg,
Other (Germany),Europe,Germany,Baden-Württemberg,Karlsruhe,Karlsruhe Institute of Technology,
Other (Germany),Europe,Germany,Baden-Württemberg,Ulm,Ulm University,
Other (Germany),Europe,Germany,Baden-Württemberg,Mannheim,University of Mannheim,
Other (Germany),Europe,Germany,Berlin,Berlin,Humboldt University of Berlin,
Other (Germany),Europe,Germany,Berlin,Berlin,Charité - Universitätsmedizin Berlin,
Other (Germany),Europe,Germany,Berlin,Berlin,Free University of Berlin,
Other (Germany),Europe,Germany,Berlin,Berlin,Technical University of Berlin,
Other (Germany),Europe,Germany,Brandenburg,Potsdam,University of Potsdam,
Other (Germany),Europe,Germany,Hamburg,Hamburg,University of Hamburg,
Other (Germany),Europe,Germany,Hesse,Frankfurt,Goethe University Frankfurt,
Other (Germany),Europe,Germany,Lower Saxony,Göttingen,University of Göttingen,
Other (Germany),Europe,Germany,North Rhine-Westphalia,Bonn,University of Bonn,
Other (Germany),Europe,Germany,North Rhine-Westphalia,Aachen,RWTH Aachen University,
Other (Germany),Europe,Germany,North Rhine-Westphalia,Cologne,University of Cologne,
Other (Germany),Europe,Germany,North Rhine-Westphalia,Münster,University of Münster,
Other (Germany),Europe,Germany,North Rhine-Westphalia,Düsseldorf,Heinrich Heine University Düsseldorf,
Other (Germany),Europe,Germany,Saxony,Dresden,TU Dresden,
Other (Germany),Europe,Germany,Thuringia,Jena,Friedrich Schiller University Jena,
Other (Netherlands),Europe,Netherlands,Gelderland,Nijmegen,Radboud University Nijmegen,
Other (Netherlands),Europe,Netherlands,Gelderland,Wageningen,Wageningen University & Research,
Other (Netherlands),Europe,Netherlands,Groningen,Groningen,University of Groningen,
Other (Netherlands),Europe,Netherlands,Limburg,Maastricht,Maastricht University,
Other (Netherlands),Europe,Netherlands,North Brabant,Eindhoven,Eindhoven University of Technology,
Other (Netherlands),Europe,Netherlands,North Brabant,Tilburg,Tilburg University,
Other (Netherlands),Europe,Netherlands,North Holland,Amsterdam,University of Amsterdam,
Other (Netherlands),Europe,Netherlands,North Holland,Amsterdam,Vrije Universiteit Amsterdam,
Other (Netherlands),Europe,Netherlands,Overijssel,Enschede,University of Twente,
Other (Netherlands),Europe,Netherlands,South Holland,Delft,Delft University of Technology,
Other (Netherlands),Europe,Netherlands,South Holland,Leiden,Leiden University,
Other (Netherlands),Europe,Netherlands,South Holland,Rotterdam,Erasmus University Rotterdam,
Other (Singapore),Asia,Singapore,,,National University of Singapore (NUS),
Other (Singapore),Asia,Singapore,,,Nanyang Technological University (NTU),
Other (Singapore),Asia,Singapore,,,Singapore Management University (SMU),
Other (Singapore),Asia,Singapore,,,Singapore University of Technology and Design (SUTD),
Other (Singapore),Asia,Singapore,,,Singapore Institute of Technology (SIT),
Other (Singapore),Asia,Singapore,,,Singapore University of Social Sciences (SUSS),
Ivy League,North America,United States,Rhode Island,Providence,Brown University,
Ivy League,North America,United States,New York,New York City,Columbia University,
Ivy League,North America,United States,New York,Ithaca,Cornell University,
Ivy League,North America,United States,New Hampshire,Hanover,Dartmouth College,
Ivy League,North America,United States,Massachusetts,Cambridge,Harvard University,
Ivy League,North America,United States,New Jersey,Princeton,Princeton University,
Ivy League,North America,United States,Pennsylvania,Philadelphia,University of Pennsylvania,
Ivy League,North America,United States,Connecticut,New Haven,Yale University,
Other (United States),North America,United States,California,Berkeley,"University of California, Berkeley",
Other (United States),North America,United States,California,Palo Alto,Stanford University,
Other (United States),North America,United States,California,Pasadena,California Institute of Technology (Caltech),
Other (United States),North America,United States,Illinois,Chicago,University of Chicago,
Other (United States),North America,United States,Indiana,South Bend,University of Notre Dame,
Other (United States),North America,United States,Maryland,Baltimore,Johns Hopkins University,
Other (United States),North America,United States,Massachusetts,Boston,MIT,
Other (United States),North America,United States,New York,New York City,New York University (NYU),
Other (United States),North America,United States,North Carolina,Durham,Duke University,
Other (United States),North America,United States,Texas,Austin,University of Texas - Austin,
Other (Canada),North America,Canada,Alberta,Calgary,University of Calgary,
Other (Canada),North America,Canada,Alberta,Edmonton,University of Alberta,
Other (Canada),North America,Canada,British Columbia,Vancouver,University of British Columbia,
Other (Canada),North America,Canada,Manitoba,Winnipeg,University of Manitoba,
Other (Canada),North America,Canada,Nova Scotia,Halifax,Dalhousie University,
Other (Canada),North America,Canada,Ontario,Hamilton,McMaster University,
Other (Canada),North America,Canada,Ontario,Kingston,Queen's University,
Other (Canada),North America,Canada,Ontario,London,Western University,
Other (Canada),North America,Canada,Ontario,Ottawa,University of Ottawa,
Other (Canada),North America,Canada,Ontario,Toronto,University of Toronto,
Other (Canada),North America,Canada,Ontario,Waterloo,University of Waterloo,
Other (Canada),North America,Canada,Quebec,Montreal,McGill University,
Other (Canada),North America,Canada,Quebec,Montreal,Université de Montréal,
Other (Canada),North America,Canada,Quebec,Quebec City,Université Laval,
Other (Canada),North America,Canada,Saskatchewan,Saskatoon,University of Saskatchewan,
Vietnam (International),Asia,Vietnam,,,RMIT University,International
Vietnam (International),Asia,Vietnam,,,VinUni (VinUniversity),International
Vietnam (International),Asia,Vietnam,,,British University Vietnam (BUV),International
