id,title,year,description,category,region,difficulty,source
europe-minoan-civilization-3000,Minoan Civilization Flourishes,-3000,Europe's first advanced civilization rose on Crete.,culture,europe,4,britannica
europe-minoan-palaces-2000,Minoan Palaces Built,-2000,Palaces like Knossos became centers of Minoan life.,technology,europe,4,britannica
europe-phaistos-disc-1700,Phaistos Disc Created,-1700,The disc bears an undeciphered script.,culture,europe,5,britannica
europe-mycenaean-rise-1600,Mycenaean Civilization Rises,-1600,Warrior kingdoms grew across mainland Greece.,culture,europe,4,britannica
europe-knossos-destroyed-1450,Knossos Destroyed,-1450,The great Minoan palace was burned.,war,europe,5,britannica
europe-linear-b-1450,Linear B Script Used,-1450,Mycenaean scribes wrote early Greek.,culture,europe,5,britannica
europe-trojan-war-1250,Trojan War,-1250,Greek armies besieged the city of Troy.,war,europe,3,britannica
europe-greek-dark-ages-1100,Greek Dark Ages Begin,-1100,Writing declined after the palace systems fell.,culture,europe,4,britannica
europe-homer-epics-800,Homer Composes the Epics,-800,The Iliad and Odyssey were written down.,culture,europe,3,britannica
europe-olympic-games-776,First Olympic Games,-776,Athletes competed at Olympia for Zeus.,sports,europe,2,britannica
europe-greek-alphabet-750,Greek Alphabet Adopted,-750,Greeks adapted the Phoenician alphabet.,culture,europe,4,britannica
europe-greek-colonies-750,Greek Colonization Spreads,-750,City-states founded colonies around the Mediterranean.,culture,europe,4,britannica
europe-hesiod-works-700,Hesiod Writes Works and Days,-700,Hesiod chronicled farming and myth.,culture,europe,5,britannica
europe-sparta-militarism-700,Sparta Militarizes,-700,Sparta built a warrior society.,war,europe,4,britannica
europe-cypselus-corinth-657,Cypselus Rules Corinth,-657,Cypselus made Corinth a trading power.,politics,europe,5,britannica
europe-draco-laws-621,Draco's Laws,-621,Athens recorded its first written laws.,politics,europe,4,britannica
europe-sappho-600,Sappho Writes Lyric Poetry,-600,Sappho composed poems on the island of Lesbos.,music,europe,4,britannica
europe-solon-reforms-594,Solon Reforms Athens,-594,Solon eased debt and broadened citizenship.,politics,europe,3,britannica
europe-pythagoras-570,Pythagoras Founds a School,-570,Pythagoras taught mathematics and philosophy.,science,europe,3,britannica
europe-temple-artemis-550,Temple of Artemis Built,-550,The temple at Ephesus became a wonder.,technology,europe,5,britannica
europe-peisistratus-546,Peisistratus Rules Athens,-546,A tyrant brought prosperity to Athens.,politics,europe,5,britannica
europe-aeschylus-born-525,Aeschylus Born,-525,Aeschylus became the father of tragedy.,culture,europe,4,britannica
europe-cleisthenes-democracy-508,Democracy Established,-508,Cleisthenes gave Athens a democratic constitution.,politics,europe,2,britannica
europe-sophocles-born-497,Sophocles Born,-497,Sophocles wrote Oedipus Rex.,culture,europe,4,britannica
europe-marathon-battle-490,Battle of Marathon,-490,Athenians repelled a Persian invasion.,war,europe,2,britannica
europe-thermopylae-480,Battle of Thermopylae,-480,Spartans held the pass against Persia.,war,europe,2,britannica
europe-salamis-480,Battle of Salamis,-480,The Greek fleet crushed the Persians at sea.,war,europe,3,britannica
europe-delian-league-478,Delian League Founded,-478,Athens led a naval alliance against Persia.,politics,europe,4,britannica
europe-pericles-461,Pericles Leads Athens,-461,Pericles guided Athens through its golden age.,politics,europe,3,britannica
europe-parthenon-447,Parthenon Completed,-447,The Parthenon rose above Athens.,culture,europe,2,britannica
europe-peloponnesian-war-431,Peloponnesian War Begins,-431,Athens and Sparta fought for supremacy.,war,europe,2,britannica
europe-athens-plague-430,Plague of Athens,-430,Disease killed thousands inside Athens.,medicine,europe,4,britannica
europe-thucydides-history-424,Thucydides Writes History,-424,Thucydides recorded the Peloponnesian War.,culture,europe,4,britannica
europe-peace-nicias-421,Peace of Nicias,-421,Athens and Sparta agreed to a truce.,politics,europe,5,britannica
europe-sicilian-expedition-415,Sicilian Expedition,-415,Athens launched a failed invasion of Sicily.,war,europe,4,britannica
europe-aegospotami-405,Battle of Aegospotami,-405,Sparta destroyed the Athenian fleet.,war,europe,4,britannica
europe-athens-surrender-404,Athens Surrenders,-404,The Peloponnesian War ended in defeat.,war,europe,4,britannica
europe-socrates-executed-399,Socrates Executed,-399,Athens put its philosopher to death.,culture,europe,3,britannica
europe-plato-academy-387,Plato Founds the Academy,-387,Plato opened a school in Athens.,science,europe,3,britannica
europe-leuctra-battle-371,Battle of Leuctra,-371,Thebes ended Spartan military dominance.,war,europe,4,britannica
europe-philip-ii-359,Philip II Rules Macedon,-359,Philip built Macedon into a great power.,politics,europe,4,britannica
europe-chaeronea-338,Battle of Chaeronea,-338,Philip defeated the Greek city-states.,war,europe,3,britannica
europe-alexander-336,Alexander the Great Takes Throne,-336,Alexander became king of Macedon.,politics,europe,2,britannica
europe-issus-battle-333,Battle of Issus,-333,Alexander defeated Darius III.,war,europe,4,britannica
europe-gordian-knot-333,Alexander Cuts the Gordian Knot,-333,Alexander untied the legendary knot.,culture,europe,5,britannica
europe-gaugamela-331,Battle of Gaugamela,-331,Alexander crushed the Persian army.,war,europe,4,britannica
europe-hydaspes-326,Battle of the Hydaspes,-326,Alexander won his last great battle.,war,europe,5,britannica
europe-alexander-dies-323,Alexander Dies,-323,The conqueror died in Babylon at thirty-two.,politics,europe,2,britannica
europe-diadochi-wars-323,Wars of the Successors,-323,Generals carved up Alexander's empire.,war,europe,4,britannica
europe-epicurus-garden-307,Epicurus Opens the Garden,-307,Epicurus taught a philosophy of pleasure.,culture,europe,5,britannica
europe-hellenistic-kingdoms-301,Hellenistic Kingdoms Form,-301,Rival dynasties ruled the Greek world.,politics,europe,5,britannica
europe-colossus-rhodes-280,Colossus of Rhodes Built,-280,A giant statue guarded the harbor.,technology,europe,4,britannica
europe-pyrrhus-280,Pyrrhus Invades Italy,-280,Pyrrhus fought Rome in costly victories.,war,europe,4,britannica
europe-achaean-league-280,Achaean League Forms,-280,Greek cities united in a federal league.,politics,europe,5,britannica
europe-rhodes-earthquake-226,Rhodes Earthquake,-226,The Colossus toppled in an earthquake.,culture,europe,5,britannica
