id,stage_name,full_name,korean_name,k_stage_name,date_of_birth,group,debut,company,country,second_country,height,weight,birthplace,other_group,former_group,gender,birth_year,debut_year,debut_age
0,Gaeun,Oh Gaeun,오가은,가은,2005-11-08,LIMELIGHT,2023-02-17,143,South Korea,N/A,165.0,N/A,N/A,N/A,N/A,F,2005.0,2023.0,18.0
1,MiU,Ito Miyu,이토 미유,미유,2003-01-09,LIMELIGHT,2023-02-17,143,Japan,N/A,164.0,42.0,Tokyo,N/A,N/A,F,2003.0,2023.0,20.0
2,Suhye,Kim Suhye,김수혜,수혜,2004-12-13,LIMELIGHT,2023-02-17,143,South Korea,N/A,158.0,40.0,Incheon,N/A,N/A,F,2004.0,2023.0,19.0
3,Ace,Jang Wooyoung,장우영,에이스,1992-08-28,VAV,2015-10-31,A team,South Korea,N/A,177.0,63.0,N/A,N/A,N/A,M,1992.0,2015.0,23.0
4,Ayno,Noh Yoonho,노윤호,에이노,1996-05-01,VAV,2015-10-31,A team,South Korea,N/A,183.0,61.0,N/A,N/A,N/A,M,1996.0,2015.0,19.0
5,Jacob,Zhang Peng,장펑,제이콥,1996-09-07,VAV,2015-10-31,A team,China,N/A,184.0,63.0,N/A,N/A,N/A,M,1996.0,2015.0,19.0
6,Lou,Kim Hosung,김호성,로우,1996-12-21,VAV,2015-10-31,A team,South Korea,N/A,187.0,69.0,N/A,N/A,N/A,M,1996.0,2015.0,19.0
7,St. Van,Lee Geumhyuk,이금혁,세인트 반,1991-12-22,VAV,2015-10-31,A team,South Korea,N/A,182.0,70.0,N/A,N/A,N/A,M,1991.0,2015.0,24.0
8,Ziu,Park Heejun,박희준,지우,1997-06-16,VAV,2015-10-31,A team,South Korea,N/A,185.0,70.0,N/A,N/A,N/A,M,1997.0,2015.0,18.0
9,Choyeon,Kim Choyeon,김초연,초연,2001-08-01,bugAboo,2021-10-25,A team,South Korea,N/A,164.0,44.0,N/A,N/A,N/A,F,2001.0,2021.0,20.0
10,Cyan,Lee Chaeeun,이채은,시안,2001-04-04,bugAboo,2021-10-25,A team,South Korea,N/A,N/A,N/A,Sanbon,N/A,N/A,F,2001.0,2021.0,20.0
11,Eunchae,Son Eunchae,손은채,은채,1999-10-06,bugAboo,2021-10-25,A team,South Korea,N/A,154.0,38.0,Pohang,N/A,N/A,F,1999.0,2021.0,22.0
12,Rainie,Chu Chingyu,주칭위,레이니,2000-11-16,bugAboo,2021-10-25,A team,Taiwan,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2021.0,21.0
