id,name,number,role,bench
jerzy,Jerzy Dudek,1,GK,false
steve,Steve Finnan,3,DEF,false
jamie,Jamie Carragher,23,DEF,false
sami,Sami Hyypiä,4,DEF,false
djimi,Djimi Traoré,21,DEF,false
dietmar,Dietmar Hamann,16,MID,false
xabi,Xabi Alonso,14,MID,false
steven,Steven Gerrard,8,MID,false
luis,Luis García,10,FWD,false
djibril,Djibril Cissé,9,FWD,false
john,John Arne Riise,6,FWD,false
kirkland,Chris Kirkland,22,GK,true
carson,Scott Carson,26,GK,true
biscan,Igor Bišćan,25,DEF,true
warnock,Stephen Warnock,18,DEF,true
josemi,Josemi,17,DEF,true
pellegrino,Mauricio Pellegrino,29,DEF,true
smicer,Vladimír Šmicer,11,MID,true
diao,Salif Diao,15,MID,true
potter,Darren Potter,35,MID,true
nunez,Antonio Núñez,30,MID,true
kewell,Harry Kewell,7,FWD,true
baros,Milan Baroš,5,FWD,true
sinama,Florent Sinama-Pongolle,24,FWD,true
letallec,Anthony Le Tallec,12,FWD,true
mellor,Neil Mellor,33,FWD,true
