id,name,number,role,bench
neuer,Manuel Neuer,1,GK,false
lahm,Philipp Lahm,21,DEF,false
boateng,Jérôme Boateng,17,DEF,false
dante,Dante,4,DEF,false
alaba,David Alaba,27,DEF,false
bastian,Bastian Schweinsteiger,31,MID,false
javi,Javi Martínez,8,MID,false
muller,Thomas Müller,25,MID,false
ribery,Franck Ribéry,7,FWD,false
mandzukic,Mario Mandžukić,9,FWD,false
robben,Arjen Robben,10,FWD,false
starke,Tom Starke,22,GK,true
raeder,Lukas Raeder,24,GK,true
rafinha,Rafinha,13,DEF,true
vanbuyten,Daniel Van Buyten,5,DEF,true
contento,Diego Contento,26,DEF,true
badstuber,Holger Badstuber,28,DEF,true
gustavo,Luiz Gustavo,30,MID,true
kroos,Toni Kroos,39,MID,true
shaqiri,Xherdan Shaqiri,11,MID,true
tymoshchuk,Anatoliy Tymoshchuk,44,MID,true
can,Emre Can,36,MID,true
pizarro,Claudio Pizarro,14,FWD,true
gomez,Mario Gómez,33,FWD,true
kirchhoff,Jan Kirchhoff,35,DEF,true
weihrauch,Benedikt Weihrauch,32,FWD,true
