actor_a,actor_b,links
Kevin Bacon,Irene Garibay,-1
Kevin Bacon,Lisa Marie Tedesco,-1
Kevin Bacon,Duncan Versteegh,3.
Kevin Bacon,Bonnie Curtis,-2
Kevin Bacon,Lewis Potts,-1
Kevin Bacon,Fred Menut,3.
Kevin Bacon,Mahmoud Shoolizadeh,-1
Kevin Bacon,Patrick Leonard,3.
Kevin Bacon,DuBois Ashong,-1
Kevin Bacon,John St. John,3.
Kevin Bacon,Matthew Fowler,-1
Kevin Bacon,Marie-Nicole Lemieux,-1
Kevin Bacon,Gautier Capuçon,4.
Kevin Bacon,Fredrik Swahn,-1
Kevin Bacon,Lothar Gerber,-1
Kevin Bacon,Giglio Gigli,3.
Kevin Bacon,Nagisa Koyama,-1
Kevin Bacon,Kore Yamazaki,-1
Kevin Bacon,Gabriel A. Maldonado,3.
Kevin Bacon,Elisabeth Robinson,-2
Kevin Bacon,Ben Stillman,-1
Kevin Bacon,Firas Waleed Al-Taybeh,-1
Kevin Bacon,Ceara Batson,2.
Kevin Bacon,Yasuo Hisamatsu,3.
Kevin Bacon,Naomi Sunrise Filoramo,-1
Kevin Bacon,Ben Page,-2
Kevin Bacon,Andrea Tariang,-1
Kevin Bacon,Stefan Vukas,-2
Kevin Bacon,James Gruen,-2
Kevin Bacon,Danmarks Radio,-1
Kevin Bacon,Yongey Mingyur Rinpoche,-2
Kevin Bacon,Tom McKinley,-1
Kevin Bacon,Matthew Deetsch,-1
Kevin Bacon,Kazuki Hiro'oka,3.
Kevin Bacon,Kate McArthur,3.
Kevin Bacon,Jonathan Zalben,-1
Kevin Bacon,María García,-2
Kevin Bacon,Larry Davis,-1
Kevin Bacon,Scott Powderly,2.
Kevin Bacon,Mohammad Davudi,-1
Kevin Bacon,Aiko Mori,5.
Kevin Bacon,Éric Duret,-2
Kevin Bacon,Kate Millett,3.
Kevin Bacon,Vibhawari Deshpande,3.
Kevin Bacon,Ashwini Giri,3.
Kevin Bacon,Maxine Penty,-1
Kevin Bacon,Hatice Cengiz,-2
Kevin Bacon,Melody C. Roscher,-2
Kevin Bacon,Akiko Kurano,3.
Kevin Bacon,Kwok Yan,-2
Kevin Bacon,Christoph Rüter,-1
Kevin Bacon,Şevket Altuğ,-1
Kevin Bacon,Alain Gagnol,-1
Kevin Bacon,Speed Hacker,3.
