language,english,vocabulary
bengali,a,একটি
bengali,able,সক্ষম
bengali,about,সম্পর্কে
bengali,above,উপরে
bengali,act,আইন
bengali,add,যোগ করা
bengali,afraid,ভয়
bengali,after,পরে
bengali,again,আবার
bengali,against,বিরুদ্ধে
bengali,age,বয়স
bengali,ago,আগে
bengali,agree,একমত
bengali,air,বায়ু
bengali,all,সব
bengali,allow,অনুমতি
bengali,also,এছাড়াও
bengali,always,সবসময়
bengali,am,অপরাহ্ন
bengali,among,মধ্যে
bengali,an,একটি
bengali,and,এবং
bengali,anger,রাগ
bengali,animal,পশু
bengali,answer,উত্তর
bengali,any,কোনো
bengali,appear,প্রদর্শিত
bengali,apple,আপেল
bengali,are,হয়
bengali,area,ক্ষেত্র
bengali,arm,হাত
bengali,arrange,ব্যবস্থা
bengali,arrive,পৌঁছা
bengali,art,শিল্প
bengali,as,হিসাবে
bengali,ask,জিজ্ঞাসা
bengali,at,এ
bengali,atom,পরমাণু
bengali,baby,শিশুর
bengali,back,ফিরে
bengali,bad,খারাপ
bengali,ball,বল
bengali,band,ব্যান্ড
bengali,bank,ব্যাংক
bengali,bar,বার
bengali,base,ঘাঁটি
bengali,basic,মৌলিক
bengali,bat,বাদুড়
bengali,be,হতে
bengali,bear,ভালুক
bengali,beat,বীট
bengali,beauty,সৌন্দর্য
bengali,bed,বিছানা
bengali,been,হয়েছে
bengali,before,আগে
bengali,began,শুরু
bengali,begin,শুরু
bengali,behind,পিছনে
bengali,believe,বিশ্বাস
bengali,bell,ঘণ্টা
bengali,best,সেরা
bengali,better,ভাল
bengali,between,মধ্যে
bengali,big,বড়
bengali,bird,পাখি
bengali,bit,কিছুক্ষণ
bengali,black,কালো
bengali,block,ব্লক
bengali,blood,রক্ত
bengali,blow,ঘা
bengali,blue,নীল
bengali,board,বোর্ড
bengali,boat,নৌকা
bengali,body,শরীর
bengali,bone,হাড়
bengali,book,বই
bengali,born,জন্ম
bengali,both,উভয়
bengali,bottom,নীচে
bengali,bought,কেনা
bengali,box,বক্স
bengali,boy,ছেলে
bengali,branch,শাখা
bengali,bread,রুটি
bengali,break,বিরতি
bengali,bright,উজ্জ্বল
bengali,bring,আনা
bengali,broad,বিস্তৃত
bengali,broke,ভেঙে
bengali,brother,ভাই
bengali,brought,উপনীত
bengali,brown,বাদামী
bengali,build,নির্মাণ
bengali,burn,বার্ন
bengali,busy,ব্যস্ত
bengali,but,কিন্তু
bengali,buy,কিনতে
bengali,by,দ্বারা
bengali,call,কল
bengali,came,আসেন
bengali,camp,শিবির
bengali,can,করতে পারেন
bengali,capital,রাজধানী
bengali,captain,অধিনায়ক
bengali,car,গাড়ী
bengali,card,কার্ড
bengali,care,যত্ন
bengali,carry,বহন
bengali,case,কেস
bengali,cat,বিড়াল
bengali,catch,ধরা
bengali,caught,ধরা
bengali,cause,কারণ
bengali,cell,সেল
bengali,cent,শতাংশ
bengali,center,কেন্দ্র
bengali,century,শতাব্দীর
bengali,certain,নির্দিষ্ট
bengali,chair,চেয়ার
bengali,chance,সুযোগ
bengali,change,পরিবর্তন
bengali,character,চরিত্র
bengali,charge,চার্জ
bengali,chart,চার্ট
bengali,check,চেক
