language,english,vocabulary
turkish,a,bir
turkish,able,yetenekli
turkish,about,hakkında
turkish,above,yukarıdaki
turkish,act,hareket
turkish,add,ekleyin
turkish,afraid,korkuyor
turkish,after,sonra
turkish,again,tekrar
turkish,against,karşı
turkish,age,yaş
turkish,ago,önce
turkish,agree,katılıyorum
turkish,air,hava
turkish,all,tüm
turkish,allow,izin
turkish,also,ayrıca
turkish,always,her zaman
turkish,am,duyuyorum
turkish,among,arasında
turkish,an,bir
turkish,and,ve
turkish,anger,öfke
turkish,animal,hayvan
turkish,answer,cevap
turkish,any,herhangi bir
turkish,appear,görünür
turkish,apple,elma
turkish,are,vardır
turkish,area,alan
turkish,arm,kol
turkish,arrange,düzenlemek
turkish,arrive,varmak
turkish,art,sanat
turkish,as,olarak
turkish,ask,sormak
turkish,at,at
turkish,atom,atomudur
turkish,baby,bebek
turkish,back,geri
turkish,bad,kötü
turkish,ball,top
turkish,band,bant
turkish,bank,banka
turkish,bar,bar
turkish,base,baz
turkish,basic,temel
turkish,bat,yarasa
turkish,be,olmak
turkish,bear,ayı
turkish,beat,yendi
turkish,beauty,güzellik
turkish,bed,yatak
turkish,been,oldu
turkish,before,önce
turkish,began,başladı
turkish,begin,başla
turkish,behind,arkasında
turkish,believe,inanıyorum
turkish,bell,çan
turkish,best,en iyi
turkish,better,daha iyi
turkish,between,arasında
turkish,big,büyük
turkish,bird,kuş
turkish,bit,bit
turkish,black,siyah
turkish,block,bloğu
turkish,blood,kan
turkish,blow,darbe
turkish,blue,mavi
turkish,board,kurulu
turkish,boat,tekne
turkish,body,vücut
turkish,bone,kemik
turkish,book,kitap
turkish,born,doğmuş
turkish,both,her ikisi de
turkish,bottom,alt
turkish,bought,satın aldı
turkish,box,kutu
turkish,boy,çocuk
turkish,branch,şube
turkish,bread,ekmek
turkish,break,molası
turkish,bright,parlak
turkish,bring,getirmek
turkish,broad,geniş
turkish,broke,kırdı
turkish,brother,kardeş
turkish,brought,getirdi
turkish,brown,kahverengi
turkish,build,inşa etmek
turkish,burn,yanmak
turkish,busy,meşgul
turkish,but,ancak
turkish,buy,satın
turkish,by,tarafından
turkish,call,çağrı
turkish,came,geldi
turkish,camp,kamp
turkish,can,can
turkish,capital,sermaye
turkish,captain,kaptan
turkish,car,araba
turkish,card,kart
turkish,care,bakım
turkish,carry,taşımak
turkish,case,dava
turkish,cat,kedi
turkish,catch,catch
turkish,caught,yakalandı
turkish,cause,neden
turkish,cell,hücre
turkish,cent,yüzde
turkish,center,merkezi
turkish,century,yüzyıl
turkish,certain,belirli
turkish,chair,sandalye
turkish,chance,şans
turkish,change,değişim
turkish,character,karakter
turkish,charge,şarj
turkish,chart,grafiği
turkish,check,kontrol
turkish,chick,civciv
turkish,chief,baş
turkish,child,çocuk
turkish,children,çocuk
turkish,choose,seçim
turkish,chord,akor
turkish,circle,daire
turkish,city,şehir
turkish,claim,iddia
turkish,class,sınıf
turkish,clean,temiz
turkish,clear,açık
turkish,climb,tırmanış
turkish,clock,saat
turkish,close,yakın
turkish,clothe,giydirmek
turkish,cloud,bulut
turkish,coast,sahil
turkish,coat,ceket
turkish,cold,soğuk
turkish,collect,toplamak
turkish,colony,koloni
turkish,color,renk
turkish,column,sütun
turkish,come,gel
turkish,common,ortak
turkish,company,şirket
turkish,compare,karşılaştırma
turkish,complete,komple
turkish,condition,durumu
turkish,connect,bağlamak
turkish,consider,düşünmek
turkish,consonant,ünsüz
turkish,contain,içeren
turkish,continent,kıta
turkish,continue,devam etmek
turkish,control,kontrolü
turkish,cook,aşçı
turkish,cool,serin
turkish,copy,kopya
turkish,corn,mısır
turkish,corner,köşe
turkish,correct,doğru
turkish,cost,maliyet
turkish,cotton,pamuk
turkish,could,olabilir
turkish,count,saymak
turkish,country,ülke
turkish,course,ders
turkish,cover,kapak
turkish,cow,inek
turkish,crease,kırışık
turkish,create,oluşturmak
turkish,crop,kırpma
turkish,cross,çapraz
turkish,crowd,kalabalık
turkish,cry,ağlamak
turkish,current,akım
turkish,cut,kesim
turkish,dad,baba
turkish,dance,dans
turkish,danger,tehlike
turkish,dark,karanlık
turkish,day,gün
turkish,dead,ölü
turkish,deal,anlaşma
turkish,dear,sevgili
turkish,death,ölüm
turkish,decide,karar vermek
turkish,decimal,ondalık
turkish,deep,derin
turkish,degree,derecesi
turkish,depend,bağlı
turkish,describe,tanımlamak
turkish,desert,çöl
turkish,design,dizayn
turkish,determine,belirlemek
turkish,develop,geliştirmek
turkish,dictionary,sözlük
turkish,did,yaptım
turkish,die,ölmek
turkish,differ,farklı
turkish,difficult,zor
turkish,direct,doğrudan
turkish,discuss,tartışmak
turkish,distant,uzak
turkish,divide,bölmek
turkish,division,bölünme
turkish,do,do
turkish,doctor,doktor
turkish,does,yok
turkish,dog,köpek
turkish,dollar,dolar
turkish,done,bitti
turkish,don’t,yapamaz
turkish,door,kapı
turkish,double,çift
turkish,down,aşağı
turkish,draw,çizmek
turkish,dream,rüya
turkish,dress,elbise
turkish,drink,içki
turkish,drive,sürücü
turkish,drop,bırakın
turkish,dry,kuru
turkish,duck,ördek
turkish,during,sırasında
turkish,each,her
turkish,ear,kulak
turkish,early,erken
turkish,earth,toprak
turkish,ease,kolaylığı
turkish,east,doğu
turkish,eat,yemek
turkish,edge,kenar
turkish,effect,etkisi
turkish,egg,yumurta
turkish,eight,sekiz
turkish,either,ya da
turkish,electric,elektrik
turkish,element,eleman
turkish,else,başka
turkish,end,son
turkish,enemy,düşman
turkish,energy,enerji
turkish,engine,motor
turkish,enough,yeterli
turkish,enter,girin
turkish,equal,eşit
turkish,equate,eşit
turkish,especially,özellikle
turkish,even,hatta
turkish,evening,akşam
turkish,event,olay
turkish,ever,hiç
turkish,every,her
turkish,exact,tam
turkish,example,örnek
turkish,except,hariç
turkish,excite,heyecanlandırmak
turkish,exercise,egzersiz
turkish,expect,bekliyoruz
turkish,experience,deneyim
turkish,experiment,deneme
turkish,eye,göz
turkish,face,yüz
turkish,fact,gerçek
turkish,fair,adil
turkish,fall,düşmek
turkish,family,aile
turkish,famous,ünlü
turkish,far,kadar
turkish,farm,çiftlik
turkish,fast,hızlı
turkish,fat,şişman
turkish,father,baba
turkish,favor,iyilik
turkish,fear,korku
turkish,feed,beslemek
turkish,feel,hissetmek
turkish,feet,ayaklar
turkish,fell,düştü
turkish,felt,keçe
turkish,few,az
turkish,field,alan
turkish,fig,incir
turkish,fight,kavga
turkish,figure,rakam
turkish,fill,doldurun
turkish,final,nihai
turkish,find,bulmak
turkish,fine,ince
turkish,finger,parmak
turkish,finish,bitirmek
turkish,fire,yangın
turkish,first,ilk
turkish,fish,balık
turkish,fit,uygun
turkish,five,beş
turkish,flat,düz
turkish,floor,zemin
turkish,flow,akış
turkish,flower,çiçek
turkish,fly,uçmak
turkish,follow,izleyin
turkish,food,gıda
turkish,foot,ayak
turkish,for,için
turkish,force,kuvvet
turkish,forest,orman
turkish,form,formu
turkish,forward,ileri
turkish,found,bulundu
turkish,four,dört
turkish,fraction,kesir
turkish,free,ücretsiz
turkish,fresh,taze
turkish,friend,arkadaşı
turkish,from,dan
turkish,front,ön
turkish,fruit,meyve
turkish,full,tam
turkish,fun,eğlenceli
turkish,game,oyunu
turkish,garden,bahçe
turkish,gas,gaz
turkish,gather,toplamak
turkish,gave,verdi
turkish,general,genel
turkish,gentle,nazik
turkish,get,olsun
turkish,girl,kız
turkish,give,vermek
turkish,glad,memnun
turkish,glass,cam
turkish,go,gitmek
turkish,gold,altın
turkish,gone,gitti
turkish,good,iyi
turkish,got,var
turkish,govern,idare
turkish,grand,büyük
turkish,grass,çim
turkish,gray,gri
turkish,great,büyük
turkish,green,yeşil
turkish,grew,büyüdü
turkish,ground,zemin
turkish,group,grup
turkish,grow,büyümek
turkish,guess,sanırım
turkish,guide,kılavuz
turkish,gun,gun
turkish,had,vardı
turkish,hair,saç
turkish,half,yarım
turkish,hand,el
turkish,happen,olur
turkish,happy,mutlu
turkish,hard,sert
turkish,has,var
turkish,hat,şapka
turkish,have,var
turkish,he,diye
turkish,head,kafa
turkish,hear,duymak
turkish,heard,duydum
turkish,heart,kalp
turkish,heat,ısı
turkish,heavy,ağır
turkish,held,tutulan
turkish,help,yardım
turkish,her,onu
turkish,here,burada
turkish,high,yüksek
turkish,hill,tepe
turkish,him,onu
turkish,his,onun
turkish,history,geçmişi
turkish,hit,vurmak
turkish,hold,tutun
turkish,hole,delik
turkish,home,ev
turkish,hope,umut
turkish,horse,at
turkish,hot,sıcak
turkish,hour,saat
turkish,house,ev
turkish,how,nasıl
turkish,huge,büyük
turkish,human,insan
turkish,hundred,yüz
turkish,hunt,avı
turkish,hurry,acele
turkish,i,ben
turkish,ice,buz
turkish,idea,fikir
turkish,if,eğer
turkish,imagine,hayal
turkish,in,içinde
turkish,inch,inch
turkish,include,dahil
turkish,indicate,göstermektedir
turkish,industry,sanayi
turkish,insect,böcek
turkish,instant,anlık
turkish,instrument,enstrüman
turkish,interest,faiz
turkish,invent,icat
turkish,iron,demir
turkish,is,olduğunu
turkish,island,ada
turkish,it,o
turkish,job,iş
turkish,join,katılmak
turkish,joy,sevinç
turkish,jump,atlama
turkish,just,sadece
turkish,keep,tutmak
turkish,kept,tuttu
turkish,key,anahtar
turkish,kill,öldürmek
turkish,kind,tür
turkish,king,kral
turkish,knew,biliyordu
turkish,know,bilmek
turkish,lady,bayan
turkish,lake,göl
turkish,land,arazi
turkish,language,dil
turkish,large,büyük
turkish,last,son
turkish,late,geç
turkish,laugh,gülmek
