language,english,vocabulary
zulu,a,a
zulu,able,ekwazi
zulu,about,mayelana
zulu,above,ngenhla
zulu,act,isenzo
zulu,add,ukwengeza
zulu,afraid,ngesaba
zulu,after,emva
zulu,again,futhi
zulu,against,ngokumelene
zulu,age,yobudala
zulu,ago,edlule
zulu,agree,uvume
zulu,air,air
zulu,all,konke
zulu,allow,uvumele
zulu,also,futhi
zulu,always,njalo
zulu,am,ngiyindlela
zulu,among,phakathi
zulu,an,an
zulu,and,futhi
zulu,anger,intukuthelo
zulu,animal,animal
zulu,answer,impendulo
zulu,any,yisiphi
zulu,appear,avele
zulu,apple,apula
zulu,are,kukhona
zulu,area,indawo
zulu,arm,ingalo
zulu,arrange,ukuhlela
zulu,arrive,finyelela
zulu,art,yobuciko
zulu,as,njengoba
zulu,ask,cela
zulu,at,at
zulu,atom,athomu
zulu,baby,umntwana
zulu,back,back
zulu,bad,okubi
zulu,ball,ngebhola
zulu,band,ibhande
zulu,bank,ebhange
zulu,bar,ibha
zulu,base,isiza
zulu,basic,eziyisisekelo
zulu,bat,nelulwane
zulu,be,kube
zulu,bear,athwale
zulu,beat,bhula
zulu,beauty,ubuhle
zulu,bed,embhedeni
zulu,been,kwaba
zulu,before,ngaphambi
zulu,began,waqala
zulu,begin,uqale
zulu,behind,ngemuva
zulu,believe,bakholwe
zulu,bell,insimbi
zulu,best,umhlabeleli
zulu,better,kangcono
zulu,between,emkhatsini
zulu,big,enkulu
zulu,bird,nyoni
zulu,bit,ihhashi
zulu,black,omnyama
zulu,block,isixa
zulu,blood,negazi
zulu,blow,igalelo
zulu,blue,eluhlaza
zulu,board,ebhodini
zulu,boat,isikebhe
zulu,body,umzimba
zulu,bone,amathambo
zulu,book,incwadi
zulu,born,uzalelwa
zulu,both,kokubili
zulu,bottom,ngezansi
zulu,bought,uthenge
zulu,box,ibhokisi
zulu,boy,mfana
zulu,branch,igatsha
zulu,bread,isinkwa
zulu,break,ukwephuka
zulu,bright,egqamile
zulu,bring,ukuletha
zulu,broad,ebanzi
zulu,broke,waphula
zulu,brother,umfowabo
zulu,brought,baletha
zulu,brown,onsundu
zulu,build,ukwakha
zulu,burn,bashise
zulu,busy,umatasa
zulu,but,kodwana
zulu,buy,thenga
zulu,by,by
zulu,call,call
zulu,came,weza
zulu,camp,ikamu
zulu,can,okusemandleni
zulu,capital,komkhulu
zulu,captain,ukaputeni
zulu,car,imoto
zulu,card,ikhadi
zulu,care,ukunakekelwa
zulu,carry,athwale
zulu,case,icala
zulu,cat,likati
zulu,catch,bamba
zulu,caught,babanjwa
zulu,cause,kwesizathu
zulu,cell,iseli
zulu,cent,angu
zulu,center,isikhungo
zulu,century,leminyaka
zulu,certain,ezithile
zulu,chair,isitulo
zulu,chance,chance
zulu,change,ushintsho
zulu,character,uhlamvu
zulu,charge,gcwalisa
zulu,chart,ishadi
zulu,check,hlola
zulu,chick,iphuphu
zulu,chief,abakhulu
zulu,child,ingane
zulu,children,izingane
zulu,choose,akhethe
zulu,chord,kuzithinta
zulu,circle,jikeleza
zulu,city,dolobha
zulu,claim,faka isicelo
zulu,class,ikilasi
zulu,clean,zihlanzekile
zulu,clear,ecacile
zulu,climb,enyuka
zulu,clock,washi
zulu,close,ngokuminyanisa
zulu,clothe,wembathise
zulu,cloud,ifu
zulu,coast,ugu
zulu,coat,isikhumba
zulu,cold,ezibandayo
zulu,collect,ukuqoqa
zulu,colony,koloni
zulu,color,umbala
zulu,column,ikholomu
zulu,come,uze
zulu,common,ezivamile
zulu,company,yenkampani
zulu,compare,qhathanisa
zulu,complete,kuqedile
zulu,condition,isimo
zulu,connect,xhuma
zulu,consider,cabangela
zulu,consonant,lehamba
zulu,contain,aqukethe
zulu,continent,izwekazi
zulu,continue,uqhubeke
zulu,control,amandla okuphatha
zulu,cook,umpheki
zulu,cool,abandayo
zulu,copy,ikhophi
zulu,corn,ukolweni
zulu,corner,ekhoneni
zulu,correct,lobenele
zulu,cost,izindleko
zulu,cotton,ukotini
zulu,could,okusemandleni
zulu,count,ukubala
zulu,country,izwe
zulu,course,inkambo
zulu,cover,embesa
zulu,cow,eyensikazi
zulu,crease,dile
zulu,create,ukudala
zulu,crop,isitshalo
zulu,cross,ukuwela
zulu,crowd,isixuku
zulu,cry,khala
zulu,current,yamanje
zulu,cut,ukusika
zulu,dad,ubaba
zulu,dance,dance
zulu,danger,ingozi
zulu,dark,amnyama
zulu,day,usuku
zulu,dead,efile
zulu,deal,intengo
zulu,dear,othandekayo
zulu,death,ukufa
zulu,decide,unqume
zulu,decimal,zamadesimali
zulu,deep,ezijulile
zulu,degree,ibanga
zulu,depend,bathembele
zulu,describe,uchaze
zulu,desert,hlamuka
zulu,design,songoza
zulu,determine,linqume
zulu,develop,ukuthuthukisa
zulu,dictionary,isichazamazwi
zulu,did,wenza
zulu,die,fa
zulu,differ,ihluke
zulu,difficult,nzima
zulu,direct,ngqo
zulu,discuss,uxoxe
zulu,distant,ezikude
zulu,divide,ahlukanisa
zulu,division,ukuhlukana
zulu,do,enza
zulu,doctor,udokotela
zulu,does,enza
zulu,dog,inja
zulu,dollar,izindodla zemali
zulu,done,wenziwe
zulu,don’t,ungenzi
zulu,door,umnyango
zulu,double,kabili
zulu,down,phasi
zulu,draw,udwebe
zulu,dream,baphuphe
zulu,dress,ingubo
zulu,drink,isiphuzo
zulu,drive,qhuba
zulu,drop,yokwehlisela
zulu,dry,eyomile
zulu,duck,idada
zulu,during,ngesikhatsi
zulu,each,ngamunye
zulu,ear,indlebe
zulu,early,zakuqala
zulu,earth,emhlabeni
zulu,ease,ekudambiseni
zulu,east,empumalanga
zulu,eat,udle
zulu,edge,emaphethelweni
zulu,effect,umphumela
zulu,egg,iqanda
zulu,eight,eziyisishiyagalombili
zulu,either,noma
zulu,electric,electric
zulu,element,isici
zulu,else,futhi
zulu,end,ukuphela
zulu,enemy,isitha
zulu,energy,amandla
zulu,engine,injini
zulu,enough,ngokwanele
zulu,enter,faka
zulu,equal,alinganayo
zulu,equate,bathi
zulu,especially,ikakhulukazi
zulu,even,yebo
zulu,evening,ukuhlwa
zulu,event,umcimbi
zulu,ever,njalo
zulu,every,njalo
zulu,exact,oluqondile
zulu,example,isibonelo
zulu,except,kuphela
zulu,excite,ethusa
zulu,exercise,umsebenzi
zulu,expect,bheka
zulu,experience,isipiliyoni
zulu,experiment,lokulinga
zulu,eye,iso
zulu,face,ubuso
zulu,fact,empeleni
zulu,fair,ukujabulisa
zulu,fall,awe
zulu,family,umndeni
zulu,famous,esidumile
zulu,far,le
zulu,farm,ipulazi
