language,english,vocabulary
korean,a,이
korean,able,수
korean,about,에 대한
korean,above,위
korean,act,행위
korean,add,추가
korean,afraid,두려워
korean,after,후
korean,again,다시
korean,against,에 대하여
korean,age,연령
korean,ago,전
korean,agree,동의
korean,air,공기
korean,all,모든
korean,allow,수
korean,also,또한
korean,always,항상
korean,am,어디로
korean,among,중
korean,an,이
korean,and,과
korean,anger,분노
korean,animal,동물
korean,answer,답변
korean,any,모든
korean,appear,표시
korean,apple,사과
korean,are,아르
korean,area,지역
korean,arm,팔
korean,arrange,준비
korean,arrive,도착
korean,art,예술
korean,as,로
korean,ask,문의
korean,at,에
korean,atom,원자
korean,baby,아가
korean,back,다시
korean,bad,나쁜
korean,ball,공
korean,band,밴드
korean,bank,은행
korean,bar,바
korean,base,기본
korean,basic,기본
korean,bat,박쥐
korean,be,있다
korean,bear,곰
korean,beat,이길
korean,beauty,아름다움
korean,bed,침대
korean,been,하고
korean,before,이전
korean,began,시작
korean,begin,시작
korean,behind,뒤에
korean,believe,생각
korean,bell,벨
korean,best,가장
korean,better,더
korean,between,사이
korean,big,큰
korean,bird,조류
korean,bit,비트
korean,black,블랙
korean,block,블록
korean,blood,피
korean,blow,타격
korean,blue,푸른
korean,board,판
korean,boat,보트
korean,body,몸
korean,bone,골
korean,book,책
korean,born,태어난
korean,both,모두
korean,bottom,바닥
korean,bought,구입
korean,box,상자
korean,boy,소년
korean,branch,지점
korean,bread,빵
korean,break,단절
korean,bright,밝은
korean,bring,가져
korean,broad,폭 넓은
korean,broke,파산
korean,brother,형제
korean,brought,가져
korean,brown,갈색
korean,build,구축
korean,burn,구울
korean,busy,바쁜
korean,but,하지만
korean,buy,사기
korean,by,에 의해
korean,call,통화
korean,came,온
korean,camp,캠프
korean,can,수
korean,capital,자본
korean,captain,주장
korean,car,자동차
korean,card,카드
korean,care,주의
korean,carry,수행
korean,case,경우
korean,cat,고양이
korean,catch,캐치
korean,caught,적발
korean,cause,원인
korean,cell,셀
korean,cent,센트
korean,center,센터
korean,century,세기
korean,certain,어떤
korean,chair,의자
korean,chance,기회
korean,change,변경
korean,character,문자
korean,charge,충전
korean,chart,차트
korean,check,확인
korean,chick,병아리
korean,chief,장
korean,child,아이
korean,children,어린이
korean,choose,선택
korean,chord,코드
korean,circle,원
korean,city,도시
korean,claim,제
korean,class,클래스
korean,clean,청소
korean,clear,명확한
korean,climb,등반
korean,clock,시계
korean,close,가까이
korean,clothe,의복을 걸치다
korean,cloud,구름
korean,coast,해안
korean,coat,코트
korean,cold,감기
korean,collect,수집
korean,colony,식민지
korean,color,색
korean,column,열
korean,come,올
korean,common,공통의
korean,company,회사
korean,compare,비교
korean,complete,완료
korean,condition,조건
korean,connect,연결
korean,consider,고려
korean,consonant,자음
korean,contain,포함
korean,continent,대륙
korean,continue,계속
korean,control,제어
korean,cook,요리
korean,cool,멋진
korean,copy,복사
korean,corn,옥수수
korean,corner,코너
korean,correct,정확한
korean,cost,비용
korean,cotton,면
korean,could,수
korean,count,계산
korean,country,국가
korean,course,물론
korean,cover,덮개
korean,cow,소
korean,crease,주름
korean,create,작성
korean,crop,작물
korean,cross,교차
korean,crowd,군중
korean,cry,울음 소리
korean,current,현재
korean,cut,컷
korean,dad,아빠
korean,dance,댄스
korean,danger,위험
korean,dark,어두운
korean,day,일
korean,dead,죽은
korean,deal,거래
korean,dear,친애
korean,death,죽음
korean,decide,결정
korean,decimal,소수점
korean,deep,깊은
korean,degree,도
korean,depend,따라
korean,describe,설명
korean,desert,사막
korean,design,디자인
korean,determine,결정
korean,develop,개발
korean,dictionary,사전
korean,did,한
korean,die,죽다
korean,differ,차이
korean,difficult,어려운
korean,direct,직접
korean,discuss,논의
korean,distant,먼
korean,divide,분할
korean,division,부문
korean,do,할
korean,doctor,의사
korean,does,하지
korean,dog,개
korean,dollar,달러
korean,done,완료
korean,don’t,하지
korean,door,문
korean,double,더블
korean,down,아래로
korean,draw,그리
korean,dream,꿈
korean,dress,드레스
korean,drink,한잔
korean,drive,드라이브
korean,drop,드롭
korean,dry,건조
korean,duck,오리
korean,during,중
korean,each,각
korean,ear,귀
korean,early,초기
korean,earth,지구
korean,ease,완화
korean,east,동쪽
korean,eat,식사
korean,edge,에지
korean,effect,효과
korean,egg,계란
korean,eight,팔
korean,either,중
korean,electric,전기
korean,element,요소
korean,else,다른
korean,end,끝
korean,enemy,적
korean,energy,에너지
korean,engine,엔진
korean,enough,충분히
korean,enter,입력
korean,equal,동일
korean,equate,동일시
korean,especially,특히
korean,even,도
korean,evening,저녁
korean,event,이벤트
korean,ever,지금까지
korean,every,모든
korean,exact,정확한
korean,example,예
korean,except,제외
korean,excite,흥분
korean,exercise,운동
korean,expect,기대
korean,experience,경험
korean,experiment,실험
korean,eye,눈
korean,face,얼굴
korean,fact,사실
korean,fair,박람회
korean,fall,가을
korean,family,가족
korean,famous,유명한
korean,far,까지
korean,farm,농장
korean,fast,빠른
korean,fat,지방
korean,father,아버지
korean,favor,호의
korean,fear,무서움
korean,feed,먹이
korean,feel,느낌
korean,feet,피트
korean,fell,하락
korean,felt,느낌
korean,few,조금
korean,field,필드
korean,fig,그림
korean,fight,싸움
korean,figure,그림
korean,fill,입력
korean,final,최종
korean,find,발견
korean,fine,잘
korean,finger,손가락
korean,finish,끝
korean,fire,화재
korean,first,첫째
korean,fish,물고기
korean,fit,적합
korean,five,오
korean,flat,플랫
korean,floor,바닥
korean,flow,흐름
korean,flower,꽃
korean,fly,비행
korean,follow,따라
korean,food,음식
korean,foot,발
korean,for,에 대한
korean,force,힘
korean,forest,숲
korean,form,양식
korean,forward,앞으로
korean,found,발견
korean,four,네
korean,fraction,분수
korean,free,무료
korean,fresh,신선한
korean,friend,친구
korean,from,부터
korean,front,앞
korean,fruit,과일
korean,full,전체
korean,fun,재미
korean,game,게임
korean,garden,정원
korean,gas,가스
korean,gather,수집
korean,gave,준
korean,general,일반
korean,gentle,부드러운
korean,get,도착
korean,girl,소녀
korean,give,제공
korean,glad,다행
korean,glass,유리
korean,go,이동
korean,gold,금
korean,gone,사라
korean,good,좋은
korean,got,있어
korean,govern,적용
korean,grand,그랜드
korean,grass,잔디
korean,gray,회색
korean,great,큰
korean,green,녹색
korean,grew,성장
korean,ground,지상
korean,group,그룹
korean,grow,성장
korean,guess,추측
korean,guide,가이드
korean,gun,총
korean,had,했다
korean,hair,머리
korean,half,반
korean,hand,손
korean,happen,일
korean,happy,행복
korean,hard,단단한
korean,has,이
korean,hat,모자
korean,have,이
korean,he,그
korean,head,머리
korean,hear,듣다
korean,heard,들어
korean,heart,마음
korean,heat,열
korean,heavy,무거운
korean,held,개최
korean,help,도움
korean,her,그녀의
korean,here,여기
korean,high,높은
korean,hill,언덕
korean,him,그
korean,his,그의
korean,history,역사
korean,hit,히트
korean,hold,개최
korean,hole,구멍
korean,home,홈
korean,hope,기대
korean,horse,말
korean,hot,뜨거운
korean,hour,시간
korean,house,집
korean,how,방법
korean,huge,거대한
korean,human,인간
korean,hundred,백
korean,hunt,사냥
korean,hurry,서둘러
korean,i,나는
korean,ice,얼음
korean,idea,아이디어
korean,if,면
korean,imagine,상상
korean,in,에
korean,inch,인치
korean,include,포함
korean,indicate,표시
korean,industry,산업
korean,insect,곤충
korean,instant,인스턴트
korean,instrument,악기
korean,interest,관심
korean,invent,발명하다
korean,iron,철
korean,is,이다
korean,island,섬
korean,it,그
korean,job,작업
korean,join,가입
korean,joy,즐거움
korean,jump,점프
korean,just,단지
korean,keep,유지
korean,kept,유지
korean,key,키
korean,kill,죽
korean,kind,종류
korean,king,왕
korean,knew,알고
korean,know,알고
korean,lady,아가씨
korean,lake,호수
korean,land,땅
korean,language,언어
korean,large,큰
korean,last,마지막
korean,late,후반
korean,laugh,웃음
korean,law,법
korean,lay,누워
korean,lead,지도
korean,learn,학습
korean,least,이상
korean,leave,떠나
korean,led,주도
korean,left,왼쪽
korean,leg,다리
korean,length,길이
korean,less,이하
korean,let,하자
korean,letter,편지
korean,level,수준
korean,lie,거짓말
korean,life,생활
korean,lift,리프트
korean,light,빛
korean,like,같은
korean,line,온라인
korean,liquid,액체
korean,list,표
korean,listen,청취
korean,little,작은
korean,live,살고있다
korean,locate,위치
korean,log,로그인
korean,lone,고독한
korean,long,긴
korean,look,봐
korean,lost,손실
korean,lot,많은
korean,loud,큰 소리로
korean,love,사랑
korean,low,낮은
korean,machine,기계
korean,made,만든
korean,magnet,자석
korean,main,주
korean,major,주요
korean,make,확인
korean,man,사람
korean,many,많은
korean,map,지도
korean,mark,마르크
korean,market,시장
korean,mass,질량
korean,master,마스터
korean,match,경기
korean,material,재료
korean,matter,문제
korean,may,수도
korean,me,나를
korean,mean,의미
korean,meant,의미
korean,measure,측정
korean,meat,고기
korean,meet,대회
korean,melody,멜로디
korean,men,남자
korean,metal,금속
korean,method,방법
korean,middle,중간
korean,might,수도
korean,mile,마일
korean,milk,우유
korean,million,만
korean,mind,마음
korean,mine,내
korean,minute,분
korean,miss,미스
korean,mix,혼합
korean,modern,현대
korean,molecule,분자
korean,moment,순간
korean,money,돈
korean,month,개월
korean,moon,달
korean,more,더
korean,morning,아침
korean,most,가장
korean,mother,어머니
korean,motion,모션
korean,mount,마운트
korean,mountain,산
korean,mouth,입
korean,move,움직임
korean,much,많은
korean,multiply,곱
korean,music,음악
korean,must,해야
korean,my,내
korean,name,이름
korean,nation,국민
korean,natural,자연
korean,nature,자연
korean,near,가까운
korean,necessary,필요
korean,neck,목
korean,need,필요가있다
korean,neighbor,이웃
korean,never,결코
korean,new,새로운
korean,next,다음
korean,night,밤
korean,nine,구
korean,no,없음
korean,noise,잡음
korean,noon,정오
korean,nor,도
korean,north,북
korean,nose,코
korean,note,주의
korean,nothing,아무것도
korean,notice,예고
korean,noun,명사
korean,now,지금
korean,number,수
korean,numeral,숫자
korean,object,객체
korean,observe,관찰
korean,occur,발생
korean,ocean,대양
korean,of,의
korean,off,오프
korean,offer,제안
korean,office,사무실
korean,often,자주
korean,oh,오
korean,oil,기름
korean,old,늙은
korean,on,에
korean,once,한 번
korean,one,일
korean,only,만
korean,open,오픈
korean,operate,운영
korean,opposite,정반대의
korean,or,또는
korean,order,주문
korean,organ,기관
korean,original,원래
korean,other,다른
korean,our,우리의
korean,out,아웃
korean,over,이상
korean,own,자신의
korean,oxygen,산소
korean,page,페이지
korean,paint,페인트
korean,pair,쌍
korean,paper,종이
korean,paragraph,단락
korean,parent,부모
korean,part,일부
korean,particular,특히
korean,party,파티
korean,pass,통과
korean,past,지난
korean,path,경로
korean,pattern,패턴
