language,english,vocabulary
irish,a,a
irish,able,ann
irish,about,faoi
irish,above,thuas
irish,act,gníomh
irish,add,cuir
irish,afraid,eagla
irish,after,tar éis
irish,again,arís
irish,against,i gcoinne
irish,age,aois
irish,ago,ó shin
irish,agree,aontaíonn
irish,air,aer
irish,all,go léir
irish,allow,ar chumas
irish,also,freisin
irish,always,i gcónaí
irish,am,rn
irish,among,i measc
irish,an,ar
irish,and,agus
irish,anger,fearg
irish,animal,ainmhithe
irish,answer,freagra
irish,any,aon
irish,appear,le feiceáil
irish,apple,úll
irish,are,tá
irish,area,limistéar
irish,arm,lámh
irish,arrange,socrú a
irish,arrive,teacht
irish,art,ealaín
irish,as,mar
irish,ask,a iarraidh
irish,at,ag
irish,atom,adamh
irish,baby,leanbh
irish,back,ar ais
irish,bad,dona
irish,ball,liathróid
irish,band,banna
irish,bank,banc
irish,bar,barra
irish,base,bonn
irish,basic,bunúsach
irish,bat,bat
irish,be,bheith
irish,bear,iompróidh
irish,beat,buille
irish,beauty,áilleacht
irish,bed,leaba
irish,been,curtha
irish,before,roimh
irish,began,thosaigh
irish,begin,tús a chur
irish,behind,taobh thiar
irish,believe,creidim
irish,bell,clog
irish,best,fearr
irish,better,níos fearr
irish,between,idir
irish,big,mór
irish,bird,éan
irish,bit,giotán
irish,black,dubh
irish,block,bloc
irish,blood,fuil
irish,blow,buille
irish,blue,gorm
irish,board,bord
irish,boat,bád
irish,body,comhlacht
irish,bone,cnámh
irish,book,leabhar
irish,born,rugadh
irish,both,dá
irish,bottom,bun
irish,bought,cheannaigh
irish,box,bosca
irish,boy,buachaill
irish,branch,brainse
irish,bread,arán
irish,break,sos
irish,bright,geal
irish,bring,thabhairt
irish,broad,leathan
irish,broke,bhris
irish,brother,deartháir
irish,brought,thug
irish,brown,donn
irish,build,a thógáil
irish,burn,sruthán
irish,busy,gnóthach
irish,but,ach
irish,buy,cheannach
irish,by,ag
irish,call,glao
irish,came,tháinig
irish,camp,campa
irish,can,is féidir
irish,capital,caipitil
irish,captain,captaen
irish,car,carr
irish,card,cárta
irish,care,cúram
irish,carry,iompar
irish,case,cás
irish,cat,cat
irish,catch,ghabháil
irish,caught,ghabh
irish,cause,faoi deara
irish,cell,cill
irish,cent,cent
irish,center,ionad
irish,century,haois
irish,certain,áirithe
irish,chair,cathaoir
irish,chance,seans
irish,change,athraithe
irish,character,charachtar
irish,charge,muirear
irish,chart,chairt
irish,check,seiceáil
irish,chick,chick
irish,chief,príomhfheidhmeannach
irish,child,leanbh
irish,children,leanaí
irish,choose,roghnaigh
irish,chord,corda
irish,circle,ciorcal
irish,city,cathair
irish,claim,éileamh
irish,class,rang
irish,clean,glan
irish,clear,soiléir
irish,climb,tóg
irish,clock,clog
irish,close,gar
irish,clothe,clothe
irish,cloud,scamall
irish,coast,chósta
irish,coat,cóta
irish,cold,fuar
irish,collect,bhailiú
irish,colony,coilíneacht
irish,color,dath
irish,column,colún
irish,come,teacht
irish,common,coitianta
irish,company,cuideachta
irish,compare,a chur i gcomparáid
irish,complete,críochnaithe
irish,condition,coinníoll
irish,connect,ceangal
irish,consider,a mheas
irish,consonant,consan
irish,contain,go bhfuil
irish,continent,mór-roinn
irish,continue,leanúint ar aghaidh
irish,control,rialú
irish,cook,cócaireacht
irish,cool,fionnuar
irish,copy,cóip
irish,corn,arbhar
irish,corner,cúinne
irish,correct,ceart
irish,cost,costas
irish,cotton,cadás
irish,could,d’fhéadfadh
irish,count,comhaireamh
irish,country,tír
irish,course,cúrsa
irish,cover,chlúdach
irish,cow,bó
irish,crease,crease
irish,create,chruthú
irish,crop,barr
irish,cross,tras
irish,crowd,slua
irish,cry,caoin
irish,current,atá ann faoi láthair
irish,cut,gearrtha
irish,dad,daidí
irish,dance,rince
irish,danger,contúirt
irish,dark,dorcha
irish,day,lá
irish,dead,marbh
irish,deal,déileáil
irish,dear,daor
irish,death,bás
irish,decide,cinneadh a dhéanamh
irish,decimal,dheachúlach
irish,deep,domhain
irish,degree,céim
irish,depend,ag brath
irish,describe,cur síos a dhéanamh
irish,desert,fásach
irish,design,dearadh
irish,determine,chinneadh
irish,develop,fhorbairt
irish,dictionary,foclóir
irish,did,rinne
irish,die,bás
irish,differ,difriúil
irish,difficult,deacair
irish,direct,díreach
irish,discuss,plé a dhéanamh ar
irish,distant,i bhfad i gcéin
irish,divide,deighilt
irish,division,roinn
irish,do,dhéanamh
irish,doctor,dochtúir
irish,does,dhéanann
irish,dog,madra
irish,dollar,cheadú
irish,done,rinneadh
irish,don’t,nach
irish,door,doras
irish,double,dúbailte
irish,down,síos
irish,draw,a tharraingt
irish,dream,aisling
irish,dress,gúna
irish,drink,deoch
irish,drive,tiomáint
irish,drop,titim
irish,dry,tirim
irish,duck,lacha
irish,during,le linn
irish,each,gach
irish,ear,cluas
irish,early,go luath
irish,earth,cré
irish,ease,maolú ar
irish,east,soir
irish,eat,ithe
irish,edge,imeall
irish,effect,éifeacht
irish,egg,ubh
irish,eight,ocht
irish,either,ceachtar
irish,electric,leictreacha
irish,element,eilimint
irish,else,eile
irish,end,deireadh
irish,enemy,namhaid
irish,energy,fuinnimh
irish,engine,inneall
irish,enough,leor
irish,enter,isteach
irish,equal,comhionann
irish,equate,ionann
irish,especially,go háirithe
irish,even,fiú
irish,evening,tráthnóna
irish,event,imeacht
irish,ever,riamh
irish,every,gach
irish,exact,cruinn
irish,example,mar shampla
irish,except,ach amháin
irish,excite,spreagfaidh
irish,exercise,a fheidhmiú
irish,expect,ag súil leis
irish,experience,taithí
irish,experiment,turgnamh
irish,eye,súl
irish,face,aghaidh
irish,fact,go deimhin
irish,fair,cóir
irish,fall,titim
irish,family,teaghlach
irish,famous,cáiliúil
irish,far,i bhfad
irish,farm,feirme
irish,fast,tapa
irish,fat,saill
irish,father,athair
irish,favor,bhfabhar
irish,fear,eagla
irish,feed,beatha
irish,feel,bhraitheann
irish,feet,cosa
irish,fell,thit
irish,felt,bhraith
irish,few,beag
irish,field,réimse
irish,fig,fige
irish,fight,troid i
irish,figure,figiúr
irish,fill,líonadh
irish,final,deiridh
irish,find,aimsiú
irish,fine,fíneáil
irish,finger,mhéar
irish,finish,chríochnú
irish,fire,dóiteáin
irish,first,ar dtús
irish,fish,iasc
irish,fit,oiriúnach
irish,five,cúig
irish,flat,árasán
irish,floor,urlár
irish,flow,sreabhadh
irish,flower,bláth
irish,fly,eitilt
irish,follow,leanúint
irish,food,bia
irish,foot,cos
irish,for,do
irish,force,bhfeidhm
irish,forest,foraoise
irish,form,fhoirm
irish,forward,ar aghaidh
irish,found,fuair
irish,four,ceithre
irish,fraction,chodán
irish,free,saor in aisce
irish,fresh,úr
irish,friend,cara
irish,from,ó
irish,front,tosaigh
irish,fruit,torthaí
irish,full,lán
irish,fun,spraoi
irish,game,cluiche
irish,garden,gairdín
irish,gas,gáis
irish,gather,bhailiú
irish,gave,thug
irish,general,ginearálta
irish,gentle,mhín
irish,get,a fháil
irish,girl,cailín
irish,give,thabhairt
irish,glad,sásta
irish,glass,gloine
irish,go,dul
irish,gold,óir
irish,gone,imithe
irish,good,maith
irish,got,fuair
irish,govern,rialaíonn
irish,grand,mhór
irish,grass,féar
irish,gray,liath
irish,great,mór
irish,green,glas
irish,grew,d’fhás
irish,ground,talamh
irish,group,grúpa
irish,grow,fás
