category,myth,fact,true
Health,Cracking your knuckles causes arthritis,"Studies show no link between knuckle cracking and arthritis.",n
Health,You lose most of your body heat through your head,Heat loss is proportional to exposed skin and the head is only about 10% of body surface.,n
Health,Sugar makes children hyperactive,"Multiple studies find no link between sugar and hyperactivity in children.",n
Health,Reading in dim light ruins your eyesight,Dim light can cause eye strain but no permanent vision damage.,n
Health,You should drink eight glasses of water a day,The eight glasses rule is a myth and needs vary by body activity and climate.,n
Health,The tongue map shows only four taste zones,Taste buds across the whole tongue detect all five basic tastes.,n
Space,The Great Wall of China is visible from space,The Great Wall is barely visible from low orbit and not visible from the Moon.,n
Space,The Sun is yellow,The Sun is white and Earth's atmosphere scatters blue light making it look yellow.,n
Space,There is no gravity in space,Astronauts float because they are in continuous free fall around Earth.,n
Space,The Moon has a permanent dark side,The far side gets sunlight and is far not dark.,n
Space,Mercury is the hottest planet,Venus at about 465°C is hotter due to a runaway greenhouse effect.,n
Space,The Eiffel Tower grows taller in summer,Heat expands the iron adding up to 15 cm in summer.,y
History,Napoleon was very short,Napoleon was about 5'7 average for his time and the short myth came from British propaganda.,n
History,Vikings wore horned helmets,No archaeological evidence supports it and the image came from 19th century romanticism.,n
History,Marie Antoinette said Let them eat cake,The phrase appears in Rousseau's writings before her time.,n
History,The Great Pyramid was built by slaves,Evidence suggests paid skilled laborers built it.,n
History,Einstein failed math in school,He excelled in math and the myth stemmed from a mistaken grading report.,n
Technology,More megapixels always mean better photos,Sensor size lens and processing matter as much as pixel count.,n
Technology,You should fully drain your phone battery before charging,Modern lithium-ion batteries prefer partial charges and draining regularly shortens life.,n
Technology,Private browsing makes you invisible online,It hides history locally but not from your ISP or websites.,n
Technology,Macs cannot get viruses,Macs can be infected though macOS has fewer malware threats than Windows.,n
Nature,Goldfish have a three second memory,Goldfish can remember things for months and learn tasks.,n
Nature,Bulls are enraged by the color red,Bulls are colorblind and charge because of the cape's movement.,n
Nature,Ostriches bury their heads in the sand,Ostriches lie flat or dig nests and never bury their heads.,n
Nature,A duck's quack does not echo,A duck's quack does echo and the myth came from a TV segment.,n
Nature,Honey never spoils,Sealed honey can last indefinitely and edible honey was found in Egyptian tombs.,y
Food,Eating carrots improves your night vision,Carrots provide vitamin A for eye health but cannot give night vision.,n
Food,MSG is harmful to your health,MSG is generally recognized as safe and Chinese restaurant syndrome is unproven.,n
Food,You should wait an hour after eating before swimming,No medical evidence supports a dangerous cramp risk.,n
Food,The five second rule keeps food safe,Bacteria transfer in milliseconds and there is no safe window.,n
Psychology,We only use 10% of our brains,Brain imaging shows activity across nearly all regions during the day.,n
Psychology,People are either left brained or right brained,Both hemispheres work together for most tasks.,n
