Text,Language
Bilowgii Ilaah samada iyo dhulkuu abuuray.,Somali
"Dhulkuna qaab ma lahayn, wuuna madhnaa; gudcurna moolkuu dul joogay; oo Ruuxa Ilaahna wuxuu ka dul dhaqdhaqaaqayay biyaha.",Somali
"Ilaahna wuxuu yidhi, Iftiin ha ahaado: iftiin baana ahaaday.",Somali
Ilaahna wuxuu arkay iftiinkii inuu wanaagsan yahay: Ilaahna iftiinkii ayuu ka soocay gudcurkii.,Somali
"Ilaahna iftiinkii wuxuu u bixiyey Maalin, gudcurkiina wuxuu u bixiyey Habeen. Waxaana jiray fiid iyo subax, isla maalin ah.",Somali
"Ilaahna wuxuu yidhi, Meel bannaani ha noqoto biyaha dhexdooda, oo iyadu biyaha ha ka soocdo biyaha.",Somali
"Markaasuu Ilaah sameeyey meeshii bannaanka ahayd, oo wuxuu biyihii bannaanka ka hooseeyey ka soocay kuwii bannaanka ka sarreeyey; sidaasayna ahaatay.",Somali
"Ilaahna bannaankii wuxuu u bixiyey Samo. Waxaana jiray fiid iyo subax, maalintii labaad.",Somali
"Ilaahna wuxuu yidhi, Biyaha samada ka hooseeya meel ha isugu soo urureen, oo ciidda engegani ha muuqato; sidaasayna ahaatay.",Somali
Markaasuu Ilaah ciiddii engegnayd u bixiyey Dhul; ururkii biyahana wuxuu u bixiyey Bado: oo Ilaah wuxuu arkay in taasu wanaagsan tahay.,Somali
"Ilaahna wuxuu yidhi, Dhulku ha soo bixiyo doog, iyo geedo yaryar oo iniino dhala, iyo geedo waaweyn oo midho caynkooda ah dhala, oo iniinahoodu ku dhex jiraan, oo dhulka ku kor yaal; sidaasayna ahaatay.",Somali
"Dhulkiina wuxuu soo bixiyey doog, iyo geedo yaryar oo leh iniino caynkooda ah, iyo geedo waaweyn oo midho dhala, oo iniinahoodu ku dhex jiraan, iyagoo caynkooda ah, Ilaahna wuxuu arkay in taasu wanaagsan tahay.",Somali
"Waxaana jiray fiid iyo subax, maalintii saddexaad.",Somali
"Ilaahna wuxuu yidhi, Iftiimmo ha ahaadeen meesha bannaan oo samada dhex ah si ay u kala soocaan maalinta iyo habeenka; oo ha u ahaadeen calaamooyin, iyo xilliyo, iyo maalmo iyo sannado;",Somali
oo iftiimmo ha u noqdeen meeshii bannaanayd oo samada dhex ahayd si ay u iftiimiyaan dhulka dushiisa; sidaasayna ahaatay.,Somali
"Oo Ilaah wuxuu sameeyey labada iftiin ee waaweyn; si uu iftiinka weynu u xukumo maalinta, iftiinka yaruna u xukumo habeenka; oo xiddigahana wuu sameeyey.",Somali
"Ilaahna wuxuu iyaga dhigay meeshii bannaanayd oo samada dhex ahayd si ay dhulka u iftiimiyaan,",Somali
"oo ay u xukumaan maalinta iyo habeenka, oo ay iftiinka uga soocaan gudcurka, Ilaahna wuxuu arkay in taasu wanaagsan tahay.",Somali
"Oo waxaana jiray fiid iyo subax, maalintii afraad.",Somali
"Oo Ilaah wuxuu yidhi, Biyuhu aad ha u soo bixiyeen uun dhaqdhaqaaqa oo badan, oo naf nool leh, haadduna ha duusho dhulka dushiisa xagga meeshii bannaanayd oo samada dhex ahayd.",Somali
"Oo Ilaah wuxuu abuuray nibiriyada badda oo waaweyn, iyo uun kasta oo nool oo dhaqdhaqaaqa, ee biyuhu aad u soo bixiyeen iyagoo badan, oo caynkooda oo kale dhala, iyo haad kasta oo caynkiisa dhala; Ilaahna wuxuu arkay in taasu wanaagsan tahay.",Somali
"Oo Ilaah baa barakeeyey iyaga, isagoo leh, Wax badan dhala, oo tarma, oo biyaha badaha ka buuxsama, haadduna ha ku tarmeen dhulka.",Somali
"Oo waxaana jiray fiid iyo subax, maalintii shanaad.",Somali
"Oo Ilaah wuxuu yidhi, Dhulku ha soo bixiyo uun nool oo caynkiisa dhala, kuwaasoo ah xoolo, iyo waxa gurguurta, iyo dugaagga dhulka oo caynkooda dhala; sidaasayna ahaatay.",Somali
"Ilaahna wuxuu sameeyey dugaagga dhulka oo caynkiisa dhala, iyo xoolo caynkooda dhala, iyo wax kasta oo dhulka gurguurta oo caynkiisa dhala; Ilaahna wuxuu arkay in taasu wanaagsan tahay.",Somali
"Ilaahna wuxuu yidhi, Aan nin inoo eg ka samayno araggeenna, oo iyagu ha xukumeen kalluunka badda, iyo haadda hawada, iyo xoolaha, iyo dhulka oo dhan, iyo waxa dhulka gurguurta oo dhan.",Somali
"Oo Ilaah nin buu ka abuuray araggiisa, Ilaah araggiisa ayuu ka abuuray isaga; lab iyo dhaddig ayuu abuuray.",Somali
"Oo Ilaah waa barakeeyey iyaga; oo Ilaah wuxuu iyaga ku yidhi, Wax badan dhala oo tarma, oo dhulka ka buuxsama, oo ka sara mara dhulka, oo xukuma kalluunka badda, iyo haadda hawada, iyo wax kasta oo nool oo dhulka kor dhaqdhaqaaqa.",Somali
"Oo Ilaah wuxuu yidhi, Bal eeg, waxaan idin siiyey geed kasta oo yar oo iniino dhala, oo ku yaal dhulka dushiisa oo dhan, iyo geed kasta oo weyn, kaasoo midho leh, iniinona dhala; oo waxay idiin noqon doonaan cunto;",Somali
"oo dugaag kasta oo dhulka jooga, iyo haad kasta oo hawada duula, iyo wax kasta oo dhulka gurguurta, oo naf nool leh ayaan geed kasta oo cagaar ah cunto u siiyey; sidaasayna ahaatay.Oo Ilaah wuxuu arkay wax kasta oo uu sameeyey, oo bal eeg, aad bay u wanaagsanaayeen. Waxaana jiray fiid iyo subax, maalintii lixaad.",Somali
"Oo Ilaah wuxuu arkay wax kasta oo uu sameeyey, oo bal eeg, aad bay u wanaagsanaayeen. Waxaana jiray fiid iyo subax, maalintii lixaad.",Somali
"Samada iyo dhulkuna way dhammaadeen, iyo waxa badan ee ku jira oo dhammuba.",Somali
