Text,Language
በመጀመሪያ እግዚአብሔር ሰማይንና ምድርን ፈጠረ።,Amharic
ምድርም ባዶ ነበረች፥ አንዳችም አልነበረባትም፤ ጨለማም በጥልቁ ላይ ነበረ፤ የእግዚአብሔርም መንፈስ በውኃ ላይ ሰፍፎ ነበር።,Amharic
እግዚአብሔርም። ብርሃን ይሁን ኣለ፤ ብርሃንም ሆነ።,Amharic
እግዚአብሔርም ብርሃኑ መልካም እንደ ሆነ አየ፤ እግዚብሔርም ብርሃንንና ጨለማን ለየ።,Amharic
እግዚአብሔርም ብርሃኑን ቀን ብሎ ጠራው፥ ጨለማውንም ሌሊት አለው። ማታም ሆነ ጥዋትም ሆነ፥ አንድ ቀን።,Amharic
እግዚአብሔርም። በውኆች መካከል ጠፈር ይሁን፥ በውኃና በውኃ መካከልም ይክፈል አለ።,Amharic
እግዚአብሔርም ጠፈርን አደረገ፥ ከጠፈር በታችና ከጠፈር በላይ ያሉትንም ውኆች ለየ፤ እንዲሁም ሆነ።,Amharic
እግዚአብሔር ጠፈርን ሰማይ ብሎ ጠራው። ማታም ሆነ ጥዋትም ሆነ፥ ሁለተኛ ቀን።,Amharic
እግዚአብሔርም። ከሰማይ በታች ያለው ውኃ በአንድ ስፍራ ይሰብሰብ፥ የብሱም ይገለጥ አለ እንዲሁም ሆነ።,Amharic
እግዚአብሔርም የብሱን ምድር ብሎ ጠራው፤ የውኃ መከማቻውንም ባሕር አለው፤ እግዚእብሔርም ያ መልካም እንደ ሆነ አየ።,Amharic
እግዚአብሔርም። ምድር ዘርን የሚሰጥ ሣርንና ቡቃያን በምድርም ላይ እንደ ወገኑ ዘሩ ያለበትን ፍሬን የሚያፈራ ዛፍን ታብቅል አለ፤ እንዲሁም ሆነ።,Amharic
ምድርም ዘርን የሚሰጥ ሣርንና ቡቃያን እንደ ወገኑ ዘሩም ያለበትን ፍሬን የሚያፈራ ዛፍን እንደ ወገኑ አበቀለች። እግዚአብሔርም ያ መልካም እንደ ሆነ አየ።,Amharic
ማታም ሆነ ጥዋትም ሆነ፥ ሦስተኛ ቀን።,Amharic
እግዚአብሔርም አለ። ቀንና ሌሊትን ይለዩ ዘንድ ብርሃናት በሰማይ ጠፈር ይሁኑ፤ ለምልክቶች ለዘመኖች ለዕለታት ለዓመታትም ይሁኑ፤,Amharic
በምድር ላይ ያበሩ ዘንድ በሰማይ ጠፈር ብርሃናት ይሁኑ፤ እንዲሁም ሆነ።,Amharic
እግዚአብሔርም ሁለት ታላላቆች ብርሃናትን አደረገ፤ ትልቁ ብርሃን በቀን እንዲሠለጥን፥ ትንሹም ብርሃን በሌሊት እንዲሰለጥን፤ ከዋክብትንም ደግሞ አደረገ።,Amharic
እግዚአብሔርም በምድር ላይ ያበሩ ዘንድ በሰማይ ጠፈር አኖራቸው፤,Amharic
በቀንም በሌሊትም እንዲሠለጥኑ፥ ብርሃንንና ጨለማንም እንዲለዩ፤ እግዚአብሔርም ያ መልካም እንደ ሆነ አየ።,Amharic
ማታም ሆነ ጥዋትም ሆነ፥ አራተኛ ቀን።,Amharic
እግዚአብሔርም አለ። ውኃ ሕያው ነፍስ ያላቸውን ተንቀሳቃሾች ታስገኝ፥ ወፎችም ከምድር በላይ ከሰማይ ጠፈር በታች ይብረሩ።,Amharic
እግዚአብሔርም ታላላቆች አንበሪዎችን፥ ውኃይቱ እንደ ወገኑ ያስገኘቻቸውንም ተንቀሳቃሾቹን ሕያዋን ፍጥረታት ሁሉ፥ እንደ ወገኑ የሚበሩትንም ወፎች ሁሉ ፈጠረ፤ እግዚአብሔርም ያ መልካም እንደ ሆነ አየ።,Amharic
እግዚአብሔርም እንዲህ ብሎ ባረካቸው። ብዙ ተባዙም የባሕርንም ውኃ ሙሉአት፤ ወፎችም በምድር ላይ ይብዙ።,Amharic
ማታም ሆነ ጥዋትም ሆነ፥ አምስተኛ ቀን።,Amharic
እግዚአብሔርም አለ። ምድር ሕያዋን ፍጥረታትን እንደ ወገኑ፥ እንስሳትንና ተንቀሳቃሾችን የምድር አራዊትንም እንደ ወገኑ፥ ታውጣ፤ እንዲሁም ሆነ።,Amharic
እግዚአብሔር የምድር አራዊትን እንደ ወገኑ አደረገ፥ እንስሳውንም እንደ ወገኑ፥ የመሬት ተንቀሳቃሾችንም እንደ ወገኑ አደረገ፤ እግዚአብሔርም ያ መልካም እንደ ሆነ አየ።,Amharic
እግዚአብሔርም አለ። ሰውን በመልካችን እንደ ምሳሌአችን እንፍጠር፤ የባሕር ዓሦችንና የሰማይ ወፎችን፥ እንስሳትንና ምድርን ሁሉ፥ በምድር ላይ የሚንቀሳቀሱትንም ሁሉ ይግዙ።,Amharic
እግዚአብሔርም ሰውን በመልኩ ፈጠረ፤ በእግዚአብሔር መልክ ፈጠረው፤ ወንድና ሴት አድርጎ ፈጠራቸው።,Amharic
እግዚአብሔርም ባረካቸው፥ እንዲህም አላቸው። ብዙ፥ ተባዙ፥ ምድርንም ሙሉአት፥ ግዙአትም፤ የባሕርን ዓሦችና የሰማይን ወፎች በምድር ላይ የሚንቀሳቀሱትንም ሁሉ ግዙአቸው።,Amharic
እግዚአብሔርም አለ። እነሆ መብል ይሆናችሁ ዘንድ በምድር ፊት ሁሉ ላይ ዘሩ በእርሱ ያለውን ሐመልማል ሁሉ፥ የዛፍን ፍሬ የሚያፈራውንና ዘር ያለውንም ዛፍ ሁሉ ሰጠኋችሁ፤,Amharic
ለምድርም አራዊት ሁሉ፥ ለሰማይም ወፎች ሁሉ፥ ሕያው ነፍስ ላላቸው ለምድር ተንቀሳቃሾችም ሁሉ የሚበቅለው ሐመልማል ሁሉ መብል ይሁንላቸው፤ እንዲሁም ሆነ።,Amharic
እግዚአብሔርም ያደረገውን ሁሉ አየ፥ እነሆም እጅግ መልካም ነበረ። ማታም ሆነ ጥዋትም ሆነ፥ ስድስተኛ ቀን።,Amharic
ሰማይና ምድር ሠራዊታቸውም ሁሉ ተፈጸሙ።,Amharic
እግዚአብሔርም የሠራውን ሥራ በሰባተኛው ቀን ፈጸመ፤ በሰባተኛውም ቀን ከሠራው ሥራ ሁሉ ዐረፈ።,Amharic
እግዚአብሔርም ሰባተኛውን ቀን ባረከው ቀደሰውም፤ እግዚአብሔር ሊያደርገው ከፈጠረው ሥራ ሁሉ በእርሱ ዐርፎአልና።,Amharic
እግዚአብሔር አምላክ ሰማይንና ምድርን ባደረገ አምላክ ሰማይንና ምድርን ቀን፥ በተፈጠሩ ጊዜ የሰማይና የምድር ልደት ይህ ነው።,Amharic
የሜዳ ቁጥቋጦ ሁሉ በምድር ላይ ገና አልነበረም፤ የሜዳውም ቡቃያ ሁሉ ገና አልበቀለም ነበር፤ እግዚአብሔር አምላክ ምድር ላይ አላዘነበም ነበርና፥ ምድርንም የሚሠራባት ሰው አልነበረም፤,Amharic
ነገር ግን ጉም ከምድር ትወጣ ነበር፥ የምድርንም ፊት ሁሉ ታጠጣ ነበር።,Amharic
እግዚአብሔር አምላክም ሰውን ከምድር አፈር አበጀው፤ በአፍንጫውም የሕይወት እስትንፋስን እፍ አለበት፤ ሰውም ሕያው ነፍስ ያለው ሆነ።,Amharic
እግዚአብሔር አምላክም በምሥራቅ በዔድን ገነትን ተከለ የፈጠረውንም ሰው ከዚያው አኖረው።,Amharic
እግዚአብሔር አምላክም ለማየት ደስ የሚያሰኘውን፥ ለመብላትም መልካም የሆነውን ዛፍ ሁሉ ከምድር አበቀለ፤ በገነትም መካከል የሕይወትን ዛፍ፥ መልካምንና ክፉን የሚያስታውቀውንም ዛፍ አበቀለ።,Amharic
ወንዝም ገነትን ያጠጣ ዘንድ ከዔድን ይወጣ ነበር፤ ከዚያም ለአራት ክፍል ይከፈል ነበር።,Amharic
የአንደኛው ወንዝ ስም ፊሶን ነው፤ እርሱም ወርቅ የሚገኝበትን የኤውላጥ ምድርን ይከብባል፤ የዚያም ምድር ወርቅ ጥሩ ነው፤,Amharic
ከዚያም ሉልና የከበረ ድንጋይ ይገኛል።,Amharic
የሁለተኛውም ወንዝ ስም ግዮን ነው፤ እርሱም የኢትዮጵያን ምድር ሁሉ ይከብባል።,Amharic
የሦስተኛውም ወንዝ ስም ጤግሮስ ነው፤ እርሱም በአሦር ምሥራቅ የሚሄድ ነው።,Amharic
አራተኛውም ወንዝ ኤፍራጥስ ነው። እግዚአብሔር አምላክም ሰውን ወስዶ ያበጃትም ይጠብቃትም ዘንድ በዔድን ገነት አኖረው።,Amharic
እግዚአብሔር አምላክም ሰውን እንዲህ ብሎ አዘዘው። ከገነት ዛፍ ሁሉ ትበላለህ፤,Amharic
ነገር ግን መልካምንና ክፉን ከሚያስታውቀው ዛፍ አትብላ፤ ከእርሱ በበላህ ቀን ሞትን ትሞታለህና።,Amharic
እግዚአብሔር አምላክም አለ። ሰው ብቻውን ይሆን ዘንድ መልካም አይደለም፤ የሚመቸውን ረዳት እንፍጠርለት።,Amharic
እግዚአብሔር አምላክም የምድር አራዊትንና የሰማይ ወፎችን ሁሉ ከመሬት አደረገ፤ በምን ስም እንደሚጠራቸውም ያይ ዘንድ ወደ አዳም አመጣቸው፤ አዳምም ሕያው ነፍስ ላለው ሁሉ በስሙ እንደ ጠራው ስሙ ያው ሆነ።,Amharic
አዳምም ለእንስሳት ሁሉ፥ ለሰማይ ወፎችም ሁሉ፥ ለምድር አራዊትም ሁሉ ስም አወጣላቸው፤ ነገር ግን ለአዳም እንደ እርሱ ያለ ረዳት አልተገኘለትም ነበር።,Amharic
እግዚአብሔር አምላክም በአዳም ከባድ እንቅልፍን ጣለበት፥ አንቀላፋም፤ ከጎኑም አንዲት አጥንትን ወስዶ ስፍራውን በሥጋ ዘጋው።,Amharic
እግዚአብሔር አምላክም ከአዳም የወሰዳትን አጥንት ሴት አድርጎ ሠራት፤ ወደ አዳምም አመጣት።,Amharic
አዳምም አለ። ይህች አጥንት ከአጥንቴ ናት፥ ሥጋም ከሥጋዬ ናት፤ እርስዋ ከወንድ ተገኝታለችና ሴት ትባል።,Amharic
ስለዚህ ሰው አባቱንና እናቱን ይተዋል፥ በሚስቱም ይጣበቃል፤ ሁለቱም አንድ ሥጋ ይሆናሉ።,Amharic
አዳምና ሚስቱ ሁለቱም ዕራቁታቸውን ነበሩ፥ አይተፋፈሩም ነበር።,Amharic
እባብም እግዚአብሔር አምላክ ከፈጠረው ከምድር አውሬ ሁሉ ይልቅ ተንኰለኛ ነበረ። ሴቲቱንም። በውኑ እግዚአብሔር ከገነት ዛፍ ሁሉ እንዳትበሉ አዝዞአልን? አላት።,Amharic
ሴቲቱም ለእባቡ አለችው። በገነት ካለው ከዛፍ ፍሬ እንበላለን፤,Amharic
ነገር ግን በገነት መካከል ካለው ከዛፉ ፍሬ፥ እግዚአብሔር አለ። እንዳትሞቱ ከእርሱ አትብሉ አትንኩትም።,Amharic
እባብም ለሴቲቱ አላት። ሞትን አትሞቱም፤,Amharic
ከእርስዋ በበላችሁ ቀን ዓይኖቻችሁ እንዲከፈቱ እንደ እግዚአብሔርም መልካምንና ክፉን የምታውቁ እንድትሆኑ እግዚአብሔር ስለሚያውቅ ነው እንጂ።,Amharic
ሴቲቱም ዛፉ ለመብላት ያማረ እንደ ሆነ፥ ለዓይንም እንደሚያስጎመጅ፥ ለጥበብም መልካም እንደ ሆነ አየች፤ ከፍሬውም ወሰደችና በላች፤ ለባልዋም ደግሞ ሰጠችው እርሱም ከእርስዋ ጋር በላ።,Amharic
የሁለቱም ዓይኖች ተከፈቱ፥ እነርሱም ዕራቁታቸውን እንደ ሆኑ አወቁ፤ የበለስንም ቅጠሎች ሰፍተው ለእነርሱ ለራሳቸው ግልድም አደረጉ።,Amharic
እነርሱም ቀኑ በመሸ ጊዜ የእግዚአብሔርን የአምላክን ድምፅ ከገነት ውስጥ ሲመላለስ ሰሙ፤ አዳምና ሚስቱም ከእግዚአብሔር ከአምላክ ፊት በገነት ዛፎች መካከል ተሸሸጉ።,Amharic
እግዚአብሔር አምላክም አዳምን ጠርቶ። ወዴት ነህ? አለው።,Amharic
እርሱም አለ። በገነት ድምፅህን ሰማሁ፤ ዕራቁቴንም ስለ ሆንሁ ፈራሁ፥ ተሸሸግሁም።,Amharic
እግዚአብሔርም አለው። ዕራቁትህን እንደ ሆንህ ማን ነገረህ? ከእርሱ እንዳትበላ ካዘዝሁህ ዛፍ በውኑ በላህን?,Amharic
አዳምም አለ። ከእኔ ጋር እንድትሆን የሰጠኸኝ ሴት እርስዋ ከዛፉ ሰጠችኝና በላሁ።,Amharic
እግዚአብሔር አምላክም ሴቲቱን። ይህ ያደረግሽው ምንድር ነው? አላት። ሴቲቱም አለች። እባብ አሳተኝና በላሁ።,Amharic
እግዚአብሔር አምላክም እባቡን አለው። ይህን ስላደረግህ ከእንስሳት ከምድር አራዊትም ሁሉ ተለይተህ አንተ የተረገምህ ትሆናለህ፤ በሆድህም ትሄዳለህ፥ አፈርንም በሕይወትህ ዘመን ሁሉ ትበላለህ።,Amharic
በአንተና በሴቲቱ መካከል፥ በዘርህና በዘርዋም መካከል ጠላትነትን አደርጋለሁ፤ እርሱ ራስህን ይቀጠቅጣል፥ አንተም ሰኰናውን ትቀጠቅጣለህ።,Amharic
ለሴቲቱም አለ። በፀነስሽ ጊዜ ጭንቅሽን እጅግ አበዛለሁ፤ በጭንቅ ትወልጃለሽ፤ ፈቃድሽም ወደ ባልሽ ይሆናል፥ እርሱም ገዥሽ ይሆናል።,Amharic
አዳምንም አለው። የሚስትህን ቃል ሰምተሃልና፥ ከእርሱ እንዳትበላ ካዘዝሁህ ዛፍም በልተሃልና ምድር ከአንተ የተነሣ የተረገመች ትሁን፤ በሕይወት ዘመንህም ሁሉ በድካም ከእርስዋ ትበላለህ፤,Amharic
እሾህንና አሜከላን ታበቅልብሃለች፤ የምድርንም ቡቃያ ትበላለህ።,Amharic
ወደ ወጣህበት መሬት እስክትመለስ ድረስ በፊትህ ወዝ እንጀራን ትበላለህ፤ አፈር ነህና፥ ወደ አፈርም ትመለሳለህና።,Amharic
አዳምም ለሚስቱ ሔዋን ብሎ ስም አወጣ፥ የሕያዋን ሁሉ እናት ናትና።,Amharic
እግዚአብሔር አምላክም ለአዳምና ለሚስቱ የቁርበትን ልብስ አደረገላቸው፥ አለበሳቸውም።,Amharic
እግዚአብሔር አምላክም አለ። እነሆ አዳም መልካምንና ክፉን ለማወቅ ከእኛ እንደ አንዱ ሆነ፤ አሁንም እጁን እንዳይዘረጋ፥ ደግሞም ከሕይወት ዛፍ ወስዶ እንዳይበላ፥ ለዘላለምም ሕያው ሆኖ እንዳይኖር፤,Amharic
ስለዚህ እግዚአብሔር አምላክ ከዔድን ገነት አስወጣው፥ የተገኘባትን መሬት ያርስ ዘንድ።,Amharic
አዳምንም አስወጣው፥ ወደ ሕይወት ዛፍ የሚወስደውንም መንገድ ለመጠበቅ ኪሩቤልንና የምትገለባበጥ የነበልባል ሰይፍን በዔድን ገነት ምሥራቅ አስቀመጠ።,Amharic
አዳምም ሚስቱን ሔዋንን አወቀ፤ ፀነሰችም፥ ቃየንንም ወለደች። እርስዋም። ወንድ ልጅ ከእግዚአብሔር አገኘሁ አለች።,Amharic
ደግሞም ወንድሙን አቤልን ወለደች። አቤልም በግ ጠባቂ ነበረ፤ ቃየንም ምድርን የሚያርስ ነበረ።,Amharic
ከብዙ ቀን በኋላም ቃየን ከምድር ፍሬ ለእግዚአብሔር መሥዋዕትን አቀረበ፤,Amharic
አቤልም ደግሞ ከበጎቹ በኵራትና ከስቡ አቀረበ። እግዚአብሔርም ወደ አቤልና ወደ መሥዋዕቱ ተመለከተ፤,Amharic
ወደ ቃየንና ወደ መሥዋዕቱ ግን አልተመለከተም። ቃየንም እጅግ ተናደደ ፊቱም ጠቆረ።,Amharic
እግዚአብሔርም ቃየንን አለው። ለምን ተናደድህ? ለምንስ ፊትህ ጠቆረ?,Amharic
መልካም ብታደርግ ፊትህ የሚበራ አይደለምን? መልካም ባታደርግ ግን ኃጢአት በደጅ ታደባለች፤ ፈቃድዋም ወደ አንተ ነው፥ አንተ ግን በእርስዋ ንገሥባት።,Amharic
ቃየንም ወንድሙን አቤልን። ና ወደ ሜዳ እንሂድ አለው። በሜዳም ሳሉ ቃየን በወንድሙ በአቤል ላይ ተነሣበት፥ ገደለውም።,Amharic
እግዚአብሔርም ቃየንን አለው። ወንድምህ አቤል ወዴት ነው? እርሱም አለ። አላውቅም፤ የወንድሜ ጠባቂው እኔ ነኝን?,Amharic
አለውም። ምን አደረግህ? የወንድምህ የደሙ ድምፅ ከምድር ወደ እኔ ይጮኻል።,Amharic
አሁንም የወንድምህን ደም ከእጅህ ለመቀበል አፍዋን በከፈተች በምድር ላይ አንተ የተረገምህ ነህ።,Amharic
ምድርንም ባረስህ ጊዜ እንግዲህ ኃይልዋን አትሰጥህም፤ በምድርም ላይ ኰብላይና ተቅበዝባዥ ትሆናለህ።,Amharic
ቃየንም እግዚአብሔርን አለው። ኃጢአቴ ልሸከማት የማልችላት ታላቅ ናት።,Amharic
እነሆ ዛሬ ከምድር ፊት አሳደድኸኝ፤ ከፊትህም እሰወራለሁ፤ በምድርም ላይ ኰብላይና ተቅበዝባዥ እሆናለሁ፤ የሚያገኘኝም ሁሉ ይገድለኛል።,Amharic
እግዚአብሔርም እርሱን አለው። እንግዲህ ቃየንን የገደለ ሁሉ ሰባት እጥፍ ይበቀልበታል። እግዚአብሔርም ቃየንን ያገኘው ሁሉ እንዳይገድለው ምልክት አደረገለት።,Amharic
ቃየንም ከእግዚአብሔር ፊት ወጣ፤ ከዔድንም ወደ ምሥራቅ በኖድ ምድር ተቀመጠ።,Amharic
ቃየንም ሚስቱን አወቀ፤ ፀነሰችም፥ ሄኖሕንም ወለደች። ከተማም ሠራ፥ የከተማይቱንም ስም በልጁ ስም ሄኖሕ አላት።,Amharic
ሄኖሕም ጋይዳድን ወለደ፤ ጋይዳድም ሜኤልን ወለደ፤ ሜኤልም ማቱሣኤልን ወለደ፤ ማቱሣኤልም ላሜሕን ወለደ።,Amharic
ላሜሕም ለራሱ ሁለት ሚስቶችን አገባ፤ የአንዲቱ ስም ዓዳ፥ የሁለተኛይቱ ስም ሴላ ነበረ።,Amharic
ዓዳም ያባልን ወለደች፤ እርሱም በድንኳን የሚቀመጡት የዘላኖች አባት ነበረ።,Amharic
የወንድሙም ስም ዩባል ነበረ፤ እርሱም በገናንና መለከትን ለሚይዙ አባት ነበረ።,Amharic
ሴላም ደግሞ ከናስና ከብረት የሚቀጠቀጥ ዕቃን የሚሠራውን ቱባልቃይንን ወለደች። የቱባልቃይንም እኅት ናዕማ ነበረች።,Amharic
ላሜሕም ለሚስቶቹ ለዓዳና ለሴላ አላቸው። እናንት የላሜሕ ሚስቶች ቃሌን ስሙ፥ ነገሬንም አድምጡ፤ እኔ ጕልማሳውን ለቍስሌ፥ ብላቴናውንም ለመወጋቴ ገድዬዋለሁና፤,Amharic
ቃየንን ሰባት እጥፍ ይበቀሉታል፤ ላሜሕን ግን ሰባ ሰባት እጥፍ። ይበቀሉታል,Amharic
አዳም ደግሞ ሚስቱን አወቀ፤ ወንድ ልጅንም ወለደች። ስሙንም። ቃየን በገደለው በአቤል ፋንታ እግዚአብሔር ሌላ ዘር ተክቶልኛል ስትል ሴት አለችው።,Amharic
ለሴት ደግሞ ወንድ ልጅ ተወለደለት፤ ስሙንም ሄኖስ አለው፤ በዚያን ጊዜም በእግዚአብሔር ስም መጠራት ተጀመረ። a,Amharic
የአዳም የትውልዱ መጽሐፍ ይህ ነው። እግዚአብሔር አዳምን በፈጠረ ቀን በእግዚአብሔር ምሳሌ አደረገው፤,Amharic
ወንድና ሴት አድርጎ ፈጠራቸው፥ ባረካቸውም። ስማቸውንም በፈጠረበት ቀን አዳም ብሎ ጠራቸው።,Amharic
አዳምም ሁለት መቶ ሠላሳ ዓመት ኖረ፥ ልጅንም በምሳሌው እንደ መልኩ ወለደ፤ ስሙንም ሴት ብሎ ጠራው።,Amharic
አዳምም ሴትን ከወለደ በኋላ የኖረው ሰባት መቶ ዓመት ሆነ፤ ወንዶችንም ሴቶችንም ወለደ።,Amharic
አዳምም የኖረበት ዘመን ሁሉ ዘጠኝ መቶ ሠላሳ ዓመት ሆነ፤ ሞተም።,Amharic
ሴትም ሁለት መቶ አምስት ዓመት ኖረ፥ ሄኖስንም ወለደ፤,Amharic
ሴትም ሄኖስን ከወለደ በኋላ የኖረው ሰባት መቶ ሰባት ዓመት ሆነ፤ ወንዶችንም ሴቶችንም ወለደ።,Amharic
ሴትም የኖረበት ዘመን ሁሉ ዘጠኝ መቶ አሥራ ሁለት ዓመት ሆነ፤ ሞተም።,Amharic
ሄኖስም መቶ ዘጠና ዓመት ኖረ፥ ቃይናንንም ወለደ፤,Amharic
ሄኖስም ቃይናንን ከወለደ በኋላ የኖረው ሰባት መቶ አሥራ አምስት ዓመት ሆነ፤ ወንዶችንም ሴቶችንም ወለደ።,Amharic
ሄኖስም የኖረበት ዘመን ሁሉ ዘጠኝ መቶ አምስት ዓመት ሆነ ሞተም።,Amharic
ቃይናንም መቶ ሰባ ዓመት ኖረ፥ መላልኤልንም ወለደ፤,Amharic
ቃይናንም መላልኤልን ከወለደ በኋላ የኖረው ሰባት መቶ አርባ ዓመት ሆነ፤ ወንዶችንም ሴቶችንም ወለደ።,Amharic
ቃይናንም የኖረበት ዘመን ሁሉ ዘጠኝ መቶ አሥር ዓመት ሆነ፤ ሞተም።,Amharic
መላልኤልም መቶ ስድሳ አምስት ዓመት ኖረ፥ ያሬድንም ወለደ፤,Amharic
መላልኤልም ያሬድን ከወለደ በኋላ የኖረው ሰባት መቶ ሠላሳ ዓመት ሆነ፤ ወንዶችንም ሴቶችንም ወለደ።,Amharic
መላልኤልም የኖረበት ዘመን ሁሉ ስምንት መቶ ዘጠና አምስት ዓመት ሆነ፤ ሞተም።,Amharic
ያሬድም መቶ ስድሳ ሁለት ዓመት ኖረ፥ ሄኖክንም ወለደ,Amharic
