Text,Language
В началото Бог създаде небето и земята.,Bulgarian
А земята беше пуста и неустроена; и тъмнина покриваше бездната; и Божият Дух се носеше над водата.,Bulgarian
И Бог каза: Да бъде светлина. И стана светлина.,Bulgarian
"И Бог видя, че светлината беше добро; и Бог раздели светлината от тъмнината.",Bulgarian
"И Бог нарече светлината Ден, а тъмнината нарече Нощ. И стана вечер, и стана утро, ден първи.",Bulgarian
"И Бог каза: Да бъде простор посред водите, който да раздели вода от вода.",Bulgarian
"И Бог направи простора; и раздели водата, която беше под простора",Bulgarian
"И Бог нарече простора Небе. И стана вечер, и стана утро, ден втори.",Bulgarian
"И Бог каза: Да се събере на едно място водата, която е под небето, та да се яви сушата; и стана така.",Bulgarian
"И Бог нарече сушата Земя, и събраната вода нарече Морета; и Бог видя, че беше добро.",Bulgarian
"И Бог каза: Да произрасти земята крехка трева, трева семеносна и плодно дърво, което да ражда плод, според вида си, чието семе да е в него на земята; и стана така.",Bulgarian
"Земята произрасти крехка трева, трева която дава семе, според вида си, и дърво, което да ражда плод, според вида си, чието семе е в него; и Бог видя че беше добро.",Bulgarian
"И стана вечер, и стана утро ден трети.",Bulgarian
"И Бог каза: Да има светлина на небесния простор, за да разделят деня от нощта; нека служат за знаци и за показване времената, дните, годините;",Bulgarian
"и да бъдат за светила на небесния простор, за да осветляват земята; и стана така.",Bulgarian
"Бог създаде двете големи светила: по-голямото светило, за да владее деня, а по-малкото светило, за да владее нощта; създаде и звездите.",Bulgarian
"И Бог ги постави на небесния простор, за да осветляват земята,",Bulgarian
"да владеят деня и нощта, и да разделят светлината от тъмнината; и Бог видя, че беше добро.",Bulgarian
"И стана вечер, и стана утро, ден четвърти.",Bulgarian
"И Бог каза: Да произведе водата изобилно множества одушевени влечуги, и птици да хвърчат над земята по небесния простор.",Bulgarian
"И Бог създаде големите морски чудовища и всяко одушевено същество, което се движи, които водата произведе изобилно, според видовете им, и всяка крилата птица според вида й; и Бог видя, че беше добро.",Bulgarian
"И благослови Бог, казвайки: Плодете се, размножавайте се, и напълнете водите в моретата; нека се размножават и птиците по земята.",Bulgarian
"И стана вечер, и стана утро, ден пети.",Bulgarian
"И Бог каза: Да произведе земята одушевени животни, според видовете им: добитък, влечуги и земни зверове, според видовете им; и стана така.",Bulgarian
"Бог създаде земните зверове според видовете им, добитъка - според видовете му, и всичко което пълзи по земята, според видовете му; И Бог видя, че беше добро.",Bulgarian
"И Бог каза: Да създадем човека по Нашия образ, по Наше подобие; и нека владее над морските риби, над небесните птици, над добитъка, над цялата земя и над всяко животно, което пълзи по земята.",Bulgarian
