Text,Language
En la komenco Dio kreis la cxielon kaj la teron.,Esperanto
"Kaj la tero estis senforma kaj dezerta, kaj mallumo estis super la abismo; kaj la spirito de Dio sxvebis super la akvo.",Esperanto
Kaj Dio diris: Estu lumo; kaj farigxis lumo.,Esperanto
"Kaj Dio vidis la lumon, ke gxi estas bona; kaj Dio apartigis la lumon de la mallumo.",Esperanto
"Kaj Dio nomis la lumon Tago, kaj la mallumon Li nomis Nokto. Kaj estis vespero, kaj estis mateno, unu tago.",Esperanto
"Kaj Dio diris: Estu firmajxo inter la akvo, kaj gxi apartigu akvon de akvo.",Esperanto
"Kaj Dio kreis la firmajxon, kaj apartigis la akvon, kiu estas sub la firmajxo, de la akvo, kiu estas super la firmajxo; kaj farigxis tiel.",Esperanto
"Kaj Dio nomis la firmajxon CXielo. Kaj estis vespero, kaj estis mateno,  la dua tago.",Esperanto
"Kaj Dio diris: Kolektigxu la akvo de sub la cxielo en unu lokon, kaj aperu la sekajxo; kaj farigxis tiel.",Esperanto
"Kaj Dio nomis la sekajxon Tero, kaj la kolektigxojn de la akvo Li nomis Maroj. Kaj Dio vidis, ke gxi estas bona.",Esperanto
"Kaj Dio diris: Kreskigu la tero verdajxon, herbon, kiu naskas semon,  fruktarbon, kiu donas laux sia speco frukton, kies semo estas en gxi mem, sur la tero; kaj farigxis tiel.",Esperanto
"Kaj la tero elkreskigis verdajxon, herbon, kiu naskas semon laux sia speco, kaj arbon, kiu donas frukton, kies semo estas en gxi mem laux sia speco. Kaj Dio vidis, ke gxi estas bona.",Esperanto
"Kaj estis vespero, kaj estis mateno, la tria tago.",Esperanto
"Kaj Dio diris: Estu lumajxoj en la cxiela firmajxo, por apartigi la tagon de la nokto, kaj ili prezentu signojn, tempojn, tagojn, kaj jarojn;",Esperanto
"kaj ili estu lumajxoj en la cxiela firmajxo, por lumi super la tero; kaj farigxis tiel.",Esperanto
"Kaj Dio faris la du grandajn lumajxojn: la pli grandan lumajxon, por regi la tagon, kaj la malpli grandan lumajxon, por regi la nokton, kaj la stelojn.",Esperanto
"Kaj Dio starigis ilin sur la cxiela firmajxo, por ke ili lumu sur la teron,",Esperanto
"kaj por ke ili regu la tagon kaj la nokton kaj faru diferencon inter la lumo kaj la mallumo. Kaj Dio vidis, ke gxi estas bona.",Esperanto
"Kaj estis vespero, kaj estis mateno, la kvara tago.",Esperanto
"Kaj Dio diris: La akvo aperigu movigxantajxojn, vivajn estajxojn, kaj birdoj ekflugu super la tero, sub la cxiela firmajxo.",Esperanto
"Kaj Dio kreis la grandajn balenojn, kaj cxiujn vivajn estajxojn movigxantajn, kiujn aperigis la akvo, laux ilia speco, kaj cxiujn flugilhavajn birdojn laux ilia speco. Kaj Dio vidis, ke gxi estas bona.",Esperanto
"Kaj Dio ilin benis, dirante: Fruktu kaj multigxu, kaj plenigu la akvon en la maroj, kaj la birdoj multigxu sur la tero.",Esperanto
"Kaj estis vespero, kaj estis mateno, la kvina tago.",Esperanto
"Kaj Dio diris: La tero aperigu vivajn estajxojn, laux ilia speco,  brutojn kaj rampajxojn kaj surterajn bestojn, laux ilia speco; kaj farigxis tiel.",Esperanto
"Kaj Dio kreis la bestojn de la tero, laux ilia speco, kaj la brutojn,  laux ilia speco, kaj cxiujn rampajxojn de la tero, laux ilia speco. Kaj Dio vidis, ke gxi estas bona.",Esperanto
"Kaj Dio diris: Ni kreu homon laux Nia bildo, similan al Ni; kaj ili regu super la fisxoj de la maro kaj super la birdoj de la cxielo kaj super la brutoj, kaj super cxiuj rampajxoj, kiuj rampas sur la tero.",Esperanto
"Kaj Dio kreis la homon laux Sia bildo, laux la bildo de Dio Li kreis lin; en formo de viro kaj virino Li kreis ilin.",Esperanto
"Kaj Dio benis ilin, kaj Dio diris al ili: Fruktu kaj multigxu, kaj plenigu la teron kaj submetu gxin al vi, kaj regu super la fisxoj de la maro kaj super la birdoj de la cxielo, kaj super cxiuj bestoj, kiuj movigxas sur la tero.",Esperanto
"Kaj Dio diris: Jen Mi donis al vi cxiujn herbojn, kiuj semas semon, kiuj trovigxas sur la tuta tero, kaj cxiujn arbojn, kiuj havas en si arban frukton, kiu semas semon; tio estu por vi mangxajxo.",Esperanto
"Kaj al cxiuj bestoj de la tero kaj al cxiuj birdoj de la cxielo kaj al cxiuj rampajxoj sur la tero, kiuj havas en si vivan animon, la tutan verdan herbajxon kiel mangxajxon. Kaj farigxis tiel.",Esperanto
"Kaj Dio rigardis cxion, kion Li kreis, kaj vidis, ke gxi estas tre bona.  Kaj estis vespero, kaj estis mateno, la sesa tago.",Esperanto
Kaj estis finitaj la cxielo kaj la tero kaj cxiuj iliaj apartenajxoj.,Esperanto
"Kaj Dio finis en la sepa tago Sian laboron, kiun Li faris, kaj Li ripozis en la sepa tago de la tuta laboro, kiun Li faris.",Esperanto
"Kaj Dio benis la sepan tagon kaj sanktigis gxin, cxar en gxi Li ripozis de Sia tuta laboro, kiun Li faris kreante.",Esperanto
"Tia estas la naskigxo de la cxielo kaj la tero, kiam ili estis kreitaj,  kiam Dio la Eternulo faris la teron kaj la cxielon.",Esperanto
"Kaj nenia kampa arbetajxo ankoraux estis sur la tero, kaj nenia kampa herbo ankoraux kreskis, cxar Dio la Eternulo ne pluvigis sur la teron, kaj ne ekzistis homo, por prilabori la teron.",Esperanto
Sed nebulo levigxadis de la tero kaj donadis malsekecon al la tuta suprajxo de la tero.,Esperanto
"Kaj Dio la Eternulo kreis la homon el polvo de la tero, kaj Li enblovis en lian nazon spiron de vivo, kaj la homo farigxis viva animo.",Esperanto
"Kaj Dio la Eternulo plantis gxardenon en Eden en la Oriento, kaj Li metis tien la homon, kiun Li kreis.",Esperanto
"Kaj Dio la Eternulo elkreskigis el la tero cxiun arbon cxarman por la vido kaj bonan por la mangxo, kaj la arbon de vivo en la mezo de la gxardeno,  kaj la arbon de sciado pri bono kaj malbono.",Esperanto
