category,type,item,link
web,cms,Blog CMS (WordPress),
web,cms,Content Platform (Contentful),
web,cms,Headless CMS (Strapi),
web,cms,Enterprise CMS (Drupal),
web,cms,Knowledge Base (Notion),
web,cms,Documentation Site (GitBook),
web,cms,Portfolio Builder (Webflow),
web,cms,Landing Pages (Unbounce),
web,cms,Course Platform (Teachable),
web,cms,Job Board (Greenhouse),
web,e-commerce,Online Store (Shopify),
web,e-commerce,Digital Storefront (WooCommerce),
web,e-commerce,Marketplace (Magento),
web,e-commerce,Subscription Service (ReCharge),
web,e-commerce,Booking System (Calendly),
web,e-commerce,Food Delivery (DoorDash),
web,e-commerce,Auction Platform (eBay),
web,e-commerce,Rental Marketplace (Airbnb),
web,e-commerce,Crowdfunding Platform (Kickstarter),
web,e-commerce,Classified Ads (OfferUp),
web,analytics,Site Analytics (Plausible),
web,analytics,Product Analytics (Mixpanel),
web,analytics,BI Dashboard (Metabase),
web,analytics,SEO Dashboard (Ahrefs),
web,analytics,Real-time Monitor (Grafana),
web,analytics,A/B Testing (Optimizely),
web,analytics,Heatmap Tool (Hotjar),
web,analytics,Log Analytics (Splunk),
web,analytics,User Insights (Amplitude),
web,analytics,Social Analytics (Sprout Social),
web,collaboration,Task Manager (Asana),
web,collaboration,Kanban Board (Trello),
web,collaboration,Document Editor (Coda),
web,collaboration,Team Wiki (Confluence),
web,collaboration,Whiteboard (Miro),
web,collaboration,Meeting Notes (Roam),
web,collaboration,Workflow Builder (Zapier),
web,collaboration,Smart Sheet (Airtable),
web,collaboration,OKR Tracker (Gtmhub),
web,collaboration,Survey Tool (Typeform),
web,social,Microblog Platform (Twitter),
web,social,Photo Sharing (Instagram),
web,social,Video Platform (YouTube),
web,social,Forum Software (Discourse),
web,social,Group Chat (Discord),
web,social,Review Platform (Yelp),
web,social,Q&A Community (Stack Overflow),
web,social,Event Platform (Meetup),
web,social,Visual Discovery (Pinterest),
web,social,Professional Network (LinkedIn),
web,publishing,Newsletter Platform (Substack),
web,publishing,Blog Platform (Medium),
web,publishing,Documentation Portal (ReadTheDocs),
web,publishing,Journal App (Day One),
web,publishing,Story Platform (Wattpad),
web,publishing,Research Tool (Zotero),
web,publishing,Developer Blog (Dev.to),
web,publishing,Photography Portfolio (500px),
web,publishing,Writer Platform (Ghost),
web,publishing,Link Sharing (Linktree),
mobile,social,Photo Sharing (Instagram),
mobile,social,Short Video (TikTok),
mobile,social,Ephemeral Chat (Snapchat),
mobile,social,Messaging App (WhatsApp),
mobile,social,Encrypted Chat (Signal),
mobile,social,Dating App (Tinder),
mobile,social,Live Streaming (Twitch),
mobile,social,Social Audio (Clubhouse),
mobile,social,Anonymous Chat (Yik Yak),
mobile,social,Group Messaging (GroupMe),
mobile,game,Puzzle Game (Tetris),
mobile,game,Word Game (Wordle),
mobile,game,Arcade Game (Flappy Bird),
mobile,game,Endless Runner (Temple Run),
mobile,game,Card Game (Solitaire),
mobile,game,Board Game (Chess),
mobile,game,Trivia Quiz (QuizUp),
mobile,game,Match-3 Puzzle (Candy Crush),
mobile,game,Music Rhythm (Beat Saber),
mobile,game,Strategy Battle (Clash of Clans),
mobile,productivity,To-Do List (Todoist),
mobile,productivity,Habit Tracker (Habitica),
mobile,productivity,Note Taking (Evernote),
mobile,productivity,Task Manager (Trello),
mobile,productivity,Calendar App (Fantastical),
mobile,productivity,Pomodoro Timer (Forest),
mobile,productivity,Goal Tracker (Strides),
mobile,productivity,Expense Tracker (Mint),
mobile,productivity,Journal App (Day One),
mobile,productivity,Mood Tracker (Daylio),
mobile,lifestyle,Fitness Tracker (Strava),
mobile,lifestyle,Meal Planner (MyFitnessPal),
mobile,lifestyle,Sleep Tracker (Calm),
mobile,lifestyle,Meditation App (Headspace),
mobile,lifestyle,Recipe App (Yummly),
mobile,lifestyle,Workout Logger (Strong),
mobile,lifestyle,Water Tracker (Plant Nanny),
mobile,lifestyle,Period Tracker (Clue),
mobile,lifestyle,Step Counter (Pedometer),
mobile,lifestyle,Yoga Practice (Down Dog),
mobile,utility,Flashlight Tool (Flashlight),
mobile,utility,QR Scanner (QR Code Reader),
mobile,utility,Unit Converter (Convert Units),
mobile,utility,Voice Recorder (Voice Memos),
mobile,utility,Digital Compass (Compass GPS),
mobile,utility,Level Gauge (Bubble Level),
mobile,utility,Barcode Scanner (ShopSavvy),
mobile,utility,Tip Calculator (Tip Calc),
mobile,utility,Interval Timer (HIIT Timer),
mobile,utility,Drawing Pad (Sketchbook),
mobile,education,Language Learning (Duolingo),
mobile,education,Flashcard App (Anki),
mobile,education,Quiz Platform (Quizlet),
mobile,education,Coding Tutorial (Mimo),
mobile,education,Math Practice (Khan Academy),
mobile,education,Science Learning (Brilliant),
mobile,education,History Timeline (HistoryMaps),
mobile,education,Music Tutor (Yousician),
mobile,education,Typing Tutor (Typing Club),
mobile,education,Speed Reading (Spreeder),
desktop,editor,Code Editor (VS Code),
desktop,editor,Markdown Editor (Typora),
desktop,editor,Text Editor (Sublime Text),
desktop,editor,Image Editor (Photoshop),
desktop,editor,Video Editor (DaVinci Resolve),
desktop,editor,Audio Editor (Audacity),
desktop,editor,PDF Editor (Acrobat),
desktop,editor,SVG Editor (Inkscape),
desktop,editor,LaTeX Editor (Overleaf),
desktop,editor,Hex Editor (Hex Fiend),
desktop,creative,Photo Editor (Lightroom),
desktop,creative,Vector Graphics (Illustrator),
desktop,creative,3D Modeler (Blender),
desktop,creative,Animation Tool (After Effects),
desktop,creative,UI Design (Figma),
desktop,creative,Icon Designer (Sketch),
desktop,creative,Font Creator (FontForge),
desktop,creative,Screen Recorder (OBS Studio),
desktop,creative,Color Palette Tool (Coolors),
desktop,creative,Screenshot App (Snagit),
desktop,media,Music Player (Spotify),
desktop,media,Video Player (VLC),
desktop,media,Podcast App (Overcast),
desktop,media,Media Server (Plex),
desktop,media,Audio Converter (XLD),
desktop,media,Video Converter (HandBrake),
desktop,media,Streaming Client (Kodi),
desktop,media,CD Ripper (EAC),
desktop,media,Tag Editor (Mp3tag),
desktop,media,Graphic Equalizer (Boom 3D),
desktop,productivity,Note Taking (Obsidian),
desktop,productivity,Knowledge Base (Logseq),
desktop,productivity,Outliner (Dynalist),
desktop,productivity,Journal App (Day One),
desktop,productivity,Mind Mapper (XMind),
desktop,productivity,Task Manager (Things),
desktop,productivity,Spreadsheet App (Excel),
desktop,productivity,Calendar App (Fantastical),
desktop,productivity,Database App (Airtable),
desktop,productivity,Diagram Tool (Draw.io),
desktop,communication,Messaging App (Slack),
desktop,communication,Email Client (Thunderbird),
desktop,communication,VoIP Client (Zoom),
desktop,communication,IRC Client (HexChat),
desktop,communication,Matrix Client (Element),
desktop,communication,Video Calls (FaceTime),
desktop,communication,Screen Sharing (TeamViewer),
desktop,communication,Team Chat (Discord),
