id,username,name,title,country,rapid_rating_last,rapid_rating_deviation,rapid_rating_best,blitz_rating_last,blitz_rating_deviation,blitz_rating_best,bullet_rating_last,bullet_rating_deviation,bullet_rating_best,is_streamer,twitch_url,joined,joined_date,last_online,last_online_date
360558673,0blivi0usspy,,GM,France,2510,49,2510,2872,28,2897,2526,46,2526,False,,1714573164,2024-05-01,1718821559,2024-06-20
18800602,123lt,Tingjie Lei,GM,China,2477,67,2550,2781,115,2803,2725,79,2824,False,,1410059361,2014-09-07,1712610623,2024-04-09
29499974,124chess,Dmitriy Khegay,GM,Russia,2244,168,2350,2586,47,2830,2764,48,2846,False,,1471316272,2016-08-16,1718330562,2024-06-14
30610578,1977ivan,Ivan Ivanisevic,GM,Serbia,2386,103,2556,2819,44,2875,2650,209,2075,False,,1477565847,2016-10-27,1717939802,2024-06-09
13013662,1stsecond,Nikita Meshkovs,GM,Latvia,2576,46,2617,2847,33,2941,2969,30,2969,False,,1375617889,2013-08-04,1718867086,2024-06-20
69412324,4thd-alpeacefulmoon,Robert Markus,GM,Serbia,0,0,0,2724,47,2732,0,0,0,False,,1576488055,2019-12-16,1716287254,2024-05-21
7246509,731291,Lance Henderson de La Fuente,GM,Spain,2359,140,2470,2665,76,2770,2642,65,2643,False,,1334046062,2012-04-10,1704063358,2024-01-01
43349734,a-adly,Ahmed Adly,GM,Egypt,2720,122,2720,2939,49,2968,2862,33,3020,False,,1518647998,2018-02-15,1716518796,2024-05-24
10968500,a-fier,Alex Fier,GM,Brazil,2482,49,2589,2840,37,2948,2668,49,2839,True,,1361966117,2013-02-27,1718829631,2024-06-20
59828698,abasovn,Nijat Abasov,GM,Azerbaijan,2325,224,2609,2870,47,3024,2733,49,3080,False,,1555281657,2019-04-15,1718744496,2024-06-19
205859387,abbasifarhassan,Hassan Abbasifar,GM,Iran,1985,169,2200,2232,100,2302,2202,347,0,False,,1668181858,2022-11-11,1701621873,2023-12-03
336295585,abbasovfarid1979,Farid Abbasov,GM,Azerbaijan,0,0,0,2698,47,2707,1803,346,0,False,,1704199552,2024-01-02,1715837052,2024-05-16
39633960,abdimalik_abdisalimov,Abdimalik Abdisalimov,GM,Uzbekistan,1934,151,2101,2821,72,2916,2826,88,2989,False,,1508573535,2017-10-21,1718259728,2024-06-13
17884042,abhidabhi,Abhimanyu Puranik,GM,India,2577,106,2660,2902,38,2996,2686,85,2721,False,,1404098245,2014-06-30,1718879579,2024-06-20
78571890,abhijeetgupta,Abhijeet Gupta,GM,India,2459,128,2600,2981,33,2991,2679,63,2849,False,,1588606684,2020-05-04,1683229754,2023-05-05
11047160,abhijeetgupta1016,Abhijeet Gupta,GM,India,0,0,0,2854,26,3011,2750,26,2794,False,,1362560986,2013-03-06,1588598476,2020-05-04
90871188,abhijeetonyoutube,,GM,India,2759,299,2759,2913,69,2934,2759,81,2780,False,,1599658917,2020-09-09,1684045825,2023-05-14
32069494,abhyak,Abhijeet Kunte,GM,India,2602,327,2602,2427,76,2459,0,0,0,False,,1483332783,2017-01-02,1718475504,2024-06-16
87538498,absentzest,,GM,United States,2248,77,2312,2434,35,2562,2114,246,0,False,,1595686325,2020-07-25,1643295007,2022-01-27
17894824,abykhovsky,Anatoly Bykhovsky,GM,United States,2499,348,2499,2537,87,2899,2844,25,2997,False,,1404174563,2014-07-01,1718828014,2024-06-20
336539479,aceontheturn,Bartlomiej Heberla,GM,Poland,0,0,0,2800,41,2837,2841,35,2862,False,,1704296838,2024-01-03,1718707155,2024-06-18
37277108,adaro,,GM,Canada,0,0,0,2836,39,2938,2844,31,2893,False,,1500918534,2017-07-25,1718762418,2024-06-19
34686420,adham_fawzy,Adham Fawzy,GM,Palestine,2417,49,2541,2827,40,2926,2936,19,3113,False,,1491891963,2017-04-11,1718881711,2024-06-20
51280493,adiosabu,Alder Escobar,GM,Colombia,2499,188,2575,2565,49,2653,0,0,0,False,,1540862913,2018-10-30,1718480805,2024-06-16
16364482,adotand,Pranav Anand,GM,India,2459,48,2483,2981,34,3074,2826,24,3162,False,,1394258780,2014-03-08,1718879747,2024-06-20
29303436,afgano29,Andres Felipe Gallego Alcaraz,GM,Colombia,1707,155,2715,2603,62,2780,2391,158,2546,False,,1470064298,2016-08-01,1718261593,2024-06-13
11220596,aggy67,,GM,United States,2257,293,2602,2421,167,2597,2416,43,2632,False,,1363860586,2013-03-21,1682913663,2023-05-01
4371012,agser,Ottomar Ladva,GM,Estonia,0,0,0,2383,103,2853,2972,43,2864,False,,1292011540,2010-12-11,1659106365,2022-07-29
