id,title,year,description,category,region,difficulty,source
africa-khoisan-hunters-20000,Khoisan Hunter-Gatherers,-20000,San peoples roamed southern Africa as hunter-gatherers.,culture,africa,4,britannica
africa-san-rock-art-1000,San Rock Art Created,-1000,San artists painted scenes across the Drakensberg.,culture,africa,4,britannica
africa-khoikhoi-herders-200,Khoikhoi Herders Emerge,200,Khoikhoi herders grazed cattle and sheep in the southwest.,culture,africa,4,britannica
africa-bantu-migration-300,Bantu Farmers Migrate South,300,Bantu-speaking farmers moved into the region.,culture,africa,4,britannica
africa-mapungubwe-1050,Kingdom of Mapungubwe,1050,A wealthy trading kingdom rose along the Limpopo.,culture,africa,4,britannica
africa-great-zimbabwe-1200,Great Zimbabwe Flourishes,1200,Stone-built Great Zimbabwe became a trading hub.,culture,africa,3,britannica
africa-venda-kingdom-1300,Venda Kingdom Rises,1300,Venda kingdoms developed in the far north.,culture,africa,5,britannica
africa-dias-cape-1488,Dias Rounds the Cape,1488,Bartolomeu Dias became the first European to round the Cape.,culture,africa,3,britannica
africa-vasco-da-gama-1497,Vasco da Gama Sails East,1497,Vasco da Gama rounded the Cape on the way to India.,culture,africa,3,britannica
africa-cape-colony-1652,Cape Colony Founded,1652,Jan van Riebeeck set up a supply station at the Cape.,politics,africa,3,britannica
africa-cape-slaves-1658,Cape Slaves Arrive,1658,The Dutch brought the first enslaved people to the Cape.,culture,africa,4,britannica
africa-castle-good-hope-1666,Castle of Good Hope Built,1666,The Dutch built a fortress at Cape Town.,technology,africa,4,britannica
africa-stellenbosch-1679,Stellenbosch Founded,1679,The Dutch founded the town of Stellenbosch.,culture,africa,5,britannica
africa-british-occupy-cape-1806,Britain Occupies the Cape,1806,British forces captured the Cape from the Dutch.,war,africa,3,britannica
africa-griqua-state-1813,Griqua State Formed,1813,Griqua communities built states north of the Cape.,politics,africa,5,britannica
africa-shaka-zulu-1816,Shaka Becomes Zulu King,1816,Shaka built the Zulu nation into a military power.,politics,africa,3,britannica
africa-mfecane-1818,Mfecane Wars,1818,Violent upheavals reshaped southern Africa.,war,africa,5,britannica
africa-british-settlers-1820,British Settlers Arrive,1820,Thousands of British settlers landed at Algoa Bay.,culture,africa,4,britannica
africa-shaka-killed-1828,Shaka Assassinated,1828,Shaka was killed by his half-brothers.,politics,africa,3,britannica
africa-cape-slavery-abolished-1834,Slavery Abolished at the Cape,1834,Britain freed enslaved people at the Cape.,politics,africa,4,britannica
africa-great-trek-1836,Great Trek Begins,1836,Boers moved inland to escape British rule.,culture,africa,3,britannica
africa-blood-river-1838,Battle of Blood River,1838,Voortrekkers defeated a Zulu army at Blood River.,war,africa,3,britannica
africa-natal-annexed-1843,Natal Annexed by Britain,1843,Britain took control of Natal.,politics,africa,4,britannica
africa-transvaal-republic-1852,Transvaal Republic Formed,1852,Boers established the South African Republic.,politics,africa,4,britannica
africa-orange-free-state-1854,Orange Free State Founded,1854,Boers created the Orange Free State.,politics,africa,4,britannica
africa-cape-parliament-1854,Cape Parliament Opened,1854,The Cape won a representative parliament.,politics,africa,4,britannica
africa-indian-labourers-1860,Indian Indentured Labourers Arrive,1860,Indians arrived to work on Natal's sugar plantations.,culture,africa,4,britannica
africa-first-telegraph-1860,First Telegraph Line,1860,The first telegraph linked Cape Town and Simon's Town.,technology,africa,5,britannica
africa-diamonds-found-1867,Diamonds Found at Hopetown,1867,Diamonds were discovered along the Vaal River.,technology,africa,3,britannica
africa-kimberley-rush-1871,Kimberley Diamond Rush,1871,Miners flocked to the diamond fields at Kimberley.,technology,africa,3,britannica
africa-anglo-zulu-war-1879,Anglo-Zulu War Begins,1879,Britain invaded the Zulu kingdom.,war,africa,3,britannica
africa-isandlwana-1879,Battle of Isandlwana,1879,Zulu warriors destroyed a British column.,war,africa,3,britannica
africa-rorkes-drift-1879,Rorke's Drift Defended,1879,British troops held off a Zulu attack.,war,africa,4,britannica
africa-first-boer-war-1880,First Boer War Begins,1880,Transvaal Boers revolted against British annexation.,war,africa,4,britannica
africa-majuba-1881,Battle of Majuba Hill,1881,Boers defeated the British at Majuba Hill.,war,africa,4,britannica
africa-cape-railways-1885,Railways Reach Kimberley,1885,Railways connected the Cape to the diamond fields.,technology,africa,4,britannica
africa-witwatersrand-gold-1886,Gold Found on the Witwatersrand,1886,Gold discoveries triggered a mining boom.,technology,africa,2,britannica
africa-zululand-annexed-1887,Zululand Annexed,1887,Britain absorbed Zululand into Natal.,politics,africa,4,britannica
africa-second-boer-war-1899,Second Boer War Begins,1899,Britain and the Boer republics went to war.,war,africa,2,britannica
africa-mafeking-relieved-1900,Siege of Mafeking Lifted,1900,British troops relieved the besieged town of Mafeking.,war,africa,3,britannica
africa-vereeniging-treaty-1902,Treaty of Vereeniging Signed,1902,The Boer War ended with the Treaty of Vereeniging.,politics,africa,3,britannica
africa-bambatha-rebellion-1906,Bambatha Rebellion,1906,Chief Bambatha led an uprising against the poll tax.,war,africa,4,britannica
africa-walker-olympics-1908,Walker Wins Olympic Gold,1908,Reggie Walker became the first South African Olympic champion.,sports,africa,4,britannica
africa-union-south-africa-1910,Union of South Africa Formed,1910,"The Cape, Natal, Transvaal and Orange joined as one dominion.",politics,africa,2,britannica
africa-anc-founded-1912,ANC Founded,1912,The African National Congress fought for black rights.,politics,africa,2,britannica
africa-natives-land-act-1913,Natives Land Act Passed,1913,The act restricted black land ownership.,politics,africa,3,britannica
africa-swa-campaign-1915,South West Africa Captured,1915,South African troops took German South West Africa.,war,africa,4,britannica
africa-spanish-flu-1918,Spanish Flu Strikes,1918,The influenza pandemic killed tens of thousands.,medicine,africa,4,britannica
africa-comrades-marathon-1921,Comrades Marathon Founded,1921,The Comrades ultramarathon began near Durban.,sports,africa,5,britannica
africa-rand-rebellion-1922,Rand Rebellion,1922,White miners struck against wage cuts.,politics,africa,5,britannica
africa-taung-child-1925,Taung Child Announced,1925,Raymond Dart revealed a new early hominin fossil.,science,africa,3,britannica
africa-statute-westminster-1931,Statute of Westminster,1931,The act confirmed South African self-government.,politics,africa,4,britannica
africa-coelacanth-1938,Coelacanth Rediscovered,1938,A living coelacanth was caught near East London.,science,africa,4,britannica
africa-sa-enters-wwii-1939,South Africa Enters WWII,1939,The country joined the Allies against Germany.,war,africa,3,britannica
africa-jazz-flourishes-1940,Township Jazz Flourishes,1940,Marabi and jazz thrived in the townships.,music,africa,5,britannica
africa-apartheid-1948,Apartheid Introduced,1948,The National Party won power and began apartheid.,politics,africa,2,britannica
africa-mixed-marriages-act-1949,Mixed Marriages Act,1949,The act banned marriages between races.,politics,africa,4,britannica
africa-group-areas-act-1950,Group Areas Act,1950,The act segregated neighbourhoods by race.,politics,africa,3,britannica
africa-population-registration-1950,Population Registration Act,1950,South Africans were classified by race.,politics,africa,3,britannica
africa-kwela-music-1950,Kwela Music Popular,1950,Kwela tunes brought penny-whistle music to the world.,music,africa,5,britannica
africa-defiance-campaign-1952,Defiance Campaign,1952,The ANC launched nonviolent protests against unjust laws.,politics,africa,3,britannica
africa-bantu-education-1953,Bantu Education Act,1953,The act created segregated schooling.,politics,africa,4,britannica
africa-makeba-debuts-1954,Miriam Makeba Debuts,1954,Miriam Makeba rose to fame singing African jazz.,music,africa,5,britannica
africa-freedom-charter-1955,Freedom Charter Adopted,1955,The Congress of the People adopted the Freedom Charter.,politics,africa,3,britannica
africa-sophiatown-1955,Sophiatown Torn Down,1955,Authorities demolished the cultural hub of Sophiatown.,culture,africa,4,britannica
africa-womens-march-1956,Women's March on Pretoria,1956,Thousands of women protested pass laws.,politics,africa,3,britannica
africa-pac-founded-1959,Pan-African Congress Founded,1959,The PAC split from the ANC.,politics,africa,5,britannica
africa-sharpeville-1960,Sharpeville Massacre,1960,Police killed protesters at Sharpeville.,war,africa,2,britannica
africa-republic-declared-1961,Republic Declared,1961,South Africa left the Commonwealth and became a republic.,politics,africa,3,britannica
africa-umkhonto-sizwe-1961,Umkhonto we Sizwe Founded,1961,The ANC formed its armed wing.,war,africa,4,britannica
africa-mandela-arrested-1962,Mandela Arrested,1962,Nelson Mandela was arrested near Howick.,politics,africa,2,britannica
africa-mandela-sentenced-1964,Mandela Sentenced to Life,1964,Mandela was jailed for life at the Rivonia Trial.,politics,africa,2,britannica
africa-heart-transplant-1967,First Heart Transplant,1967,Christiaan Barnard performed the world's first heart transplant.,medicine,africa,2,britannica
africa-soweto-uprising-1976,Soweto Uprising,1976,Students protested the teaching of Afrikaans.,politics,africa,2,britannica
africa-biko-dies-1977,Steve Biko Dies,1977,Black Consciousness leader Steve Biko died in custody.,politics,africa,3,britannica
africa-gods-must-be-crazy-1980,The Gods Must Be Crazy Released,1980,The comedy film found an international audience.,film,africa,5,britannica
africa-tricameral-1983,Tricameral Parliament Created,1983,A new constitution gave limited voice to some races.,politics,africa,5,britannica
africa-state-emergency-1985,State of Emergency Declared,1985,The government cracked down on anti-apartheid protests.,politics,africa,3,britannica
africa-graceland-1986,Graceland Album Released,1986,Paul Simon's album featured Ladysmith Black Mambazo.,music,africa,4,britannica
africa-de-klerk-president-1989,de Klerk Becomes President,1989,F.W. de Klerk began to dismantle apartheid.,politics,africa,3,britannica
africa-mandela-released-1990,Mandela Released,1990,Nelson Mandela walked free after 27 years.,politics,africa,1,britannica
africa-nobel-peace-1993,Nobel Peace Prize Awarded,1993,Mandela and de Klerk shared the Nobel Peace Prize.,politics,africa,4,britannica
africa-first-election-1994,First Democratic Election,1994,South Africans voted in their first free election.,politics,africa,1,britannica
africa-mandela-president-1994,Mandela Becomes President,1994,Nelson Mandela became the first black president.,politics,africa,1,britannica
africa-rugby-world-cup-1995,Rugby World Cup Won,1995,South Africa hosted and won the Rugby World Cup.,sports,africa,2,britannica
africa-truth-commission-1996,Truth Commission Begins,1996,The Truth and Reconciliation Commission heard testimony.,politics,africa,4,britannica
africa-mbeki-president-1999,Mbeki Becomes President,1999,Thabo Mbeki succeeded Mandela.,politics,africa,4,britannica
africa-salt-telescope-2002,SALT Telescope Opens,2002,The Southern African Large Telescope began operations.,space,africa,4,britannica
africa-cricket-world-cup-2003,Cricket World Cup Hosted,2003,South Africa co-hosted the Cricket World Cup.,sports,africa,5,britannica
africa-antiretrovirals-2004,HIV Treatment Rollout,2004,The state began providing free HIV treatment.,medicine,africa,5,britannica
africa-tsotsi-oscar-2006,Tsotsi Wins Oscar,2006,Tsotsi won the Best Foreign Film Oscar.,film,africa,4,britannica
africa-district-9-2009,District 9 Released,2009,The South African film became a global hit.,film,africa,4,britannica
africa-zuma-president-2009,Zuma Becomes President,2009,Jacob Zuma took office as president.,politics,africa,4,britannica
africa-fifa-world-cup-2010,FIFA World Cup Hosted,2010,South Africa hosted the first World Cup in Africa.,sports,africa,2,britannica
africa-mandela-dies-2013,Mandela Dies,2013,Nelson Mandela died at age ninety-five.,politics,africa,1,britannica
africa-ramaphosa-president-2018,Ramaphosa Becomes President,2018,Cyril Ramaphosa replaced Jacob Zuma.,politics,africa,4,britannica
africa-meerkat-2019,MeerKAT Begins Science,2019,The MeerKAT radio telescope started operations.,space,africa,4,britannica
africa-springboks-2019,Springboks Win World Cup,2019,The Springboks won a third Rugby World Cup.,sports,africa,3,britannica
africa-covid-lockdown-2020,COVID-19 Lockdown,2020,South Africa imposed strict coronavirus lockdowns.,medicine,africa,4,britannica
africa-july-unrest-2021,July Unrest,2021,Rioting followed former President Zuma's arrest.,war,africa,5,britannica
