sport,competition_area,competition,award,season,name,dob,height,position,team,country,country_continent,country_former,goals,peak_rating,peak_year,world_classical,world_rapid,world_blitz,world_fisher
Chess,,,My Legends,All-time,Magnus Carlsen,1990-11-30,,,,Norway,Europe,,,2882,2014-05-01,champion,champion,champion,
Chess,,,My Legends,All-time,Garry Kasparov,1963-04-13,,,,Russia,Europe,,,2851,1999-07-01,champion,,,
Chess,,,My Legends,All-time,Fabiano Caruana,1992-07-30,,,,United States,North America,Italy,,2844,2014-10-01,,,,
Chess,,,My Legends,All-time,Levon Aronian,1982-10-06,,,,United States,North America,Armenia,,2830,2014-03-01,,champion,champion,
Chess,,,My Legends,All-time,Wesley So,1993-10-09,,,,United States,North America,Philippines,,2822,2017-02-28,,,,champion
Chess,,,My Legends,All-time,Shakhriyar Mamedyarov,1985-04-12,,,,Azerbaijan,Asia,,,2820,2018-09-01,,champion,,
Chess,,,My Legends,All-time,Maxime Vachier-Lagrave,1990-10-21,,,,France,Europe,,,2819,2016-08-01,,,champion,
Chess,,,My Legends,All-time,Viswanathan Anand,1969-12-11,,,,India,Asia,,,2817,2011-03-01,champion,,,
Chess,,,My Legends,All-time,Vladimir Kramnik,1975-06-25,,,,Russia,Europe,,,2817,2016-10-01,champion,,,
Chess,,,My Legends,All-time,Veselin Topalov,1975-03-15,,,,Bulgaria,Europe,,,2816,2015-07-01,champion,,,
Chess,,,My Legends,All-time,Hikaru Nakamura,1987-12-09,,,,United States,North America,Japan,,2816,2015-10-01,,,,champion
Chess,,,My Legends,All-time,Ding Liren,1992-10-24,,,,China,Asia,,,2816,2018-11-01,champion,,,
Chess,,,My Legends,All-time,Alexander Grischuk,1983-10-31,,,,Russia,Europe,,,2810,2014-12-01,,,champion,
Chess,,,My Legends,All-time,Alireza Firouzja,2003-06-18,,,,France,Europe,Iran,,2804,2021-12-01,,,,
Football,,,My Legends,All-time,Paolo Maldini,,,,,Italy,Europe,,,,,,,,
Football,,,My Legends,All-time,Franco Baresi,,,,,Italy,Europe,,,,,,,,
Football,,,My Legends,All-time,Alessandro Nesta,,,,,Italy,Europe,,,,,,,,
Football,,,My Legends,All-time,Kaká,,,,,Brazil,South America,,,,,,,,
Football,,,My Legends,All-time,Dani Alves,,,,,Brazil,South America,,,,,,,,
Football,,,My Legends,All-time,Xavi,,,,,Spain,Europe,,,,,,,,
Football,,,My Legends,All-time,Andrés Iniesta,,,,,Spain,Europe,,,,,,,,
Football,,,My Legends,All-time,Sergio Busquets,,,,,Spain,Europe,,,,,,,,
Football,,,My Legends,All-time,Thierry Henry,,,,,France,Europe,,,,,,,,
Football,,,My Legends,All-time,Neymar,,,,,Brazil,South America,,,,,,,,
Football,,,My Legends,All-time,Messi,,,,,Argentina,South America,,,,,,,,
Football,,,My Legends,All-time,Ronaldinho,,,,,Brazil,South America,,,,,,,,
Football,,,My Legends,All-time,Manuel Neuer,,,,,Germany,Europe,,,,,,,,
Football,,,My Legends,All-time,Philipp Lahm,,,,,Germany,Europe,,,,,,,,
Football,,,My Legends,All-time,Robert Lewandowski,,,,,Poland,Europe,,,,,,,,
Football,,,My Legends,All-time,Arjen Robben,,,,,Netherlands,Europe,,,,,,,,
Football,,,My Legends,All-time,John Terry,,,,,England,Europe,,,,,,,,
Football,,,My Legends,All-time,Ashley Cole,,,,,England,Europe,,,,,,,,
Football,,,My Legends,All-time,Alisson,,,,,Brazil,South America,,,,,,,,
Football,,,My Legends,All-time,Virgil van Dijk,,,,,Netherlands,Europe,,,,,,,,
Football,,,My Legends,All-time,Trent Alexander-Arnold,,,,,England,Europe,,,,,,,,
Football,,,My Legends,All-time,Xabi Alonso,,,,,Spain,Europe,,,,,,,,
Football,,,My Legends,All-time,Steven Gerrard,,,,,England,Europe,,,,,,,,
Football,,,My Legends,All-time,Luis Suárez,,,,,Uruguay,South America,,,,,,,,
Football,,,My Legends,All-time,Mo Salah,,,,,Egypt,Africa,,,,,,,,
Football,,,My Legends,All-time,Fabio Cannavaro,,,,,Italy,Europe,,,,,,,,
Football,,,My Legends,All-time,Marcelo,,,,,Brazil,South America,,,,,,,,
Football,,,My Legends,All-time,Zinedine Zidane,,,,,France,Europe,,,,,,,,
Football,,,My Legends,All-time,Cristiano Ronaldo,,,,,Portugal,Europe,,,,,,,,
Football,,,My Legends,All-time,Ronaldo,,,,,Brazil,South America,,,,,,,,
Football,European,UEFA Euro,Top Scorer,1960,François Heutte,,,,France,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1960,Viktor Ponedelnik,,,,Soviet Union,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1960,Valentin Ivanov,,,,Soviet Union,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1960,Dražan Jerković,,,,Yugoslavia,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1960,Milan Galić,,,,Yugoslavia,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1964,Jesús María Pereda,,,,Spain,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1964,Ferenc Bene,,,,Hungary,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1964,Deszö Novák,,,,Hungary,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1968,Dragan Džajić,,,,Yugoslavia,,,,2,,,,,,
Football,European,UEFA Euro,Top Scorer,1972,Gerd Müller,,,,West Germany,,,,4,,,,,,
Football,European,UEFA Euro,Top Scorer,1976,Dieter Müller,,,,West Germany,,,,4,,,,,,
Football,European,UEFA Euro,Top Scorer,1980,Klaus Allofs,,,,West Germany,,,,3,,,,,,
Football,European,UEFA Euro,Top Scorer,1984,Michel Platini,,,,France,,,,9,,,,,,
Football,European,UEFA Euro,Top Scorer,1988,Marco van Basten,,,,Netherlands,,,,5,,,,,,
Football,European,UEFA Euro,Top Scorer,1992,Henrik Larsen,,,,Denmark,,,,3,,,,,,
Football,European,UEFA Euro,Top Scorer,1992,Karl-Heinz Riedle,,,,Germany,,,,3,,,,,,
Football,European,UEFA Euro,Top Scorer,1992,Dennis Bergkamp,,,,Netherlands,,,,3,,,,,,
Football,European,UEFA Euro,Top Scorer,1992,Tomas Brolin,,,,Sweden,,,,3,,,,,,
Football,European,UEFA Euro,Top Scorer,1996,Alan Shearer,,,,England,,,,5,,,,,,
Football,European,UEFA Euro,Top Scorer,2000,Patrick Kluivert,,,,Netherlands,,,,5,,,,,,
Football,European,UEFA Euro,Top Scorer,2000,Savo Milošević,,,,Yugoslavia,,,,5,,,,,,
Football,European,UEFA Euro,Top Scorer,2004,Milan Baroš,,,,Czech Republic,,,,5,,,,,,
Football,European,UEFA Euro,Top Scorer,2008,David Villa,,,,Spain,,,,4,,,,,,
Football,European,UEFA Euro,Top Scorer,2012,Antoine Griezmann,,,,France,,,,6,,,,,,
Football,European,UEFA Euro,Top Scorer,2016,Fernando Torres,,,,Spain,,,,3,,,,,,
Football,European,UEFA Euro,Top Scorer,2020,Cristiano Ronaldo,,,,Portugal,,,,5,,,,,,
Football,European,UEFA Euro,Best Player,1984,Michel Platini,,,Midfielder,France,,,,,,,,,,
Football,European,UEFA Euro,Best Player,1988,Marco van Basten,,,Forward,Netherlands,,,,,,,,,,
Football,European,UEFA Euro,Best Player,1992,Peter Schmeichel,,,Goalkeeper,Denmark,,,,,,,,,,
Football,European,UEFA Euro,Best Player,1996,Matthias Sammer,,,Midfielder,Germany,,,,,,,,,,
Football,European,UEFA Euro,Best Player,2000,Zinedine Zidane,,,Midfielder,France,,,,,,,,,,
Football,European,UEFA Euro,Best Player,2004,Theodoros Zagorakis,,,Midfielder,Greece,,,,,,,,,,
Football,European,UEFA Euro,Best Player,2008,Xavi,,,Midfielder,Spain,,,,,,,,,,
Football,European,UEFA Euro,Best Player,2012,Andrés Iniesta,,,Midfielder,Spain,,,,,,,,,,
Football,European,UEFA Euro,Best Player,2016,Antoine Griezmann,,,Forward,France,,,,,,,,,,
Football,European,UEFA Euro,Best Player,2020,Gianluigi Donnarumma,,,Goalkeeper,Italy,,,,,,,,,,
Football,English,Premier League,Top Scorer,1992/1993,Teddy Sheringham,,,,Tottenham Hotspur,England,Europe,,22,,,,,,
Football,"English ",Premier League,Top Scorer,1993/1994,Andy Cole,,,,Newcastle United,England,Europe,,34,,,,,,
Football,English,Premier League,Top Scorer,1994/1995,Alan Shearer,,,,Blackburn Rovers,England,Europe,,34,,,,,,
Football,English,Premier League,Top Scorer,1995/1996,Alan Shearer,,,,Blackburn Rovers,England,Europe,,31,,,,,,
Football,English,Premier League,Top Scorer,1996/1997,Alan Shearer,,,,Newcastle United,England,Europe,,25,,,,,,
