section,sectionId,label,description,icon,toolId
Bored,bored,Research,Knowledge Explorer,PiMagnifyingGlass,research
Bored,bored,Develop,Skill Builder,PiNotebook,develop
Bored,bored,Build,Product Creator,PiWrench,build
Bored,bored,Ship,Infographic Publisher,PiRocketLaunch,ship
Bored,bored,VibeSlotCode,"Stack + Idea Generator",PiSparkle,vibe-slot-code
Bored,bored,WeirdSearch,Weird Query Roller,PiSmileyMelting,weird-search
Calculator,calculator,Calculator,"Arithmetic + Unit Converter",PiDivide,calculator
Calculator,calculator,Inflation,Calculator,PiMoney,inflation
Calculator,calculator,Split Bill,Calculator,PiCurrencyDollar,split-bill
Calculator,calculator,Tax,Vietnam PIT,PiFlag,tax
Clocks,clocks,Countdown,Timer,PiHourglass,countdown
Clocks,clocks,Cron,Expression Builder,PiClockAfternoon,cron
Clocks,clocks,Days Count,Date Difference,PiCalendar,days-count
Clocks,clocks,Epoch Convert,Timestamp,PiClock,epoch-convert
Clocks,clocks,Pomodoro,Timer,PiTimer,pomodoro
Clocks,clocks,Watchface,Garmin,PiWatch,watchface
Data - CSV,data-csv,CSV to Excel,"CSV → Excel",PiArrowsClockwise,csv-to-excel
Data - CSV,data-csv,CSV to JSON,"CSV → JSON",PiArrowsClockwise,csv-to-json
Data - CSV,data-csv,CSV to XML,"CSV → XML",PiArrowsClockwise,csv-to-xml
Data - CSV,data-csv,Split CSV,Split large files,PiScissors,split-csv
Data - Excel,data-excel,Excel to CSV,"Excel → CSV",PiArrowsClockwise,excel-to-csv
Data - Excel,data-excel,Excel to PDF,"Excel → PDF",PiFileText,excel-to-pdf
Data - Excel,data-excel,Excel to XML,"Excel → XML",PiArrowsClockwise,excel-to-xml
Data - Excel,data-excel,Split Excel,Split large files,PiScissors,split-excel
Data - JSON,data-json,JSON to CSV,"JSON → CSV",PiArrowsClockwise,json-to-csv
Data - JSON,data-json,JSON to XML,"JSON → XML",PiArrowsClockwise,json-to-xml
Data - XML,data-xml,XML to CSV,"XML → CSV",PiArrowsClockwise,xml-to-csv
Data - XML,data-xml,XML to Excel,"XML → Excel",PiArrowsClockwise,xml-to-excel
Data - XML,data-xml,XML to JSON,"XML → JSON",PiArrowsClockwise,xml-to-json
Developer,developer,Diff,Text Comparison,PiNotePencil,text-diff
Developer,developer,Figlet,Text art,PiNotePencil,figlet
Developer,developer,IP,Inspector,PiGlobe,ip
Developer,developer,OpenAPI,to Postman,PiArrowsClockwise,openapi
Developer,developer,Proxy,CORS Proxy,PiLink,proxy
Developer,developer,Shopify Detect,Detect Shopify,PiMagnifyingGlass,shopify-detect
Developer,developer,URL Tracer,Redirect Tracker,PiLink,text-url-tracer
Developer,developer,UUID,Generator,PiKey,uuid
Editors,editors,JSON Schema,Validator,PiFileText,json-schema
Editors,editors,Manifest,JSON Editor,PiFileText,manifest
Editors,editors,Regex,Pattern Generator,PiMagnifyingGlass,regex
Editors,editors,Resume,Resume Builder,PiFileText,resume
Editors,editors,Slides,Pitch Deck,PiPresentation,slides
Editors,editors,Word Counter,Word Count,PiNotePencil,word-counter
Education,education,DOI,Cite,PiFileText,doi
Education,education,English,Dictionary,PiBooks,english
Education,education,Flashcards,Words,PiNotebook,flashcards
Education,education,Periodic Table,Elements,PiChartBar,periodic-table
Education,education,Pitch,Training,PiPianoKeys,pitch
Education,education,Sign Language,Detection,PiHandPeace,sign
Health - Vision,health-vision,LogMAR Chart,LogMAR Chart,PiEyes,logmar
Health - Vision,health-vision,Snellen Chart,Snellen Chart,PiEyes,snellen
Health - Vision,health-vision,Tumbling E Chart,Tumbling E Chart,PiEyes,tumbling-e
Psychology,psychology,RCI,Relationship closeness,PiHeart,relationship-closeness-inventory
Psychology,psychology,ECR,Attachment styles,PiHeartStraight,experiences-in-close-relationships
Psychology,psychology,SWLS,Life satisfaction,PiSmileyMelting,satisfaction-with-life
Psychology,psychology,DAS,Relationship adjustment,PiGauge,dyadic-adjustment-scale
Psychology,psychology,BDI,Depression severity,PiLifebuoy,beck-depression-inventory
Psychology,psychology,GAD-7,Anxiety severity,PiSmileyNervous,generalized-anxiety-disorder
Psychology,psychology,PHQ-9,Depression screening,PiFirstAidKit,patient-health-questionnaire
Psychology,psychology,BFI,Personality traits,PiBrain,big-five-inventory
Text - Convert,text-convert,Braille,Text to Braille,PiDotsNine,braille
Text - Convert,text-convert,Case,Converter,PiFileText,text-case
Text - Convert,text-convert,Leet Speak,Text to Leet,PiTextAa,leetspeak
Text - Convert,text-convert,Morse,Text to Morse Code,PiWaveSine,morse
Utilities,utilities,Clipboard,Clipboard,PiClipboard,clipboard
Utilities,utilities,Create ZIP,Zip Files,PiFileText,create-zip
Utilities,utilities,Emojis,Explorer,PiSmiley,emojis
Utilities,utilities,Kaprekar,Routine,PiChartBar,kaprekar
Utilities,utilities,Lorem Ipsum,Dummy text,PiNotePencil,lorem-ipsum
Utilities,utilities,No Sleep,Timer,PiMoon,no-sleep
Utilities,utilities,Screen Recorder,"Record & Download",PiFilmStrip,screen-recorder
Visualization,visualization,Attractors,Strange Attractors,PiSpiral,attractors
Visualization,visualization,Calendar Tracker,Activities,PiCalendar,calendar-tracker
Visualization,visualization,Football,Tournaments & data,PiSoccerBall,football
Visualization,visualization,Legislation,Visualization,PiBuildings,legislation
