eco,group,subgroup,name,pgn
B02,Alekhine Defense,,Alekhine Defense,1. e4 Nf6
B03,Alekhine Defense,,Alekhine Defense,1. e4 Nf6 2. e5 Nd5 3. d4
B03,Alekhine Defense,,Alekhine Defense,1. e4 Nf6 2. e5 Nd5 3. d4 d6
B03,Alekhine Defense,,Alekhine Defense,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4
B03,Alekhine Defense,Balogh Variation,Alekhine Defense: Balogh Variation,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Bc4
B02,Alekhine Defense,Brooklyn Variation,Alekhine Defense: Brooklyn Variation,1. e4 Nf6 2. e5 Ng8
B02,Alekhine Defense,Brooklyn Variation,"Alekhine Defense: Brooklyn Variation, Everglades Variation",1. e4 Nf6 2. e5 Ng8 3. d4 f5
B02,Alekhine Defense,Buckley Attack,Alekhine Defense: Buckley Attack,1. e4 Nf6 2. e5 Nd5 3. Na3
B03,Alekhine Defense,Exchange Variation,Alekhine Defense: Exchange Variation,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6
B03,Alekhine Defense,Exchange Variation,"Alekhine Defense: Exchange Variation, Karpov Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. h3 Bg7 8. Nf3 O-O 9. Be2 Nc6 10. O-O Bf5 11. Bf4
B03,Alekhine Defense,Exchange Variation,"Alekhine Defense: Exchange Variation, Voronezh Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. Be3 Bg7 8. Rc1 O-O 9. b3
B03,Alekhine Defense,Four Pawns Attack,Alekhine Defense: Four Pawns Attack,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4
B03,Alekhine Defense,Four Pawns Attack,"Alekhine Defense: Four Pawns Attack, Cambridge Gambit",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g5
B03,Alekhine Defense,Four Pawns Attack,"Alekhine Defense: Four Pawns Attack, Fianchetto Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6
B03,Alekhine Defense,Four Pawns Attack,"Alekhine Defense: Four Pawns Attack, Ilyin-Zhenevsky Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Nf3 Bg4 8. e6 fxe6 9. c5
B03,Alekhine Defense,Four Pawns Attack,"Alekhine Defense: Four Pawns Attack, Korchnoi Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Nf3 Be7 9. Be2 O-O 10. O-O f6
B03,Alekhine Defense,Four Pawns Attack,"Alekhine Defense: Four Pawns Attack, Main Line",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3
