cca2,cca3,name,category,duolingo
aa,aar,Afar,0,false
ab,abk,Abkhazian,0,false
ac,ace,Acehnese,0,false
ad,ada,Dangme,0,false
af,afr,Afrikaans,0,false
ak,aka,Akan,0,false
am,amh,Amharic,3,false
ar,ara,Arabic,4,true
an,arg,Aragonese,0,false
as,asm,Assamese,0,false
av,ava,Avaric,0,false
ae,ave,Avestan,0,false
ay,aym,Aymara,0,false
az,aze,Azerbaijani,3,false
ba,bak,Bashkir,0,false
bm,bam,Bambara,0,false
ba,ban,Balinese,0,false
bc,bci,Baoulé,0,false
bk,bcl,Central Bikol,0,false
be,bel,Belarusian,0,false
bm,bem,Bemba,0,false
bg,ben,Bengali,3,false
be,ber,Berber,0,false
bh,bho,Bhojpuri,0,false
bn,bin,Edo,0,false
bi,bis,Bislama,0,false
bo,bod,Tibetan,3,false
bs,bos,Bosnian,0,false
br,bre,Breton,0,false
bu,bug,Buginese,0,false
bg,bul,Bulgarian,3,false
ca,cat,Catalan,0,false
cb,ceb,Cebuano,0,false
cs,ces,Czech,3,true
ch,cha,Chamorro,0,false
ce,che,Chechen,0,false
cu,chu,Church Slavonic,0,false
cv,chv,Chuvash,0,false
cj,cjk,Chokwe,0,false
kw,cor,Cornish,0,false
co,cos,Corsican,0,false
cr,cre,Cree,0,false
cy,cym,Welsh,0,true
da,dan,Danish,1,true
de,deu,German,2,true
di,din,Dinka,0,false
dv,div,Divehi,0,false
dz,dzo,Dzongkha,0,false
el,ell,Greek,3,true
,emk,Maninka,0,false
en,eng,English,0,false
eo,epo,Esperanto,0,true
et,est,Estonian,3,false
eu,eus,Basque,0,false
ee,ewe,Ewe,0,false
fo,fao,Faroese,0,false
fa,fas,Farsi,3,false
fj,fij,Fijian,0,false
fl,fil,Fillipino,0,false
fi,fin,Finnish,3,true
fo,fon,Fon,0,false
fr,fra,French,1,true
fy,fry,Western Frisian,0,false
fu,fuc,Pulaar,0,false
ff,ful,Fulah,0,false
ga,gaa,Ga,0,false
gd,gla,Scottish Gaelic,0,true
ga,gle,Irish,0,true
gl,glg,Galician,0,false
gv,glv,Manx,0,false
gn,grn,Guarani,0,false
gu,guj,Gujarati,0,false
ht,hat,Haitian Creole,2,true
ha,hau,Hausa,0,false
hw,haw,Hawaiian,0,true
he,heb,Hebrew,3,true
hz,her,Herero,0,false
hl,hil,Hiligaynon,0,false
hi,hin,Hindi,3,true
hm,hmn,Hmong,0,false
ho,hmo,Hiri Motu,0,false
,hms,Hmu,0,false
hr,hrv,Croatian,3,false
hu,hun,Hungarian,3,true
hy,hye,Armenian,3,false
ib,ibb,Ibibio,0,false
ig,ibo,Igbo,0,false
io,ido,Ido,0,false
ii,iii,Sichuan Yi,0,false
iu,iku,Inuktitut,0,false
ie,ile,Interlingue,0,false
il,ilo,Ilocano,0,false
ia,ina,Interlingua,0,false
id,ind,Indonesian,2,true
ik,ipk,Inupiaq,0,false
is,isl,Icelandic,3,false
it,ita,Italian,1,true
jv,jav,Javanese,0,false
ja,jpn,Japanese,4,true
kl,kal,Kalaallisut,0,false
kn,kan,Kannada,0,false
ks,kas,Kashmiri,0,false
ka,kat,Georgian,3,false
kr,kau,Kanuri,0,false
kk,kaz,Kazakh,3,false
kb,kbp,Kabiye,0,false
kd,kde,Makonde,0,false
km,khm,Khmer,3,false
ki,kik,Kikuyu,0,false
rw,kin,Kinyarwanda,0,false
ky,kir,Kyrgyz,3,false
ky,kir,Kyrgyz,0,false
kn,kmb,Kimbundu,0,false
kv,kom,Komi,0,false
kg,kon,Kongo,0,false
ko,kor,Korean,4,true
kj,kua,Kuanyama,0,false
ku,kur,Kurdish,3,false
lo,lao,Lao,3,false
la,lat,Latin,0,true
lv,lav,Latvian,3,false
li,lim,Limburgan,0,false
ln,lin,Lingala,0,false
lt,lit,Lithuanian,3,false
lb,ltz,Luxembourgish,0,false
lk,lua,Luba-Kasai,0,false
lu,lub,Luba-Katanga,0,false
lg,lug,Ganda,0,false
,lug,Luganda,0,false
,lun,Lunda,0,false
,mad,Madurese,0,false
,mag,Magahi,0,false
mh,mah,Marshallese,0,false
,mai,Maithili,0,false
ml,mal,Malayalam,0,false
mr,mar,Marathi,0,false
,men,Mende,0,false
,min,Minangkabau,0,false
mk,mkd,Macedonian,0,false
mg,mlg,Malagasy,0,false
mt,mlt,Maltese,0,false
mn,mon,Mongolian,3,false
,mos,Mossi,0,false
mi,mri,Maori,0,false
ms,msa,Malay,2,false
my,mya,Burmese,3,false
na,nau,Nauru,0,false
nv,nav,Navajo,0,true
nr,nbl,South Ndebele,0,false
nd,nde,Ndebele,0,false
ng,ndo,Ndonga,0,false
ng,ndo,Ndonga,0,false
,nds,Low German,0,false
ne,nep,Nepali,3,false
,nhn,Central Nahuatl,0,false
nl,nld,Dutch,1,true
nn,nno,Nynorsk,0,false
nb,nob,Bokmål,0,false
no,nor,Norwegian,1,true
,nso,Northern Sotho,0,false
ny,nya,Chichewa,0,false
,nyn,Nyankole,0,false
oc,oci,Occitan,0,false
oj,oji,Ojibwa,0,false
or,ori,Oriya,0,false
om,orm,Oromo,0,false
os,oss,Ossetian,0,false
pm,pam,Pampanga,0,false
pa,pan,Panjabi,0,false
pi,pli,Pali,0,false
pl,pol,Polish,3,true
pt,por,Portuguese,1,true
pr,prs,Dari,3,false
ps,pus,Pushto,0,false
qu,que,Quechua,0,false
ri,rmn,Balkan Romani,0,false
ry,rmy,Vlax Romani,0,false
rm,roh,Romansh,0,false
ro,ron,Romanian,1,true
rn,run,Rundi,0,false
ru,rus,Russian,3,true
sg,sag,Sango,0,false
sa,san,Sanskrit,0,false
sc,sco,Scots,0,false
si,sin,Sinhala,3,false
sk,slk,Slovak,3,false
sl,slv,Slovenian,3,false
se,sme,Sami,0,false
sm,smo,Samoan,0,false
sn,sna,Shona,0,false
sd,snd,Sindhi,0,false
,snk,Soninke,0,false
,snn,Siona,0,false
so,som,Somali,3,false
st,sot,Sesotho,0,false
st,sot,Southern Sotho,0,false
es,spa,Spanish,1,true
sq,sqi,Albanian,3,false
sc,srd,Sardinian,0,false
sr,srp,Serbian,0,false
ss,ssw,Swati,0,false
sk,suk,Sukuma,0,false
su,sun,Sundanese,0,false
sw,swa,Swahili,2,true
sv,swe,Swedish,1,true
ty,tah,Tahitian,0,false
ta,tam,Tamil,3,true
tt,tat,Tatar,0,false
te,tel,Telugu,3,false
tm,tem,Temne,0,false
tg,tgk,Tajiki,3,false
tl,tgl,Tagalog,3,false
th,tha,Thai,3,false
ti,tir,Tigrinya,0,false
tv,tiv,Tiv,0,false
to,ton,Tonga,0,false
tp,tpi,Tok Pisin,0,false
tn,tsn,Tswana,0,false
ts,tso,Tsonga,0,false
tk,tuk,Turkmen,3,false
tr,tur,Turkish,3,true
tw,twi,Twi,0,false
ug,uig,Uighur,0,false
uk,ukr,Ukrainian,3,true
um,umb,Umbundu,0,false
ur,urd,Urdu,3,false
uz,uzb,Uzbek,3,false
ve,ven,Venda,0,false
vi,vie,Vietnamese,3,true
vo,vol,Volapük,0,false
wr,war,Waray,0,false
wa,wln,Walloon,0,false
wo,wol,Wolof,0,false
xh,xho,Xhosa,0,false
ya,yao,Yao,0,false
yi,yid,Yiddish,0,true
yo,yor,Yoruba,0,false
za,zha,Zhuang,0,false
zh,zho,Chinese,4,true
zu,zul,Zulu,0,false
