category,myth,fact,true
Ancient World,The ancient Egyptians were primitive people,"The ancient Egyptians built massive pyramids, developed hieroglyphic writing, practiced medicine, and had a sophisticated legal system.",y
Ancient World,Roman gladiators always fought to the death,"Most gladiatorial fights ended with surrender; referees could stop fights, and death was not the primary outcome.",n
Ancient World,The pharaohs built the pyramids using slave labor,"Evidence suggests the pyramids were built by paid skilled laborers who were well-fed and housed.",n
Ancient World,Cleopatra was Egyptian,"Cleopatra was of Macedonian Greek descent from the Ptolemaic dynasty that ruled Egypt after Alexander the Great.",n
Ancient World,The ancient Romans had no concept of hygiene,"Roman public baths were widespread and Romans valued cleanliness, with laws requiring waste disposal.",n
Medieval,Medieval people believed the Earth was flat,"Most educated medieval Europeans knew the Earth was spherical, following Greek and Roman scholarship.",n
Medieval,The medieval period was a dark age of ignorance,"The medieval period saw the rise of universities, Gothic architecture, the printing press, and significant scientific inquiry.",n
Medieval,Knights in armor could not move or fight effectively,"Armored knights were highly mobile and trained to fight effectively; a suit of armor weighed about 20-25 kg.",n
Medieval,The Black Death was caused by rats alone,"Fleas on various mammals, including humans, spread the plague bacteria; airborne transmission also played a role.",n
Medieval,Medieval castles were always cold and drafty,"Castles used tapestries, fireplaces, and thick stone walls to retain heat; some had central heating systems.",n
Exploration,Christopher Columbus proved the Earth was round,"Educated people already knew the Earth was spherical; Columbus proved the Americas were reachable by sailing west.",n
Exploration,The Viking Leif Erikson was the first European to reach North America,"Viking sagas and archaeological evidence at LAnse aux Meadows confirm Norse settlement around 1000 CE.",y
Exploration,Marco Polo invented pasta and brought it to Italy from China,"Pasta existed in Italy before Marco Polo; his travelogue does not mention bringing noodles from China.",n
Exploration,Magellan circumnavigated the globe,"Magellan was killed in the Philippines; Juan Sebastián Elcano completed the voyage with the surviving crew.",n
Wars and Conflicts,Napoleon was extremely short,"Napoleon was about 5'7 inches, average height for a Frenchman of his era; the myth came from British propaganda.",n
Wars and Conflicts,World War I was fought entirely in trenches,"While trench warfare defined the Western Front, fighting also occurred at sea, in the air, and on other fronts.",n
Wars and Conflicts,The Trojan War is entirely fictional,"Archaeological evidence suggests Troy existed and was destroyed, supporting a historical basis for the conflict.",y
Wars and Conflicts,Vikings wore horned helmets in battle,"No archaeological evidence supports horned helmets; the myth originated from 19th century romantic nationalism.",n
Wars and Conflicts,The Battle of Thermopylae was only 300 Spartans,"The 300 Spartans were joined by several thousand Greek allies, including Thespians and Thebans.",n
Famous Figures,Leonardo da Vinci was just an artist,"Leonardo was a polymath who excelled in painting, anatomy, engineering, botany, and scientific observation.",y
Famous Figures,Albert Einstein failed math in school,"Einstein excelled in math and physics from an early age; the myth came from a mistranslated biographical source.",n
Famous Figures,Joan of Arc was illiterate and uneducated,"Joan of Arc could not read or write but was highly articulate, politically savvy, and tactically skilled.",y
Famous Figures,Shakespeare wrote all his plays himself,"Some scholars question sole authorship of certain works, though mainstream academic consensus credits Shakespeare.",n
Famous Figures,Genghis Khan was purely a destructive conqueror,"Genghis Khan established the Yam postal system, promoted religious tolerance, and fostered trade along the Silk Road.",n
Science and Discovery,Archimedes used a mirror to set Roman ships on fire,"There is no contemporary evidence this actually happened; it may be a later embellishment of his legacy.",n
Science and Discovery,Isaac Newton discovered gravity when an apple hit his head,"Newton observed a falling apple and began thinking about gravity, but the head-strike story is likely apocryphal.",n
Science and Discovery,Marie Curie won Nobel Prizes in two different sciences,"Marie Curie won the Nobel Prize in Physics in 1903 and Chemistry in 1911, the first person to win in two sciences.",y
Science and Discovery,Galileo was imprisoned for saying the Earth moved around the Sun,"Galileo was placed under house arrest and forced to recant, but he was never formally imprisoned.",n
Science and Discovery,Da Vinci invented the helicopter and flying machine,"Da Vinci designed concepts for flying machines, but none were built or functional during his lifetime.",n
Myths and Legends,King Arthur was a real historical king,"Historical evidence for Arthur is limited; he may be based on a 5th-6th century Romano-British war leader.",n
Myths and Legends,The Library of Alexandria held all human knowledge,"The library was significant but did not contain all knowledge; much was lost gradually over centuries, not in one fire.",n
Myths and Legends,Vikings used skulls as drinking cups,"This practice is not supported by archaeological evidence and likely comes from a mistranslation of Old Norse.",n
