id,username,name,title,country,country_code,verified,status,league,avatar,rapid_rating_last,rapid_rating_deviation,rapid_rating_best,rapid_record_win,rapid_rating_draw,rapid_rating_loss,blitz_rating_last,blitz_rating_deviation,blitz_rating_best,blitz_record_win,blitz_rating_draw,blitz_rating_loss,bullet_rating_last,bullet_rating_deviation,bullet_rating_best,bullet_record_win,bullet_rating_draw,bullet_rating_loss,is_streamer,twitch_url,joined,joined_date,last_online,last_online_date
80945104,011jee,Jelena Andric,WFM,Sweden,SE,False,premium,Wood,https://images.chesscomfiles.com/uploads/v1/user/80945104.a4c0cb77.200x200o.6ab74b7fd795.png,2038,108,2058,9,0,9,1991,216,1991,1,0,4,0,0,0,0,0,0,False,,1590836022,2020-05-30,1681412725,2023-04-14
29975392,01roman,Роман Аухатов,FM,Serbia,RS,False,premium,Silver,,2340,107,2340,39,5,22,2427,76,2495,1811,211,1709,2236,127,2315,133,8,63,False,,1474114438,2016-09-17,1721982012,2024-07-26
17513144,03revilo,Oliver Stork,FM,Germany,DE,False,premium,Elite,,2516,47,2544,108,20,58,2505,38,2565,860,108,675,2413,29,2519,426,29,339,False,,1401551849,2014-05-31,1722114354,2024-07-28
288172963,05-828-ei,,FM,International,XX,False,premium,Silver,https://images.chesscomfiles.com/uploads/v1/user/288172963.885939b8.200x200o.04b1cca0e398.jpg,0,0,0,0,0,0,2620,46,2697,153,38,88,0,0,0,0,0,0,False,,1684922272,2023-05-24,1721295090,2024-07-18
10992024,0815original,Dirk Paulsen,FM,Germany,DE,False,premium,Silver,https://images.chesscomfiles.com/uploads/v1/user/10992024.3b61c283.200x200o.9b44bea5a9ee.jpg,2456,258,2456,31,1,5,2285,115,2435,337,36,171,2139,179,2205,75,2,21,False,,1362144991,2013-03-01,1721980287,2024-07-26
360558673,0blivi0usspy,,GM,France,FR,False,premium,Crystal,,2510,49,2510,2,0,0,2815,35,2915,222,44,157,2526,46,2526,6,0,2,False,,1714573164,2024-05-01,1722075814,2024-07-27
73320100,0gzpanda,Anthony He,IM,United States,US,False,premium,Elite,https://images.chesscomfiles.com/uploads/v1/user/73320100.1d4e560c.200x200o.b8fd2b3db995.png,2599,107,2599,32,8,15,3103,33,3111,2182,401,1531,3200,22,3278,7528,1198,7170,False,,1583872513,2020-03-11,1722119645,2024-07-28
355237831,0zyxyz0,,NM,United States,US,False,premium,Stone,,0,0,0,0,0,0,2135,80,2155,14,0,5,1979,176,2148,1,0,2,False,,1712330175,2024-04-05,1713518216,2024-04-19
187581779,107degrees,,NM,United States,US,False,premium,Elite,https://images.chesscomfiles.com/uploads/v1/user/187581779.d59fd6cf.200x200o.1126b6940564.png,2160,150,2328,3,1,2,2276,60,2366,356,22,178,0,0,0,0,0,0,False,,1655814344,2022-06-21,1717875391,2024-06-09
319371825,10n0l20,Gustavo Ribeiro,FM,Türkiye,TR,False,premium,Elite,,2198,49,2210,5,0,4,2483,39,2587,116,15,102,2640,27,2760,549,72,428,False,,1697230326,2023-10-14,1722031054,2024-07-27
19205170,11aresss,Mister Fox,FM,Russia,RU,False,premium,,https://images.chesscomfiles.com/uploads/v1/user/19205170.00723272.200x200o.6943d6d69dd3.jpeg,2003,146,2023,14,0,2,2120,61,2120,75,4,28,2471,45,2321,106,7,31,False,,1412688234,2014-10-07,1467718634,2016-07-05
37593768,11kevin,Krishna teja,IM,India,IN,False,premium,Stone,https://images.chesscomfiles.com/uploads/v1/user/37593768.3d27d64e.200x200o.d3b1902659a8.jpeg,2214,254,2214,2,0,0,2634,62,2652,217,27,141,2550,49,2550,173,10,115,False,,1501995363,2017-08-06,1721368475,2024-07-19
337953607,123iambob123,,NM,Tuvalu,TV,False,premium,Crystal,https://images.chesscomfiles.com/uploads/v1/user/337953607.9b1ff0d9.200x200o.95be3fd5bece.png,0,0,0,0,0,0,2415,45,2497,233,47,190,1982,255,0,0,0,1,False,,1704860631,2024-01-10,1721954265,2024-07-26
18800602,123lt,Tingjie Lei,GM,China,CN,False,premium,Stone,https://images.chesscomfiles.com/uploads/v1/user/18800602.e26b721f.200x200o.e738019a328a.jpeg,2477,67,2550,34,17,14,2781,115,2803,756,140,689,2725,79,2824,255,23,197,False,,1410059361,2014-09-07,1712610623,2024-04-09
29499974,124chess,Dmitriy Khegay,GM,Russia,RU,False,premium,Bronze,https://images.chesscomfiles.com/uploads/v1/user/29499974.39041f89.200x200o.f6478a5ae8e2.jpeg,2244,168,2350,6,2,1,2586,47,2830,1255,242,1044,2764,48,2846,103,11,102,False,,1471316272,2016-08-16,1719133610,2024-06-23
23228356,12teen,Janak Awatramani,NM,Canada,CA,False,premium,Legend,,2369,349,2716,5,1,1,2735,83,2930,1154,164,949,2884,49,3079,3665,376,3196,False,,1436832385,2015-07-14,1721334613,2024-07-19
156586953,13queen31,Anastasiia Shkuro,WFM,United Kingdom,GB,False,premium,Crystal,https://images.chesscomfiles.com/uploads/v1/user/156586953.e291caec.200x200o.ba273ea5b8be.jpeg,2607,49,2607,5,0,0,2740,41,2740,65,13,19,2789,35,2789,172,14,78,False,,1633111084,2021-10-02,1721737532,2024-07-23
14775486,140mariam,Mariam Avetisyan,WFM,Armenia,AM,False,premium,Silver,https://images.chesscomfiles.com/uploads/v1/user/14775486.9072453d.200x200o.50bb2d10a7d5.jpeg,2285,266,2285,15,0,0,2164,105,2361,139,17,112,2678,49,2678,431,43,398,False,,1385829847,2013-11-30,1721828680,2024-07-24
42853774,14sokol88,Artiom Frolov,FM,Russia,RU,False,premium,,https://images.chesscomfiles.com/uploads/v1/user/42853774.f5b76479.200x200o.a0a544c537e3.jpeg,0,0,0,0,0,0,2456,56,2475,216,30,175,2403,164,2253,20,0,2,False,,1517362379,2018-01-31,1648832503,2022-04-02
2636688,16wise,Ali Morshedi,FM,United States,US,False,premium,Elite,https://images.chesscomfiles.com/uploads/v1/user/2636688.68fd1a97.200x200o.758c7fbf0941.jpeg,2000,49,2000,1,0,0,2167,40,2405,2149,113,1871,1845,132,1912,3,0,4,False,,1268573375,2010-03-14,1722144965,2024-07-28
78418998,1800_strength,Dachey Lin,FM,United States,US,False,premium,,https://images.chesscomfiles.com/uploads/v1/user/78418998.3c4cf833.200x200o.125272c02b1f.png,2457,48,2505,167,14,30,2911,20,2922,4567,604,3134,3000,27,3000,7136,700,4629,False,,1588446399,2020-05-03,1722026442,2024-07-27
15145998,190l,,NM,United States,US,False,premium,Crystal,,0,0,0,0,0,0,2233,39,2299,3932,456,3881,2091,65,2261,6426,428,6058,False,,1387637030,2013-12-21,1683741630,2023-05-11
30610578,1977ivan,Ivan Ivanisevic,GM,Serbia,RS,False,premium,Crystal,https://images.chesscomfiles.com/uploads/v1/user/30610578.e05f2196.200x200o.3948baec540a.jpeg,2386,103,2556,12,4,13,2814,44,2875,1166,153,676,2650,209,2075,2,0,0,False,,1477565847,2016-10-27,1721337118,2024-07-19
65222052,1982lf,Hengyi Zhu,NM,China,CN,False,premium,Silver,https://images.chesscomfiles.com/uploads/v1/user/65222052.1722389c.200x200o.1c0a7fc8f601.jpeg,2282,123,2135,7,0,1,2856,49,2951,635,161,673,2732,45,2877,349,59,415,False,,1567856890,2019-09-07,1721890250,2024-07-25
32292254,1995tiger,Tilsia Varela,WIM,Spain,ES,False,premium,Elite,https://images.chesscomfiles.com/uploads/v1/user/32292254.581b9e53.200x200o.63c6e7245230.jpeg,2022,93,2112,14,7,5,2504,59,2504,643,100,531,2503,50,2503,173,16,101,True,https://twitch.tv/maracuchachess,1484077870,2017-01-11,1722119931,2024-07-28
