id,name,country
pele,Pelé,Brazil
maradona,Diego Maradona,Argentina
messi,Lionel Messi,Argentina
cristiano-ronaldo,Cristiano Ronaldo,Portugal
zidane,Zinedine Zidane,France
ronaldo-nazario,Ronaldo Nazário,Brazil
ronaldinho,Ronaldinho,Brazil
neymar,Neymar,Brazil
cruyff,Johan Cruyff,Netherlands
beckenbauer,Franz Beckenbauer,Germany
platini,Michel Platini,France
yashin,Lev Yashin,Russia
zico,Zico,Brazil
matthaeus,Lothar Matthäus,Germany
muller,Gerd Müller,Germany
van-basten,Marco van Basten,Netherlands
gullit,Ruud Gullit,Netherlands
puskas,Ferenc Puskás,Hungary
di-stefano,Alfredo Di Stéfano,Argentina
best,George Best,Northern Ireland
baresi,Franco Baresi,Italy
maldini,Paolo Maldini,Italy
baggio,Roberto Baggio,Italy
totti,Francesco Totti,Italy
del-piero,Alessandro Del Piero,Italy
buffon,Gianluigi Buffon,Italy
casillas,Iker Casillas,Spain
xavi,Xavi,Spain
iniesta,Andrés Iniesta,Spain
raul,Raúl,Spain
torres,Fernando Torres,Spain
villa,David Villa,Spain
shevchenko,Andriy Shevchenko,Ukraine
henry,Thierry Henry,France
de-bruyne,Kevin De Bruyne,Belgium
modric,Luka Modrić,Croatia
kroos,Toni Kroos,Germany
lewandowski,Robert Lewandowski,Poland
neuer,Manuel Neuer,Germany
lahm,Philipp Lahm,Germany
kahn,Oliver Kahn,Germany
klose,Miroslav Klose,Germany
klinsmann,Jürgen Klinsmann,Germany
rummenigge,Karl-Heinz Rummenigge,Germany
ballack,Michael Ballack,Germany
ozil,Mesut Özil,Germany
schweinsteiger,Bastian Schweinsteiger,Germany
kimmich,Joshua Kimmich,Germany
gundogan,İlkay Gündoğan,Germany
musiala,Jamal Musiala,Germany
wirtz,Florian Wirtz,Germany
havertz,Kai Havertz,Germany
mueller-thomas,Thomas Müller,Germany
salah,Mohamed Salah,Egypt
mane,Sadio Mané,Senegal
mbappe,Kylian Mbappé,France
benzema,Karim Benzema,France
griezmann,Antoine Griezmann,France
giroud,Olivier Giroud,France
dembele,Ousmane Dembélé,France
lukaku,Romelu Lukaku,Belgium
hazard,Eden Hazard,Belgium
courtois,Thibaut Courtois,Belgium
kante,N'Golo Kanté,France
pogba,Paul Pogba,France
vieira,Patrick Vieira,France
makalele,Claude Makélélé,France
pires,Robert Pirès,France
papin,Jean-Pierre Papin,France
