section,sectionId,label,description,icon,href,actionLabel,actionUrl
CLIs,clis,bash,Aliases,PiTerminal,https://github.com/hieudoanm/hieudoanm.github.io/tree/master/packages/cli/bash,Download bash,https://github.com/hieudoanm/hieudoanm.github.io/tree/master/packages/cli/bash/download/bash/dist
CLIs,clis,jack,Just Another Command-Line Kit,PiCodeSimple,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/cli-jack-latest,Download bin,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/cli-jack-latest
Extensions,extensions,@hieudoanm/ext,Hieu Doan,PiProhibit,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-latest,Download EXT,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-latest
Apps (Desktop),apps-desktop,API,Developer Tools,PiGlobe,https://hieudoanm.github.io/downloads/api,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-api-latest
Apps (Desktop),apps-desktop,Boilerplate,Developer Tools,PiFrameCorners,https://hieudoanm.github.io/downloads/boilerplate,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-boilerplate-latest
Apps (Desktop),apps-desktop,Brainbow,Medical,PiMicroscope,https://hieudoanm.github.io/downloads/brainbow,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-medical-brainbow-latest
Apps (Desktop),apps-desktop,Chat,Social Networking,PiChat,https://hieudoanm.github.io/downloads/chat,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-social-networking-chat-latest
Apps (Desktop),apps-desktop,Chess,Sports,PiGameController,https://hieudoanm.github.io/downloads/chess,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-sports-chess-latest
Apps (Desktop),apps-desktop,Code,Developer Tools,PiCodeSimple,https://hieudoanm.github.io/downloads/code,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-code-latest
Apps (Desktop),apps-desktop,CSV,Productivity,PiTable,https://hieudoanm.github.io/downloads/csv,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-csv-latest
Apps (Desktop),apps-desktop,Database,Developer Tools,PiDatabase,https://hieudoanm.github.io/downloads/database,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-database-latest
Apps (Desktop),apps-desktop,Diagram,Developer Tools,PiPaintBrush,https://hieudoanm.github.io/downloads/diagram,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-diagram-latest
Apps (Desktop),apps-desktop,Docs,Utilities,PiGear,https://hieudoanm.github.io,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-utilities-docs-latest
Apps (Desktop),apps-desktop,Football,Sports,PiSoccerBall,https://hieudoanm.github.io/downloads/football,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-sports-football-latest
