id,name,number,role,bench
julio,Júlio César,12,GK,false
maicon,Maicon,13,DEF,false
lucio,Lúcio,6,DEF,false
samuel,Walter Samuel,25,DEF,false
chivu,Cristian Chivu,26,DEF,false
cambiasso,Esteban Cambiasso,19,MID,false
zanetti,Javier Zanetti,4,MID,false
sneijder,Wesley Sneijder,10,MID,false
eto,Samuel Eto'o,9,FWD,false
milito,Diego Milito,22,FWD,false
pandev,Goran Pandev,27,FWD,false
toldo,Francesco Toldo,1,GK,true
castellazzi,Luca Castellazzi,21,GK,true
cordoba,Iván Córdoba,2,DEF,true
materazzi,Marco Materazzi,23,DEF,true
santon,Davide Santon,39,DEF,true
ranocchia,Andrea Ranocchia,41,DEF,true
rivas,Nelson Rivas,36,DEF,true
muntari,Sulley Muntari,11,MID,true
stankovic,Dejan Stanković,5,MID,true
motta,Thiago Motta,8,MID,true
mariga,McDonald Mariga,17,MID,true
krhin,Rene Krhin,16,MID,true
balotelli,Mario Balotelli,45,FWD,true
arnautovic,Marko Arnautović,89,FWD,true
obia,Nwankwo Obia,48,FWD,true
