id,name,number,role,bench
ederson,Ederson,31,GK,false
kyle,Kyle Walker,2,DEF,false
ruben,Rúben Dias,3,DEF,false
john,John Stones,5,DEF,false
nathan,Nathan Aké,6,DEF,false
rodri,Rodri,16,MID,false
ilkay,İlkay Gündoğan,8,MID,false
kevin,Kevin De Bruyne,17,MID,false
bernardo,Bernardo Silva,20,FWD,false
erling,Erling Haaland,9,FWD,false
jack,Jack Grealish,10,FWD,false
ortega,Stefan Ortega,18,GK,true
carson,Scott Carson,33,GK,true
akanji,Manuel Akanji,25,DEF,true
laporte,Aymeric Laporte,14,DEF,true
cancelo,João Cancelo,7,DEF,true
lewis,Rico Lewis,82,DEF,true
gomez,Sergio Gómez,21,DEF,true
phillips,Kalvin Phillips,4,MID,true
foden,Phil Foden,47,MID,true
palmer,Cole Palmer,80,MID,true
perrone,Máximo Perrone,32,MID,true
mahrez,Riyad Mahrez,26,FWD,true
alvarez,Julián Álvarez,19,FWD,true
mcatee,James McAtee,87,MID,true
bobb,Oscar Bobb,52,FWD,true
