id,title,year,description,category,region,difficulty,source
asia-indus-civilization-3000,Indus Valley Civilization,-3000,The Indus civilization arose along the river valleys.,culture,asia,4,britannica
asia-harappa-2600,Harappa Flourishes,-2600,Planned cities like Harappa grew wealthy.,technology,asia,4,britannica
asia-indus-script-2500,Indus Script Used,-2500,Seals bear a script still undeciphered.,culture,asia,5,britannica
asia-indus-decline-1900,Indus Civilization Declines,-1900,The great cities were gradually abandoned.,culture,asia,4,britannica
asia-aryan-migrations-1700,Indo-Aryan Migrations,-1700,Indo-Aryan peoples entered the subcontinent.,culture,asia,5,britannica
asia-rigveda-1500,Rigveda Composed,-1500,The Rigveda's hymns were composed.,culture,asia,3,britannica
asia-iron-age-1000,Iron Age Begins in India,-1000,Iron tools spread across northern India.,technology,asia,4,britannica
asia-upanishads-800,Upanishads Composed,-800,Philosophical texts reshaped Hindu thought.,culture,asia,4,britannica
asia-mahajanapadas-600,Sixteen Mahajanapadas,-600,Great states divided the Ganges plain.,politics,asia,4,britannica
asia-mahavira-599,Mahavira Born,-599,The Jain teacher was born into a royal family.,culture,asia,5,britannica
asia-buddha-563,Buddha Born,-563,Siddhartha Gautama was born in Lumbini.,culture,asia,2,britannica
asia-magadha-544,Magadha Rises,-544,Bimbisara made Magadha the leading state.,politics,asia,5,britannica
asia-panini-500,Panini Writes Grammar,-500,Panini codified Sanskrit grammar.,science,asia,4,britannica
asia-buddha-dies-483,Buddha Dies,-483,The Buddha died at Kushinagar.,culture,asia,3,britannica
asia-alexander-india-327,Alexander Invades India,-327,Alexander the Great crossed into the Indus valley.,war,asia,3,britannica
asia-maurya-322,Maurya Empire Founded,-322,Chandragupta founded India's first great empire.,politics,asia,3,britannica
asia-seleucus-treaty-305,Seleucus Defeated,-305,Chandragupta defeated the Greek general Seleucus.,war,asia,5,britannica
asia-ashoka-272,Ashoka Becomes Emperor,-272,Ashoka took the Mauryan throne.,politics,asia,3,britannica
asia-kalinga-261,Kalinga War,-261,Ashoka's brutal conquest of Kalinga changed him.,war,asia,3,britannica
asia-ashoka-buddhism-250,Ashoka Embraces Buddhism,-250,Ashoka spread Buddhist teachings across Asia.,culture,asia,3,britannica
asia-sanchi-stupa-249,Sanchi Stupa Built,-249,Builders raised the great stupa at Sanchi.,technology,asia,4,britannica
asia-sunga-dynasty-185,Sunga Dynasty,-185,The Sungas ruled after the Mauryas.,politics,asia,5,britannica
asia-indo-greeks-180,Indo-Greek Kingdoms,-180,Greek rulers governed parts of the northwest.,politics,asia,5,britannica
asia-satavahana-50,Satavahana Dynasty,-50,The Satavahanas ruled the Deccan.,politics,asia,5,britannica
asia-kushan-empire-50,Kushan Empire Rises,50,The Kushans linked India to the Silk Road.,politics,asia,4,britannica
asia-kanishka-78,Kanishka Rules,78,Kanishka presided over a Buddhist golden age.,politics,asia,4,britannica
asia-charaka-100,Charaka Writes Ayurveda,100,Charaka compiled a classic medical text.,medicine,asia,4,britannica
asia-nagarjuna-150,Nagarjuna Writes Philosophy,150,Nagarjuna expounded Mahayana Buddhism.,science,asia,5,britannica
asia-gupta-320,Gupta Empire Founded,320,Chandragupta I founded the Gupta dynasty.,politics,asia,3,britannica
asia-samudragupta-350,Samudragupta Conquers,350,Samudragupta extended Gupta power widely.,war,asia,4,britannica
asia-kalidasa-400,Kalidasa Writes Plays,400,Kalidasa composed plays and poems.,culture,asia,4,britannica
asia-fa-hien-405,Fa Hien Travels to India,405,The Chinese pilgrim recorded Gupta life.,culture,asia,5,britannica
asia-hun-invasions-450,Huna Invasions,450,Central Asian Huns raided Gupta lands.,war,asia,4,britannica
asia-aryabhata-476,Aryabhata Born,476,The astronomer Aryabhata was born.,science,asia,4,britannica
asia-aryabhatiya-499,Aryabhatiya Written,499,Aryabhata described a heliocentric model.,science,asia,4,britannica
asia-gupta-decline-535,Gupta Empire Declines,535,Gupta power faded after the Huna wars.,politics,asia,4,britannica
asia-harsha-606,Harsha Rules,606,Harsha united much of northern India.,politics,asia,4,britannica
asia-arab-sindh-712,Arabs Conquer Sindh,712,Arab armies brought Islam to the Indus region.,war,asia,3,britannica
asia-pala-dynasty-750,Pala Dynasty,750,The Palas ruled Bengal and Bihar.,politics,asia,5,britannica
asia-shankara-788,Adi Shankara Born,788,Shankara revived Advaita Vedanta.,culture,asia,4,britannica
asia-chola-empire-900,Chola Empire Rises,900,The Cholas built a maritime empire.,politics,asia,4,britannica
asia-mahmud-ghazni-1000,Mahmud Raids India,1000,Mahmud of Ghazni raided wealthy temples.,war,asia,4,britannica
asia-tarain-1192,Battle of Tarain,1192,Muhammad of Ghur defeated Prithviraj Chauhan.,war,asia,4,britannica
asia-delhi-sultanate-1206,Delhi Sultanate Founded,1206,Muslim rulers governed from Delhi.,politics,asia,3,britannica
asia-razia-1236,Razia Sultana Rules,1236,Razia became the first woman sultan of Delhi.,politics,asia,3,britannica
asia-khilji-1290,Khalji Dynasty,1290,The Khaljis seized the Delhi throne.,politics,asia,5,britannica
asia-vijayanagara-1336,Vijayanagara Founded,1336,Harihara and Bukka founded the Hindu empire.,politics,asia,4,britannica
asia-timur-1398,Timur Sacks Delhi,1398,Timur devastated the sultanate's capital.,war,asia,4,britannica
