number,hangul,latin,category,subcategory
1,ㄱ,g,consonant,plain
2,ㄴ,n,consonant,plain
3,ㄷ,d,consonant,plain
4,ㄹ,r,consonant,plain
5,ㅁ,m,consonant,plain
6,ㅂ,b,consonant,plain
7,ㅅ,s,consonant,plain
8,ㅇ,-,consonant,plain
9,ㅈ,j,consonant,plain
10,ㅎ,h,consonant,plain
11,ㅊ,ch,consonant,aspirated
12,ㅋ,k,consonant,aspirated
13,ㅌ,t,consonant,aspirated
14,ㅍ,p,consonant,aspirated
15,ㄲ,kk,consonant,tense
16,ㄸ,tt,consonant,tense
17,ㅃ,pp,consonant,tense
18,ㅆ,ss,consonant,tense
19,ㅉ,jj,consonant,tense
20,ㅏ,a,vowel,plain
21,ㅑ,ya,vowel,plain
22,ㅓ,eo,vowel,plain
23,ㅕ,yeo,vowel,plain
24,ㅗ,o,vowel,plain
25,ㅛ,yo,vowel,plain
26,ㅜ,u,vowel,plain
27,ㅠ,yu,vowel,plain
28,ㅡ,eu,vowel,plain
29,ㅣ,i,vowel,plain
30,ㅐ,ae,vowel,plain
31,ㅒ,yae,vowel,plain
32,ㅔ,e,vowel,plain
33,ㅖ,ye,vowel,plain
34,ㅘ,wa,vowel,double
35,ㅙ,wae,vowel,double
36,ㅚ,oe,vowel,double
37,ㅝ,wo,vowel,double
38,ㅞ,we,vowel,double
39,ㅟ,wi,vowel,double
40,ㅢ,ui,vowel,double
