no,sectionId,section,appId,app,primaryCategory,secondaryCategory,icon,version,lastUpdated,fileSize,href,releasesAction,releasesUrl
1,extensions,Extensions,browserx,BrowserX,Extensions,Utilities,PiTabs,latest,2026-09-09,,https://hieudoanm.github.io/open/browserx,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-browserx-latest
2,extensions,Extensions,androidx,AndroidX,Extensions,Utilities,PiAndroidLogo,latest,2026-09-15,,https://hieudoanm.github.io/open/androidx,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-android-androidx-latest
3,extensions,Extensions,macosx,MacOSX,Extensions,Utilities,PiGauge,latest,2026-08-29,,https://hieudoanm.github.io/open/macosx,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-macos-macosx-latest
4,hybrid,Hybrid,menu,Menu,Business,Food & Drink,PiHamburger,latest,2025-01-01,,https://hieudoanm.github.io/open/menu,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-business-menu-latest
5,hybrid,Hybrid,pos,POS,Business,Finance,PiShoppingCart,latest,2025-01-01,,https://hieudoanm.github.io/open/pos,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-business-pos-latest
6,hybrid,Hybrid,api,API,Developer Tools,Productivity,PiGlobe,latest,2025-01-01,,https://hieudoanm.github.io/open/api,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-api-latest
7,hybrid,Hybrid,boilerplate,Boilerplate,Developer Tools,Productivity,PiFrameCorners,latest,2025-01-01,,https://hieudoanm.github.io/open/boilerplate,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-boilerplate-latest
8,hybrid,Hybrid,code,Code,Developer Tools,Productivity,PiCodeSimple,latest,2025-01-01,,https://hieudoanm.github.io/open/code,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-code-latest
9,hybrid,Hybrid,database,Database,Developer Tools,Business,PiDatabase,latest,2025-01-01,,https://hieudoanm.github.io/open/database,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-database-latest
10,hybrid,Hybrid,diagram,Diagram,Developer Tools,Graphics & Design,PiPaintBrush,latest,2025-01-01,,https://hieudoanm.github.io/open/diagram,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-diagram-latest
11,hybrid,Hybrid,lingo,Lingo,Education,Games,PiGraduationCap,latest,2025-01-01,,https://hieudoanm.github.io/open/lingo,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-education-lingo-latest
12,hybrid,Hybrid,doi,DOI,Education,Games,PiNetwork,latest,2026-09-08,,https://hieudoanm.github.io/open/doi,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-education-doi-latest
13,hybrid,Hybrid,tax,Tax,Finance,Business,PiReceipt,latest,2026-08-27,,https://hieudoanm.github.io/open/tax,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-finance-tax-latest
14,hybrid,Hybrid,wallet,Wallet,Finance,Business,PiWallet,latest,2025-01-01,,https://hieudoanm.github.io/open/wallet,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-finance-wallet-latest
15,hybrid,Hybrid,foody,Foody,Food & Drink,Health & Fitness,PiHamburger,latest,2025-01-01,,https://hieudoanm.github.io/open/foody,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-food-drink-foody-latest
16,hybrid,Hybrid,memory,Memory,Games,Entertainment,PiMemory,latest,2025-01-01,,https://hieudoanm.github.io/open/memory,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-games-memory-latest
