rank,country
1,UNITED ARAB EMIRATES
2,SINGAPORE
2,SPAIN
3,BELGIUM
3,LUXEMBOURG
3,FRANCE
3,DENMARK
3,GERMANY
3,SWEDEN
3,NETHERLANDS
3,FINLAND
3,ITALY
3,SWITZERLAND
3,GREECE
3,PORTUGAL
3,AUSTRIA
3,MALAYSIA
3,NORWAY
4,MALTA
4,POLAND
4,HUNGARY
4,LATVIA
4,IRELAND
4,SOUTH KOREA
4,JAPAN
5,ROMANIA
5,SLOVENIA
5,CZECH REPUBLIC
5,CROATIA
5,SLOVAKIA
5,BULGARIA
5,ESTONIA
6,CYPRUS
6,LITHUANIA
7,LIECHTENSTEIN
7,NEW ZEALAND
8,UNITED KINGDOM
8,CANADA
8,ICELAND
8,AUSTRALIA
9,UNITED STATES OF AMERICA
9,MONACO
10,HONG KONG
11,BRAZIL
12,ARGENTINA
13,CHILE
13,ANDORRA
14,SAN MARINO
15,BARBADOS
16,BRUNEI
17,ISRAEL
17,BAHAMAS
18,URUGUAY
19,MEXICO
19,VATICAN CITY
20,SAINT KITTS AND NEVIS
20,SEYCHELLES
20,PERU
21,ST. VINCENT AND THE GRENADINES
22,ANTIGUA AND BARBUDA
23,COSTA RICA
23,UKRAINE
24,MACAO
24,PARAGUAY
25,TRINIDAD AND TOBAGO
26,MAURITIUS
26,GRENADA
27,SAINT LUCIA
27,PANAMA
28,SOLOMON ISLANDS
29,DOMINICA
30,COLOMBIA
31,SERBIA
32,EL SALVADOR
32,GUATEMALA
32,NORTH MACEDONIA
32,GEORGIA
33,MONTENEGRO
34,SAMOA
34,HONDURAS
35,KIRIBATI
36,TUVALU
36,TAIWAN
36,MARSHALL ISLANDS
37,TONGA
38,RUSSIAN FEDERATION
38,ALBANIA
38,BOSNIA AND HERZEGOVINA
38,MOLDOVA
38,NICARAGUA
38,VENEZUELA
39,TÜRKIYE
39,MICRONESIA
39,PALAU
40,QATAR
41,KUWAIT
42,SOUTH AFRICA
43,TIMOR-LESTE
44,BELIZE
44,MALDIVES
45,SAUDI ARABIA
45,ECUADOR
46,BAHRAIN
47,JAMAICA
47,FIJI
48,GUYANA
49,THAILAND
50,OMAN
50,VANUATU
51,KOSOVO
51,CHINA
52,BELARUS
53,KAZAKHSTAN
54,INDONESIA
54,BOLIVIA
55,NAURU
55,PAPUA NEW GUINEA
56,SURINAME
57,BOTSWANA
57,MOROCCO
58,AZERBAIJAN
58,DOMINICAN REPUBLIC
59,LESOTHO
59,ARMENIA
60,ESWATINI
60,NAMIBIA
60,MONGOLIA
61,PHILIPPINES
62,MALAWI
62,KENYA
63,TANZANIA
63,CAPE VERDE
63,TUNISIA
64,GHANA
64,ZAMBIA
65,GAMBIA
65,RWANDA
65,CUBA
65,KYRGYZSTAN
65,INDIA
66,UGANDA
66,UZBEKISTAN
66,SAO TOME AND PRINCIPE
67,ZIMBABWE
67,VIET NAM
68,BENIN
68,MOZAMBIQUE
68,GABON
68,MADAGASCAR
69,SIERRA LEONE
69,TAJIKISTAN
70,ALGERIA
70,CAMBODIA
71,SENEGAL
71,BURKINA FASO
71,EQUATORIAL GUINEA
72,TOGO
72,COTE D'IVOIRE (IVORY COAST)
72,ANGOLA
73,NIGER
73,MAURITANIA
73,BHUTAN
74,LAOS
74,JORDAN
75,MALI
75,GUINEA
75,EGYPT
75,COMOROS
76,HAITI
76,TURKMENISTAN
77,CENTRAL AFRICAN REPUBLIC
77,DJIBOUTI
78,GUINEA-BISSAU
78,LIBERIA
78,CHAD
79,CONGO
79,CAMEROON
79,BURUNDI
80,SRI LANKA
80,LEBANON
80,MYANMAR
81,CONGO (DEM. REP.)
81,NEPAL
82,NIGERIA
82,ETHIOPIA
83,LIBYA
83,IRAN
83,SUDAN
84,SOUTH SUDAN
84,ERITREA
85,NORTH KOREA
86,BANGLADESH
86,PALESTINIAN TERRITORIES
87,YEMEN
88,SOMALIA
89,PAKISTAN
90,IRAQ
91,SYRIA
92,AFGHANISTAN
