country,title,number,name,term_start,term_end,party
Angola,Presidents,1,Agostinho Neto,11 Nov 1975,10 Sep 1979,MPLA
Angola,Presidents,2,José Eduardo dos Santos,10 Sep 1979,26 Sep 2017,MPLA
Angola,Presidents,3,João Lourenço,26 Sep 2017,Present,MPLA
Cameroon,Presidents,1,Ahmadou Ahidjo,5 May 1960,6 Nov 1982,Cameroonian Union
Cameroon,Presidents,2,Paul Biya,6 Nov 1982,Present,Cameroon People's Democratic Movement
Central African Republic,Presidents,1,David Dacko,14 Aug 1960,1 Jan 1966,Movement for the Social Evolution of Black Africa
Central African Republic,Presidents,2,Jean-Bédel Bokassa,1 Jan 1966,20 Sep 1979,Military
Central African Republic,Presidents,3,David Dacko,20 Sep 1979,1 Sep 1981,Democratic Union of Central African Peoples
Central African Republic,Presidents,4,André Kolingba,1 Sep 1981,22 Oct 1993,Military
Central African Republic,Presidents,5,Ange-Félix Patassé,22 Oct 1993,15 Mar 2003,Movement for the Liberation of the Central African People
Central African Republic,Presidents,6,François Bozizé,15 Mar 2003,24 Mar 2013,Military
Central African Republic,Presidents,7,Michel Djotodia,24 Mar 2013,10 Jan 2014,Séléka
Central African Republic,Presidents,8,Catherine Samba-Panza,23 Jan 2014,30 Mar 2016,Independent
Central African Republic,Presidents,9,Faustin-Archange Touadéra,30 Mar 2016,Present,Independent
Chad,Presidents,1,François Tombalbaye,11 Aug 1960,13 Apr 1975,Chadian Progressive Party
Chad,Presidents,2,Félix Malloum,15 Apr 1975,23 Mar 1979,Military
Chad,Presidents,3,Goukouni Oueddei,23 Mar 1979,7 Jun 1982,People's Armed Forces
Chad,Presidents,4,Hissène Habré,7 Jun 1982,1 Dec 1990,Armed Forces of the North
Chad,Presidents,5,Idriss Déby,2 Dec 1990,20 Apr 2021,Patriotic Salvation Movement
Chad,Presidents,6,Mahamat Déby,20 Apr 2021,Present,Military
Congo,Presidents,1,Fulbert Youlou,15 Aug 1960,15 Aug 1963,Democratic Union for the Defence of African Interests
Congo,Presidents,2,Alphonse Massemba-Débat,16 Aug 1963,4 Sep 1968,National Movement of the Revolution
Congo,Presidents,3,Marien Ngouabi,4 Sep 1968,18 Mar 1977,Congolese Party of Labour
Congo,Presidents,4,Joachim Yhombi-Opango,8 Apr 1977,5 Feb 1979,Congolese Party of Labour
Congo,Presidents,5,Denis Sassou Nguesso,8 Feb 1979,31 Aug 1992,Congolese Party of Labour
Congo,Presidents,6,Pascal Lissouba,31 Aug 1992,15 Oct 1997,Pan-African Union for Social Democracy
Congo,Presidents,7,Denis Sassou Nguesso,25 Oct 1997,Present,Congolese Party of Labour
Dr Congo,Presidents,1,Joseph Kasa-Vubu,30 Jun 1960,24 Nov 1965,ABAKO
Dr Congo,Presidents,2,Mobutu Sese Seko,24 Nov 1965,16 May 1997,Popular Movement of the Revolution
Dr Congo,Presidents,3,Laurent-Désiré Kabila,17 May 1997,16 Jan 2001,Alliance of Democratic Forces for the Liberation of Congo
Dr Congo,Presidents,4,Joseph Kabila,17 Jan 2001,24 Jan 2019,People's Party for Reconstruction and Democracy
Dr Congo,Presidents,5,Félix Tshisekedi,24 Jan 2019,Present,Union for Democracy and Social Progress
Equatorial Guinea,Presidents,1,Francisco Macías Nguema,12 Oct 1968,3 Aug 1979,United National Workers Party
Equatorial Guinea,Presidents,2,Teodoro Obiang Nguema Mbasogo,3 Aug 1979,Present,Democratic Party of Equatorial Guinea
Gabon,Presidents,1,Léon M'ba,17 Aug 1960,27 Nov 1967,Gabonese Democratic Party
Gabon,Presidents,2,Omar Bongo,2 Dec 1967,8 Jun 2009,Gabonese Democratic Party
Gabon,Presidents,3,Rose Francine Rogombé,10 Jun 2009,16 Oct 2009,Gabonese Democratic Party
