number,category,subcategory,english,germany,korean
1,Core Function Words,Pronouns,I,ich,나/저
2,Core Function Words,Pronouns,you,du/sie,너/당신
3,Core Function Words,Pronouns,he,er,그
4,Core Function Words,Pronouns,she,sie,그녀
5,Core Function Words,Pronouns,it,es,그것
6,Core Function Words,Pronouns,we,wir,우리
7,Core Function Words,Pronouns,they,sie,그들
8,Core Function Words,Pronouns,me,mich/mir,나를/나에게
9,Core Function Words,Pronouns,him,ihn/ihm,그를/그에게
10,Core Function Words,Pronouns,her,sie/ihr,그녀를/그녀에게
11,Core Function Words,Possessives,my,mein,나의
12,Core Function Words,Possessives,your,dein/ihr,너의/당신의
13,Core Function Words,Possessives,his,sein,그의
14,Core Function Words,Possessives,her,ihr,그녀의
15,Core Function Words,Possessives,its,sein/ihr,그것의
16,Core Function Words,Possessives,our,unser,우리의
17,Core Function Words,Possessives,their,ihr,그들의
18,Core Function Words,Possessives,mine,meins,나의 것
19,Core Function Words,Possessives,yours,deins/ihres,너의 것/당신의 것
20,Core Function Words,Possessives,hers,ihres,그녀의 것
21,Core Function Words,Articles,a,ein,하나의
22,Core Function Words,Articles,an,ein,하나의
23,Core Function Words,Articles,the,der/die/das,그
24,Core Function Words,Articles,this,dieser,이
25,Core Function Words,Articles,that,jener,저
26,Core Function Words,Articles,these,diese,이것들
27,Core Function Words,Articles,those,jene,저것들
28,Core Function Words,Articles,each,jeder,각각
29,Core Function Words,Articles,every,jeder,모든
30,Core Function Words,Articles,all,alle,모든
31,Core Function Words,Prepositions (basic),in,in,안에
32,Core Function Words,Prepositions (basic),on,auf,위에
33,Core Function Words,Prepositions (basic),at,an/bei,에
34,Core Function Words,Prepositions (basic),by,bei/von,옆에/에 의해
35,Core Function Words,Prepositions (basic),for,für,위해
36,Core Function Words,Prepositions (basic),with,mit,함께
37,Core Function Words,Prepositions (basic),about,über,대해
38,Core Function Words,Prepositions (basic),above,über,보다 위에
39,Core Function Words,Prepositions (basic),under,unter,아래에
40,Core Function Words,Prepositions (basic),between,zwischen,사이에
41,Core Function Words,Prepositions (movement),to,zu/nach,로
42,Core Function Words,Prepositions (movement),from,von/aus,부터
43,Core Function Words,Prepositions (movement),into,in,안으로
44,Core Function Words,Prepositions (movement),onto,auf,위로
45,Core Function Words,Prepositions (movement),out,aus,밖으로
46,Core Function Words,Prepositions (movement),through,durch,통해
47,Core Function Words,Prepositions (movement),across,über,가로질러
48,Core Function Words,Prepositions (movement),along,entlang,따라
49,Core Function Words,Prepositions (movement),past,vorbei,지나
50,Core Function Words,Prepositions (movement),towards,zu,향해
51,Core Function Words,Conjunctions,and,und,그리고
52,Core Function Words,Conjunctions,but,aber,하지만
53,Core Function Words,Conjunctions,or,oder,또는
54,Core Function Words,Conjunctions,so,so/daher,그래서
55,Core Function Words,Conjunctions,because,weil,때문에
56,Core Function Words,Conjunctions,if,wenn/falls,만약
57,Core Function Words,Conjunctions,when,wenn/als,언제/때
