year,stage,group,type,match_date,home,home_id,home_score,home_pens,away,away_id,away_score,away_pens,extra_time,stadium,city,host,result
1960,Semi-finals,,Semi-finals,1960-07-06,Czechoslovakia,TCH,0,,Russia,RUS,3,,0,,Marseille,France,away
1960,Semi-finals,,Semi-finals,1960-07-06,France,FRA,4,,Yugoslavia,YUG,5,,0,,Paris,France,away
1960,Third place,,Third place,1960-07-09,France,FRA,0,,Czechoslovakia,TCH,2,,0,,Marseille,France,away
1960,Final,,Final,1960-07-10,Russia,RUS,2,,Yugoslavia,YUG,1,,1,,Paris,France,home
1964,Semi-finals,,Semi-finals,1964-06-17,Denmark,DEN,0,,Russia,RUS,3,,0,,Barcelona,Spain,away
1964,Semi-finals,,Semi-finals,1964-06-17,Spain,ESP,2,,Hungary,HUN,1,,1,,Madrid,Spain,home
1964,Third place,,Third place,1964-06-20,Hungary,HUN,3,,Denmark,DEN,1,,1,,Barcelona,Spain,home
1964,Final,,Final,1964-06-21,Spain,ESP,2,,Russia,RUS,1,,0,,Madrid,Spain,home
1968,Semi-finals,,Semi-finals,1968-06-05,England,ENG,0,,Yugoslavia,YUG,1,,0,,Florence,Italy,away
1968,Semi-finals,,Semi-finals,1968-06-05,Italy,ITA,0,,Russia,RUS,0,,1,,Naples,Italy,draw
1968,Third place,,Third place,1968-06-08,England,ENG,2,,Russia,RUS,0,,0,,Rome,Italy,home
1968,Final,,Final,1968-06-08,Italy,ITA,1,,Yugoslavia,YUG,1,,1,,Rome,Italy,draw
1968,Final,,Final,1968-06-10,Italy,ITA,2,,Yugoslavia,YUG,0,,0,,Rome,Italy,home
1972,Semi-finals,,Semi-finals,1972-06-14,Belgium,BEL,1,,Germany,GER,2,,0,,Antwerp,Belgium,away
1972,Semi-finals,,Semi-finals,1972-06-14,Hungary,HUN,0,,Russia,RUS,1,,0,,Brussels,Belgium,away
1972,Third place,,Third place,1972-06-17,Belgium,BEL,2,,Hungary,HUN,1,,0,,Liège,Belgium,home
1972,Final,,Final,1972-06-18,Germany,GER,3,,Russia,RUS,0,,0,,Brussels,Belgium,home
