no,group,subgroup,category,subcategory,type,idea,status
001,Football,Champions League,2026/2027,Round 1,,Round of 16,TODO
002,Football,Champions League,2026/2027,Round 2,,Quarter Finals,TODO
003,Football,Champions League,2026/2027,Round 3,,Semi Finals,TODO
004,Football,Champions League,2026/2027,Round 4,,Final,TODO
005,Football,Euro,2028,Round 1,,Round of 16,TODO
006,Football,Euro,2028,Round 2,,Quarter Finals,TODO
007,Football,Euro,2028,Round 3,,Semi Finals,TODO
008,Football,Euro,2028,Round 4,,Final,TODO
009,Football,World Cup,2026,Round 1,,Round of 32,POSTED
010,Football,World Cup,2026,Round 2,,Round of 16,POSTED
011,Football,World Cup,2026,Round 3,,Quarter Finals,TODO
012,Football,World Cup,2026,Round 4,,Semi Finals,TODO
013,Football,World Cup,2026,Round 5,,Final,TODO
014,Football,World Cup,2030,Round 1,,Round of 32,TODO
015,Football,World Cup,2030,Round 2,,Round of 16,TODO
016,Football,World Cup,2030,Round 3,,Quarter Finals,TODO
017,Football,World Cup,2030,Round 4,,Semi Finals,TODO
018,Football,World Cup,2030,Round 5,,Final,TODO
019,Psychology,Brain,Cerebral Cortex,Lobes,list,List of Brain Lobes,TODO
020,Psychology,Brain,Cerebral Cortex,Lobes,,Limbic Lobe,TODO
021,Psychology,Brain,Cerebral Cortex,Lobes,,Frontal Lobe,TODO
022,Psychology,Brain,Cerebral Cortex,Lobes,,Insular Lobe,TODO
023,Psychology,Brain,Cerebral Cortex,Lobes,,Occipital Lobe,TODO
024,Psychology,Brain,Cerebral Cortex,Lobes,,Parietal Lobe,TODO
025,Psychology,Brain,Cerebral Cortex,Lobes,,Temporal Lobe,TODO
026,Psychology,Brain,Major Structures,Cerebrum,,Cerebrum,TODO
027,Psychology,Brain,Deep Brain Structures,Limbic System,,Hippocampus,TODO
028,Psychology,Brain,Deep Brain Structures,Limbic System,,Amygdala,TODO
029,Psychology,Brain,Deep Brain Structures,Diencephalon,,Thalamus,TODO
030,Psychology,Brain,Deep Brain Structures,Diencephalon,,Hypothalamus,TODO
031,Psychology,Brain,Deep Brain Structures,Subcortical Nuclei,,Basal Ganglia,TODO
032,Psychology,Brain,Major Structures,White Matter,,Corpus Callosum,TODO
033,Psychology,Cognitive,Cognitive Bias,,list,List of Cognitive Bias,TODO
034,Psychology,Cognitive,Cognitive Bias,,,Anchoring,TODO
035,Psychology,Cognitive,Cognitive Bias,,,Dunning-Kruger,TODO
036,Psychology,Cognitive,Cognitive Bias,,,Confirmation Bias,TODO
037,Psychology,Cognitive,Cognitive Bias,,,Availability Heuristic,TODO
038,Psychology,Cognitive,Cognitive Bias,,,Sunk Cost Fallacy,TODO
039,Psychology,Cognitive,Cognitive Bias,,,Framing Effect,TODO
040,Psychology,Memory,,,,Short-term Memory,TODO
041,Psychology,Memory,,,,Long-term Memory,TODO
042,Psychology,Memory,,,,Working Memory,TODO
043,Psychology,Memory,,,,Ebbinghaus Forgetting Curve,TODO
044,Psychology,Development,,,,Piaget's Stages,TODO
045,Psychology,Development,,,,Maslow's Hierarchy,TODO
