section,sectionId,appId,label,primaryCategory,secondaryCategory,icon,version,lastUpdated,fileSize,href,releasesAction,releasesUrl,aabUrl,apkUrl,dmgUrl,appImageUrl,debUrl,msiUrl,exeUrl,rpmUrl
Apps (Hybrid),apps-hybrid,8-bit,8-Bit,Games,Entertainment,PiJoystick,0.0.1,2026-08-26,,https://hieudoanm.github.io/free/8-bit,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-games-8-bit-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-8-bit-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-8-bit-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-8-bit-latest/8-bit_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-8-bit-latest/8-bit_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-8-bit-latest/8-bit_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-8-bit-latest/8-bit_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-8-bit-latest/8-bit_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-8-bit-latest/8-bit_x86_64.rpm
Apps (Hybrid),apps-hybrid,api,API,Developer Tools,Productivity,PiGlobe,0.0.1,2025-01-01,,https://hieudoanm.github.io/free/api,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-api-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-api-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-api-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-api-latest/api_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-api-latest/api_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-api-latest/api_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-api-latest/api_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-api-latest/api_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-api-latest/api_x86_64.rpm
Apps (Hybrid),apps-hybrid,boilerplate,Boilerplate,Developer Tools,Productivity,PiFrameCorners,0.0.1,2025-01-01,,https://hieudoanm.github.io/free/boilerplate,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-developer-tools-boilerplate-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-boilerplate-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-boilerplate-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-boilerplate-latest/boilerplate_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-boilerplate-latest/boilerplate_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-boilerplate-latest/boilerplate_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-boilerplate-latest/boilerplate_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-boilerplate-latest/boilerplate_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-developer-tools-boilerplate-latest/boilerplate_x86_64.rpm
Apps (Hybrid),apps-hybrid,brainbow,Brainbow,Medical,Health & Fitness,PiMicroscope,0.0.1,2025-01-01,,https://hieudoanm.github.io/free/brainbow,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-medical-brainbow-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-medical-brainbow-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-medical-brainbow-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-medical-brainbow-latest/brainbow_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-medical-brainbow-latest/brainbow_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-medical-brainbow-latest/brainbow_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-medical-brainbow-latest/brainbow_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-medical-brainbow-latest/brainbow_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-medical-brainbow-latest/brainbow_x86_64.rpm
Apps (Hybrid),apps-hybrid,calendar,Calendar,Productivity,Business,PiCalendarBlank,0.0.1,2026-08-26,,https://hieudoanm.github.io/free/calendar,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-calendar-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-productivity-calendar-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-productivity-calendar-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-productivity-calendar-latest/calendar_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-productivity-calendar-latest/calendar_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-productivity-calendar-latest/calendar_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-productivity-calendar-latest/calendar_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-productivity-calendar-latest/calendar_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-productivity-calendar-latest/calendar_x86_64.rpm
Apps (Hybrid),apps-hybrid,casino,Casino,Games,Entertainment,PiDiceOne,0.0.1,2025-01-01,,https://hieudoanm.github.io/free/casino,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-games-casino-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-casino-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-casino-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-casino-latest/casino_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-casino-latest/casino_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-casino-latest/casino_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-casino-latest/casino_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-casino-latest/casino_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-games-casino-latest/casino_x86_64.rpm
Apps (Hybrid),apps-hybrid,chat,Chat,Social Networking,Business,PiChat,0.0.1,2025-01-01,,https://hieudoanm.github.io/free/chat,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-social-networking-chat-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-social-networking-chat-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-social-networking-chat-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-social-networking-chat-latest/chat_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-social-networking-chat-latest/chat_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-social-networking-chat-latest/chat_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-social-networking-chat-latest/chat_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-social-networking-chat-latest/chat_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-social-networking-chat-latest/chat_x86_64.rpm
Apps (Hybrid),apps-hybrid,chemistry,Chemistry,Education,Games,PiAtom,0.0.1,2025-01-01,,https://hieudoanm.github.io/free/chemistry,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-education-chemistry-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-education-chemistry-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-education-chemistry-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-education-chemistry-latest/chemistry_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-education-chemistry-latest/chemistry_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-education-chemistry-latest/chemistry_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-education-chemistry-latest/chemistry_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-education-chemistry-latest/chemistry_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-education-chemistry-latest/chemistry_x86_64.rpm
Apps (Hybrid),apps-hybrid,chess,Chess,Sports,Games,PiGameController,0.0.1,2025-01-01,,https://hieudoanm.github.io/free/chess,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-sports-chess-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-sports-chess-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-sports-chess-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-sports-chess-latest/chess_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-sports-chess-latest/chess_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-sports-chess-latest/chess_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-sports-chess-latest/chess_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-sports-chess-latest/chess_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-sports-chess-latest/chess_x86_64.rpm
Apps (Hybrid),apps-hybrid,clock,Clock,Utilities,Productivity,PiClock,0.0.1,2026-08-27,,https://hieudoanm.github.io/free/clock,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-utilities-clock-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-utilities-clock-latest/app-universal-release.aab,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-utilities-clock-latest/app-universal-release.apk,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-utilities-clock-latest/clock_aarch64.dmg,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-utilities-clock-latest/clock_amd64.AppImage,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-utilities-clock-latest/clock_amd64.deb,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-utilities-clock-latest/clock_x64.msi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-utilities-clock-latest/clock_x64.exe,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/app-hybrid-utilities-clock-latest/clock_x86_64.rpm
