activity,type
Back up important computer files,busywork
Bake a pie with some friends,cooking
Bake pastries for you and your neighbor,cooking
Bake something you've never tried before,cooking
Binge watch a trending series,recreational
Buy a new house decoration,recreational
Catch up on world news,recreational
Catch up with a friend over a lunch date,social
Clean out your car,busywork
Clean out your closet and donate the clothes you've outgrown,charity
Clean out your garage,busywork
Clean out your refrigerator,busywork
Color,relaxation
Compliment someone,social
Configure two-factor authentication on your accounts,busywork
Conquer one of your fears,recreational
Contribute code or a monetary donation to an open-source software project,charity
Cook something together with someone,cooking
Create a cookbook with your favorite recipes,cooking
Create a meal plan for the coming week,cooking
Create a personal website,recreational
Create and follow a savings plan,busywork
Create or update your resume,busywork
Do a jigsaw puzzle,recreational
Do something nice for someone you care about,social
Do something you used to do as a kid,relaxation
Do yoga,recreational
Donate blood at a local blood center,charity
Donate to your local food bank,charity
Draft your living will,busywork
Draw and color a Mandala,relaxation
Draw something interesting,recreational
Explore a park you have never been to before,recreational
Explore the nightlife of your city,social
Fill out a basketball bracket,recreational
Find a charity and donate to it,charity
Give your pet ten minutes of focused attention,relaxation
Go for a run,recreational
Go for a walk,relaxation
Go on a fishing trip with some friends,social
Go on a long drive with no music,relaxation
Go see a Broadway production,recreational
Go see a movie in theaters with a few friends,social
Go stargazing,relaxation
Go swimming with a friend,social
Go to a concert with local artists with some friends,social
Go to a concert with some friends,social
Go to a karaoke bar with some friends,social
Go to a local thrift shop,recreational
Go to a music festival with some friends,social
Go to a nail salon,relaxation
Go to an escape room,social
Go to the gym,recreational
Go to the library and find an interesting book,relaxation
Have a bonfire with your close friends,social
Have a football scrimmage with some friends,social
Have a paper airplane contest with some friends,social
Have a photo session with some friends,social
Have a picnic with some friends,social
Hold a video game tournament with some friends,social
Hold a yard sale,social
Host a movie marathon with some friends,social
Improve your touch typing,busywork
Invite some friends over for a game night,social
Learn Express.js,education
Learn GraphQL,education
Learn Javascript,education
Learn Kotlin,education
Learn Morse code,education
Learn a new programming language,education
Learn a new recipe,cooking
Learn about a distributed version control system such as Git,education
Learn about the Golden Ratio,education
Learn and play a new card game,recreational
Learn calligraphy,education
Learn how the internet works,education
Learn how to beatbox,recreational
Learn how to fold a paper crane,education
Learn how to french braid hair,education
Learn how to iceskate or rollerskate,recreational
Learn how to make a website,education
Learn how to make an Alexa skill,education
Learn how to play a new sport,recreational
Learn how to use a french press,recreational
Learn how to use an Arduino,education
Learn how to whistle with your fingers,education
Learn how to write in shorthand,education
Learn origami,education
Learn the NATO phonetic alphabet,education
Learn the periodic table,education
Learn to greet someone in a new language,education
Learn to sew on a button,education
Learn to write with your nondominant hand,recreational
Listen to a new podcast,relaxation
Look at pictures and videos of cute animals,relaxation
Look at your finances and find one way to save money,busywork
Make a bucket list,busywork
Make a budget,busywork
Make a couch fort,recreational
Make a new friend,social
Make a to-do list for your week,busywork
Make bread from scratch,cooking
Make homemade ice cream,cooking
Make your own LEGO creation,recreational
Match your storage containers with their lids,busywork
Meditate for five minutes,relaxation
Memorize a favorite quote or poem,education
Memorize the fifty states and their capitals,education
Mow your lawn,busywork
Mow your neighbor's lawn,charity
Organize a bookshelf,busywork
Organize a cluttered drawer,busywork
Organize your basement,busywork
Organize your dresser,busywork
Organize your movie collection,busywork
Organize your music collection,busywork
Organize your pantry,busywork
Paint the first thing you see,recreational
Patronize a local independent restaurant,recreational
Pick up litter around your favorite park,charity
Plan a trip to another country,recreational
Plan a vacation you've always wanted to take,relaxation
Plant a tree,recreational
Play a game of Monopoly,social
Play a game of tennis with a friend,social
Play a video game,recreational
Play a volleyball match with some friends,social
Play basketball with a group of friends,social
Pot some plants and put them around your house,relaxation
Practice coding in your favorite lanaguage,recreational
Prepare a 72-hour kit,busywork
Prepare a dish from a foreign culture,cooking
Pull a harmless prank on one of your friends,social
Read a formal research paper on an interesting subject,education
Rearrange and organize your room,busywork
Repaint a room in your house,recreational
Research a topic you're interested in,education
Resolve a problem you've been putting off,busywork
Shop at support your local farmers market,relaxation
Shred old documents you don't need anymore,busywork
Sit in the dark and listen to your favorite music with no distractions,relaxation
Solve a Rubik's cube,recreational
Start a blog for something you're passionate about,recreational
Start a book you've never gotten around to reading,relaxation
Start a collection,recreational
Start a daily journal,relaxation
Start a family tree,social
Start a garden,recreational
Start a webinar on a topic of your choice,education
Study a foreign language,education
Surprise your significant other with something considerate,social
Take a bubble bath,relaxation
Take a caffeine nap,relaxation
Take a class at your local community center that interests you,education
Take a hike at a local park,recreational
Take a nap,relaxation
Take a spontaneous road trip with some friends,social
Take your cat on a walk,relaxation
Take your dog on a walk,relaxation
Teach your dog a new trick,relaxation
Text a friend you haven't talked to in a long time,social
Think of a new business idea,recreational
Try a food you don't like,recreational
Uninstall unused apps from your devices,busywork
Visit a nearby museum,recreational
Visit your past teachers,social
Volunteer and help out at a senior center,charity
Volunteer at a local animal shelter,charity
Volunteer at your local food bank,charity
Volunteer at your local food pantry,charity
Wash your car,busywork
Watch a Khan Academy lecture on a subject of your choosing,education
Watch a classic movie,recreational
Watch a movie you'd never usually watch,relaxation
Watch the sunset or the sunrise,recreational
Write a handwritten letter to somebody,social
Write a list of things you are grateful for,relaxation
Write a note of appreciation to someone,social
Write a poem,recreational
Write a short story,recreational
Write a thank you letter to an influential person in your life,social
