id,title,year,description,category,region,difficulty,source
europe-roman-conquest-43,Roman Conquest of Britain,43,The Roman Empire began its invasion of Britain under Emperor Claudius.,war,europe,2,britannica
europe-boudica-revolt-60,Boudica's Revolt,60,Queen Boudica led a rebellion against Roman rule in Britain.,war,europe,3,britannica
europe-hadrians-wall-122,Hadrian's Wall Built,122,The Romans built a defensive wall across northern England.,culture,europe,3,britannica
europe-romans-leave-britain-410,Romans Leave Britain,410,The last Roman legions withdrew from Britain.,war,europe,3,britannica
europe-lindisfarne-raid-793,Viking Raid on Lindisfarne,793,Viking raiders attacked the monastery at Lindisfarne.,war,europe,2,britannica
europe-alfred-the-great-871,Alfred the Great Becomes King,871,Alfred became King of Wessex and fought the Viking invaders.,politics,europe,3,britannica
europe-battle-of-hastings-1066,Battle of Hastings,1066,William the Conqueror defeated King Harold II at Hastings.,war,europe,2,britannica
europe-domesday-book-1086,Domesday Book Completed,1086,William the Conqueror ordered a survey of all land and property.,politics,europe,3,britannica
europe-oxford-teaching-1096,University of Oxford Teaching Begins,1096,Teaching at Oxford began in the late eleventh century.,science,europe,4,britannica
europe-magna-carta-1215,Magna Carta Signed,1215,King John sealed the Magna Carta limiting royal power.,politics,europe,2,britannica
europe-cambridge-university-1209,University of Cambridge Founded,1209,Scholars left Oxford to found a new university at Cambridge.,science,europe,4,britannica
europe-first-parliament-1265,Simon de Montfort's Parliament,1265,Simon de Montfort summoned a parliament with elected representatives.,politics,europe,3,britannica
europe-peasants-revolt-1381,Peasants' Revolt,1381,English peasants rebelled against the poll tax and feudal oppression.,politics,europe,3,britannica
europe-wars-of-the-roses-1455,Wars of the Roses Begin,1455,The houses of York and Lancaster fought for the English throne.,war,europe,3,britannica
europe-bosworth-field-1485,Battle of Bosworth Field,1485,Henry Tudor defeated Richard III ending the Wars of the Roses.,war,europe,3,britannica
europe-tudor-dynasty-1485,Tudor Dynasty Begins,1485,Henry VII became the first Tudor king of England.,politics,europe,3,britannica
europe-act-of-supremacy-1534,Church of England Established,1534,Henry VIII broke with Rome and created the Church of England.,politics,europe,3,britannica
europe-dissolution-monasteries-1536,Dissolution of the Monasteries,1536,Henry VIII closed England's monasteries and seized their wealth.,politics,europe,4,britannica
europe-mary-rose-sinks-1545,Mary Rose Sinks,1545,The warship Mary Rose sank in the Solent during battle.,war,europe,4,britannica
europe-elizabeth-i-crowned-1558,Elizabeth I Crowned,1558,Elizabeth I became Queen of England at age 25.,politics,europe,2,britannica
europe-drake-circumnavigates-1580,Drake Circumnavigates the Globe,1580,Sir Francis Drake completed the first English voyage around the world.,culture,europe,3,britannica
europe-spanish-armada-1588,Spanish Armada Defeated,1588,The English fleet defeated the Spanish Armada sent to invade.,war,europe,2,britannica
europe-globe-theatre-1599,Globe Theatre Opens,1599,Shakespeare's company opened the Globe Theatre on the Thames.,culture,europe,3,britannica
europe-east-india-company-1600,East India Company Founded,1600,English merchants founded a company to trade with the East Indies.,culture,europe,4,britannica
europe-union-of-crowns-1603,Union of the Crowns,1603,James VI of Scotland became James I of England.,politics,europe,4,britannica
europe-gunpowder-plot-1605,Gunpowder Plot Foiled,1605,Catholics plotted to blow up Parliament in the Gunpowder Plot.,politics,europe,3,britannica
