id,title,year,description,category,region,difficulty,source
europe-etruscan-900,Etruscan Civilization Rises,-900,The Etruscans grew strong in central Italy.,culture,europe,4,britannica
europe-rome-founded-753,Rome Founded,-753,Legend dates Rome's founding to this year.,culture,europe,2,britannica
europe-greek-colonies-750,Greeks Colonize Southern Italy,-750,Greek settlers built cities along the coast.,culture,europe,5,britannica
europe-etruscan-kings-616,Etruscan Kings Rule Rome,-616,Etruscan kings ruled over early Rome.,politics,europe,5,britannica
europe-republic-509,Roman Republic Founded,-509,Rome expelled its kings and formed a republic.,politics,europe,2,britannica
europe-plebeian-tribunes-494,Plebeians Win Tribunes,-494,Commoners gained officials to protect them.,politics,europe,5,britannica
europe-twelve-tables-451,Twelve Tables Written,-451,Rome's first written laws were published.,culture,europe,4,britannica
europe-veii-396,Rome Captures Veii,-396,Rome seized the rival Etruscan city.,war,europe,5,britannica
europe-gauls-390,Gauls Sack Rome,-390,Gallic raiders burned much of Rome.,war,europe,3,britannica
europe-samnite-wars-343,Samnite Wars Begin,-343,Rome fought the Samnites for central Italy.,war,europe,5,britannica
europe-appian-way-312,Appian Way Built,-312,Rome paved its first great highway.,technology,europe,4,britannica
europe-pyrrhus-defeated-275,Rome Defeats Pyrrhus,-275,Rome drove the Greek king from Italy.,war,europe,4,britannica
europe-first-punic-264,First Punic War Begins,-264,Rome and Carthage clashed over Sicily.,war,europe,3,britannica
europe-sicily-province-241,Sicily Becomes a Province,-241,Sicily became Rome's first province.,politics,europe,5,britannica
europe-second-punic-218,Second Punic War Begins,-218,Hannibal marched across the Alps.,war,europe,3,britannica
europe-cannae-216,Battle of Cannae,-216,Hannibal annihilated a Roman army.,war,europe,3,britannica
europe-zama-202,Battle of Zama,-202,Scipio defeated Hannibal in Africa.,war,europe,3,britannica
europe-third-punic-149,Third Punic War,-149,Rome resolved to destroy Carthage.,war,europe,4,britannica
europe-carthage-146,Carthage Destroyed,-146,Rome razed the city of Carthage.,war,europe,3,britannica
europe-gracchi-133,Gracchi Reforms,-133,The Gracchi brothers pushed land reform.,politics,europe,4,britannica
europe-marius-107,Marius Reforms the Army,-107,Marius opened the legions to the poor.,war,europe,5,britannica
europe-social-war-91,Social War,-91,Italian allies fought for citizenship.,war,europe,5,britannica
europe-spartacus-73,Spartacus Revolts,-73,The gladiator led a slave rebellion.,war,europe,3,britannica
europe-first-triumvirate-60,First Triumvirate,-60,Three rival generals shared power.,politics,europe,4,britannica
europe-gallic-wars-58,Gallic Wars Begin,-58,Caesar campaigned across Gaul.,war,europe,4,britannica
europe-rubicon-49,Caesar Crosses the Rubicon,-49,Caesar marched on Rome to start a civil war.,war,europe,3,britannica
europe-pharsalus-48,Battle of Pharsalus,-48,Caesar defeated Pompey in Greece.,war,europe,4,britannica
europe-caesar-assassinated-44,Julius Caesar Assassinated,-44,Senators stabbed Caesar on the Ides of March.,politics,europe,2,britannica
europe-second-triumvirate-43,Second Triumvirate,-43,Three leaders divided Rome among themselves.,politics,europe,5,britannica
europe-philippi-42,Battle of Philippi,-42,The triumvirs crushed Caesar's assassins.,war,europe,4,britannica
europe-augustus-27,Augustus Becomes Emperor,-27,Octavian became Rome's first emperor.,politics,europe,2,britannica
europe-aeneid-19,Virgil's Aeneid Completed,-19,The national epic was finished after Virgil's death.,culture,europe,4,britannica
europe-augustus-dies-14,Augustus Dies,14,The first emperor died after four decades of rule.,politics,europe,4,britannica
europe-nero-54,Nero Becomes Emperor,54,Nero took the throne at age sixteen.,politics,europe,4,britannica
europe-great-fire-64,Great Fire of Rome,64,A great fire destroyed much of the city.,culture,europe,4,britannica
europe-vesuvius-79,Mount Vesuvius Erupts,79,Pompeii and Herculaneum were buried in ash.,culture,europe,2,britannica
europe-colosseum-80,Colosseum Opens,80,Rome's great amphitheater hosted its first games.,technology,europe,3,britannica
europe-pantheon-126,Pantheon Completed,126,Hadrian rebuilt the temple with a vast dome.,technology,europe,4,britannica
europe-diocletian-284,Diocletian Reforms Empire,284,Diocletian split and stabilized the empire.,politics,europe,4,britannica
europe-constantine-306,Constantine Becomes Emperor,306,Constantine rose to power in the west.,politics,europe,3,britannica
europe-edict-milan-313,Edict of Milan,313,Christianity was officially tolerated.,culture,europe,4,britannica
europe-alaric-410,Visigoths Sack Rome,410,Alaric's Goths looted the city of Rome.,war,europe,3,britannica
europe-rome-falls-476,Western Roman Empire Falls,476,The last western emperor was deposed.,politics,europe,2,britannica
europe-ostrogoths-493,Ostrogoths Rule Italy,493,Theodoric founded an Ostrogothic kingdom.,politics,europe,5,britannica
europe-gothic-war-535,Gothic War Begins,535,Byzantium fought to reclaim Italy.,war,europe,5,britannica
europe-lombards-568,Lombards Invade Italy,568,The Lombards carved out a northern kingdom.,war,europe,4,britannica
europe-gregory-590,Gregory the Great Becomes Pope,590,Gregory expanded papal authority.,culture,europe,5,britannica
europe-charlemagne-774,Charlemagne Conquers the Lombards,774,Charlemagne took the Lombard crown.,war,europe,4,britannica
europe-charlemagne-crowned-800,Charlemagne Crowned Emperor,800,The pope crowned Charlemagne in Rome.,politics,europe,3,britannica
europe-great-schism-1054,Great Schism,1054,The eastern and western churches split.,culture,europe,4,britannica
europe-norman-sicily-1071,Normans Conquer Sicily,1071,The Normans finished taking the island.,war,europe,4,britannica
europe-gregory-vii-1073,Gregory VII Becomes Pope,1073,Gregory VII fought the Investiture Controversy.,politics,europe,5,britannica
europe-first-crusade-1095,First Crusade Preached,1095,Urban II summoned knights to the East.,war,europe,4,britannica
europe-frederick-1155,Frederick Barbarossa Crowned,1155,Barbarossa claimed the imperial crown.,politics,europe,4,britannica
europe-legnano-1176,Battle of Legnano,1176,The Lombard League beat the emperor.,war,europe,4,britannica
europe-sicilian-vespers-1282,Sicilian Vespers,1282,Sicilians rose against French rule.,war,europe,4,britannica
europe-avignon-1309,Papacy Moves to Avignon,1309,The popes left Rome for southern France.,politics,europe,3,britannica
europe-dante-1321,Dante Dies,1321,The Divine Comedy's author died in exile.,culture,europe,4,britannica
europe-black-death-1347,Black Death Reaches Italy,1347,Plague devastated Italian cities.,medicine,europe,3,britannica
europe-medici-rule-1434,Medici Rule Florence,1434,Cosimo de' Medici dominated the city.,politics,europe,4,britannica
europe-duomo-1436,Florence Cathedral Dome,1436,Brunelleschi completed the great dome.,technology,europe,4,britannica
europe-french-italy-1494,French Invade Italy,1494,Charles VIII marched into Italy.,war,europe,4,britannica
