id,title,year,description,category,region,difficulty,source
europe-lascaux-paintings-17000,Lascaux Cave Paintings,-17000,Prehistoric artists painted vivid scenes at Lascaux.,culture,europe,4,britannica
europe-massalia-founded-600,Massalia Founded,-600,Greek colonists founded Massalia or modern Marseille.,culture,europe,4,britannica
europe-alesia-52,Battle of Alesia,-52,Vercingetorix surrendered to Julius Caesar.,war,europe,3,britannica
europe-clovis-franks-486,Clovis Unites the Franks,486,Clovis founded the Frankish kingdom.,war,europe,4,britannica
europe-clovis-baptised-496,Clovis Baptised,496,Clovis converted to Catholic Christianity.,culture,europe,4,britannica
europe-battle-of-tours-732,Battle of Tours,732,Charles Martel halted the Muslim advance.,war,europe,3,britannica
europe-pepin-crowned-751,Pepin the Short Crowned,751,Pepin became the first Carolingian king.,politics,europe,4,britannica
europe-charlemagne-emperor-800,Charlemagne Crowned Emperor,800,Charlemagne was crowned Roman emperor.,politics,europe,3,britannica
europe-treaty-verdun-843,Treaty of Verdun,843,Charlemagne's empire was split into three.,politics,europe,4,britannica
europe-hugh-capet-987,Hugh Capet Crowned,987,Hugh Capet founded the Capetian dynasty.,politics,europe,4,britannica
europe-norman-conquest-1066,Norman Conquest of England,1066,William of Normandy conquered England.,war,europe,3,britannica
europe-first-crusade-1096,First Crusade Departs,1096,French knights joined the First Crusade.,war,europe,4,britannica
europe-notre-dame-1163,Notre-Dame Construction Begins,1163,Work began on Notre-Dame de Paris.,culture,europe,4,britannica
europe-albigensian-crusade-1209,Albigensian Crusade,1209,Papal forces fought heretics in the south.,war,europe,5,britannica
europe-bouvines-1214,Battle of Bouvines,1214,Philip Augustus defeated an allied coalition.,war,europe,4,britannica
europe-sainte-chapelle-1248,Sainte-Chapelle Consecrated,1248,The royal chapel rose with its stained glass.,culture,europe,5,britannica
europe-estates-general-1302,Estates General Meets,1302,France's first assembly met in Paris.,politics,europe,5,britannica
europe-templars-arrested-1307,Knights Templar Arrested,1307,Philip IV moved to crush the Templars.,politics,europe,5,britannica
europe-avignon-papacy-1309,Avignon Papacy Begins,1309,The popes moved to Avignon.,politics,europe,5,britannica
europe-hundred-years-war-1337,Hundred Years' War Begins,1337,England and France clashed over the crown.,war,europe,3,britannica
europe-black-death-1348,Black Death Strikes,1348,The plague devastated France.,medicine,europe,3,britannica
europe-agincourt-1415,Battle of Agincourt,1415,English archers routed the French knights.,war,europe,3,britannica
europe-joan-orleans-1429,Joan of Arc Relieves Orléans,1429,Joan of Arc lifted the siege of Orléans.,war,europe,3,britannica
europe-joan-burned-1431,Joan of Arc Burned,1431,Joan was executed at Rouen.,war,europe,4,britannica
europe-hundred-years-war-ends-1453,Hundred Years' War Ends,1453,The French expelled the English.,war,europe,4,britannica
europe-italian-wars-1494,Italian Wars Begin,1494,France invaded Italy.,war,europe,4,britannica
europe-marignano-1515,Battle of Marignano,1515,Francis I won a famous victory in Italy.,war,europe,5,britannica
europe-cartier-canada-1534,Cartier Reaches Canada,1534,Jacques Cartier explored the St. Lawrence.,culture,europe,4,britannica
europe-wars-of-religion-1562,Wars of Religion Begin,1562,Catholic and Protestant forces went to war.,war,europe,4,britannica
europe-bartholomew-massacre-1572,St Bartholomew's Day Massacre,1572,Catholics massacred Huguenots in Paris.,war,europe,4,britannica
europe-edict-nantes-1598,Edict of Nantes,1598,Henry IV granted Huguenots religious freedom.,politics,europe,3,britannica
europe-richelieu-1624,Richelieu Becomes Minister,1624,Richelieu guided royal policy.,politics,europe,4,britannica
europe-french-academy-1635,French Academy Founded,1635,Richelieu created the Académie française.,culture,europe,5,britannica
europe-louis-xiv-1643,Louis XIV Becomes King,1643,The Sun King began his long reign.,politics,europe,4,britannica
europe-westphalia-1648,Peace of Westphalia,1648,The Thirty Years' War ended in Europe.,politics,europe,4,britannica
europe-versailles-1661,Versailles Expansion Begins,1661,Louis XIV rebuilt the palace at Versailles.,culture,europe,4,britannica
europe-nantes-revoked-1685,Edict of Nantes Revoked,1685,Louis XIV revoked religious toleration.,politics,europe,4,britannica
europe-louis-xiv-dies-1715,Louis XIV Dies,1715,The Sun King died after seventy-two years.,politics,europe,4,britannica
europe-mississippi-bubble-1720,Mississippi Bubble Bursts,1720,John Law's financial scheme collapsed.,culture,europe,5,britannica
