,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA (0.452%),KAo (0.905%),QAo (0.905%),JAo (0.905%),TAo (0.905%),9Ao (0.905%),8Ao (0.905%),7Ao (0.905%),6Ao (0.905%),5Ao (0.905%),4Ao (0.905%),3Ao (0.905%),2Ao (0.905%)
K,KAs (0.302%),KK (0.452%),QKo (0.905%),JKo (0.905%),TKo (0.905%),9Ko (0.905%),8Ko (0.905%),7Ko (0.905%),6Ko (0.905%),5Ko (0.905%),4Ko (0.905%),3Ko (0.905%),2Ko (0.905%)
Q,QAs (0.302%),QKs (0.302%),QQ (0.452%),JQo (0.905%),TQo (0.905%),9Qo (0.905%),8Qo (0.905%),7Qo (0.905%),6Qo (0.905%),5Qo (0.905%),4Qo (0.905%),3Qo (0.905%),2Qo (0.905%)
J,JAs (0.302%),JKs (0.302%),JQs (0.302%),JJ (0.452%),TJo (0.905%),9Jo (0.905%),8Jo (0.905%),7Jo (0.905%),6Jo (0.905%),5Jo (0.905%),4Jo (0.905%),3Jo (0.905%),2Jo (0.905%)
T,TAs (0.302%),TKs (0.302%),TQs (0.302%),TJs (0.302%),TT (0.452%),9To (0.905%),8To (0.905%),7To (0.905%),6To (0.905%),5To (0.905%),4To (0.905%),3To (0.905%),2To (0.905%)
9,9As (0.302%),9Ks (0.302%),9Qs (0.302%),9Js (0.302%),9Ts (0.302%),99 (0.452%),89o (0.905%),79o (0.905%),69o (0.905%),59o (0.905%),49o (0.905%),39o (0.905%),29o (0.905%)
8,8As (0.302%),8Ks (0.302%),8Qs (0.302%),8Js (0.302%),8Ts (0.302%),89s (0.302%),88 (0.452%),78o (0.905%),68o (0.905%),58o (0.905%),48o (0.905%),38o (0.905%),28o (0.905%)
7,7As (0.302%),7Ks (0.302%),7Qs (0.302%),7Js (0.302%),7Ts (0.302%),79s (0.302%),78s (0.302%),77 (0.452%),67o (0.905%),57o (0.905%),47o (0.905%),37o (0.905%),27o (0.905%)
6,6As (0.302%),6Ks (0.302%),6Qs (0.302%),6Js (0.302%),6Ts (0.302%),69s (0.302%),68s (0.302%),67s (0.302%),66 (0.452%),56o (0.905%),46o (0.905%),36o (0.905%),26o (0.905%)
5,5As (0.302%),5Ks (0.302%),5Qs (0.302%),5Js (0.302%),5Ts (0.302%),59s (0.302%),58s (0.302%),57s (0.302%),56s (0.302%),55 (0.452%),45o (0.905%),35o (0.905%),25o (0.905%)
4,4As (0.302%),4Ks (0.302%),4Qs (0.302%),4Js (0.302%),4Ts (0.302%),49s (0.302%),48s (0.302%),47s (0.302%),46s (0.302%),45s (0.302%),44 (0.452%),34o (0.905%),24o (0.905%)
3,3As (0.302%),3Ks (0.302%),3Qs (0.302%),3Js (0.302%),3Ts (0.302%),39s (0.302%),38s (0.302%),37s (0.302%),36s (0.302%),35s (0.302%),34s (0.302%),33 (0.452%),23o (0.905%)
2,2As (0.302%),2Ks (0.302%),2Qs (0.302%),2Js (0.302%),2Ts (0.302%),29s (0.302%),28s (0.302%),27s (0.302%),26s (0.302%),25s (0.302%),24s (0.302%),23s (0.302%),22 (0.452%)
