sport,gender,competition_tour,competition_type,competition,competition_area,season,month,host_city,host_state,host_country,champion,champion_conference,champion_score,champion_manager,champion_manager_country,runner_up,runner_up_conference,runner_up_score,host_venue,attendance,third_place,third_place_conference,fourth_place,number_of_teams
American Football,male,,,NFL,United States,1967,,,,United States,Green Bay Packers,national,,,,Kansas City Chiefs,american,,,,,,,
American Football,male,,,NFL,United States,1968,,,,United States,Green Bay Packers,national,,,,Las Vegas Raiders,american,,,,,,,
American Football,male,,,NFL,United States,1969,,,,United States,New York Jets,american,,,,Indianapolis Colts,national,,,,,,,
American Football,male,,,NFL,United States,1970,,,,United States,Kansas City Chiefs,american,,,,Minnesota Vikings,national,,,,,,,
American Football,male,,,NFL,United States,1971,,,,United States,Indianapolis Colts,american,,,,Dallas Cowboys,national,,,,,,,
American Football,male,,,NFL,United States,1972,,,,United States,Dallas Cowboys,national,,,,Miami Dolphins,american,,,,,,,
American Football,male,,,NFL,United States,1973,,,,United States,Miami Dolphins,american,,,,Washington Redskins,national,,,,,,,
American Football,male,,,NFL,United States,1974,,,,United States,Miami Dolphins,american,,,,Minnesota Vikings,national,,,,,,,
American Football,male,,,NFL,United States,1975,,,,United States,Pittsburgh Steelers,american,,,,Minnesota Vikings,national,,,,,,,
American Football,male,,,NFL,United States,1976,,,,United States,Pittsburgh Steelers,american,,,,Dallas Cowboys,national,,,,,,,
American Football,male,,,NFL,United States,1977,,,,United States,Las Vegas Raiders,american,,,,Minnesota Vikings,national,,,,,,,
American Football,male,,,NFL,United States,1978,,,,United States,Dallas Cowboys,national,,,,Denver Broncos,american,,,,,,,
American Football,male,,,NFL,United States,1979,,,,United States,Pittsburgh Steelers,american,,,,Dallas Cowboys,national,,,,,,,
American Football,male,,,NFL,United States,1980,,,,United States,Pittsburgh Steelers,american,,,,Los Angeles Rams,national,,,,,,,
American Football,male,,,NFL,United States,1981,,,,United States,Las Vegas Raiders,american,,,,Philadelphia Eagles,national,,,,,,,
American Football,male,,,NFL,United States,1982,,,,United States,San Francisco 49ers,national,,,,Cincinnati Bengals,american,,,,,,,
American Football,male,,,NFL,United States,1983,,,,United States,Washington Redskins,national,,,,Miami Dolphins,american,,,,,,,
American Football,male,,,NFL,United States,1984,,,,United States,Las Vegas Raiders,american,,,,Washington Redskins,national,,,,,,,
American Football,male,,,NFL,United States,1985,,,,United States,San Francisco 49ers,national,,,,Miami Dolphins,american,,,,,,,
American Football,male,,,NFL,United States,1986,,,,United States,Chicago Bears,national,,,,New England Patriots,american,,,,,,,
American Football,male,,,NFL,United States,1987,,,,United States,New York Giants,national,,,,Denver Broncos,american,,,,,,,
American Football,male,,,NFL,United States,1988,,,,United States,Washington Redskins,national,,,,Denver Broncos,american,,,,,,,
American Football,male,,,NFL,United States,1989,,,,United States,San Francisco 49ers,national,,,,Cincinnati Bengals,american,,,,,,,
American Football,male,,,NFL,United States,1990,,,,United States,San Francisco 49ers,national,,,,Denver Broncos,american,,,,,,,
American Football,male,,,NFL,United States,1991,,,,United States,New York Giants,national,,,,Buffalo Bills,american,,,,,,,
American Football,male,,,NFL,United States,1992,,,,United States,Washington Redskins,national,,,,Buffalo Bills,american,,,,,,,
American Football,male,,,NFL,United States,1993,,,,United States,Dallas Cowboys,national,,,,Buffalo Bills,american,,,,,,,
American Football,male,,,NFL,United States,1994,,,,United States,Dallas Cowboys,national,,,,Buffalo Bills,american,,,,,,,
American Football,male,,,NFL,United States,1995,,,,United States,San Francisco 49ers,national,,,,San Diego Chargers,american,,,,,,,
American Football,male,,,NFL,United States,1996,,,,United States,Dallas Cowboys,national,,,,Pittsburgh Steelers,american,,,,,,,
American Football,male,,,NFL,United States,1997,,,,United States,Green Bay Packers,national,,,,New England Patriots,american,,,,,,,
American Football,male,,,NFL,United States,1998,,,,United States,Denver Broncos,american,,,,Green Bay Packers,national,,,,,,,
American Football,male,,,NFL,United States,1999,,,,United States,Denver Broncos,american,,,,Atlanta Falcons,national,,,,,,,
American Football,male,,,NFL,United States,2000,,,,United States,Los Angeles Rams,national,,,,Tennessee Titans,american,,,,,,,
American Football,male,,,NFL,United States,2001,,,,United States,Baltimore Ravens,american,,,,New York Giants,national,,,,,,,
American Football,male,,,NFL,United States,2002,,,,United States,New England Patriots,american,,,,Los Angeles Rams,national,,,,,,,
American Football,male,,,NFL,United States,2003,,,,United States,Tampa Bay Buccaneers,national,,,,Las Vegas Raiders,american,,,,,,,
American Football,male,,,NFL,United States,2004,,,,United States,New England Patriots,american,,,,Carolina Panthers,national,,,,,,,
American Football,male,,,NFL,United States,2005,,,,United States,New England Patriots,american,,,,Philadelphia Eagles,national,,,,,,,
American Football,male,,,NFL,United States,2006,,,,United States,Pittsburgh Steelers,american,,,,Seattle Seahawks,national,,,,,,,
American Football,male,,,NFL,United States,2007,,,,United States,Indianapolis Colts,american,,,,Chicago Bears,national,,,,,,,
American Football,male,,,NFL,United States,2008,,,,United States,New York Giants,national,,,,New England Patriots,american,,,,,,,
American Football,male,,,NFL,United States,2009,,,,United States,Pittsburgh Steelers,american,,,,Arizona Cardinals,national,,,,,,,
American Football,male,,,NFL,United States,2010,,,,United States,New Orleans Saints,national,,,,Indianapolis Colts,american,,,,,,,
American Football,male,,,NFL,United States,2011,,,,United States,Green Bay Packers,national,,,,Pittsburgh Steelers,american,,,,,,,
American Football,male,,,NFL,United States,2012,,,,United States,New York Giants,national,,,,New England Patriots,american,,,,,,,
American Football,male,,,NFL,United States,2013,,,,United States,Baltimore Ravens,american,,,,San Francisco 49ers,national,,,,,,,
American Football,male,,,NFL,United States,2014,,,,United States,Seattle Seahawks,national,,,,Denver Broncos,american,,,,,,,
American Football,male,,,NFL,United States,2015,,,,United States,New England Patriots,american,,,,Seattle Seahawks,national,,,,,,,
American Football,male,,,NFL,United States,2016,,,,United States,Denver Broncos,american,,,,Carolina Panthers,national,,,,,,,
American Football,male,,,NFL,United States,2017,,,,United States,New England Patriots,american,,,,Atlanta Falcons,national,,,,,,,
American Football,male,,,NFL,United States,2018,,,,United States,Philadelphia Eagles,national,,,,New England Patriots,american,,,,,,,
American Football,male,,,NFL,United States,2019,,,,United States,New England Patriots,american,,,,Los Angeles Rams,national,,,,,,,
American Football,male,,,NFL,United States,2020,,,,United States,Kansas City Chiefs,american,,,,San Francisco 49ers,national,,,,,,,
American Football,male,,,NFL,United States,2021,,,,United States,Tampa Bay Buccaneers,national,,,,Kansas City Chiefs,american,,,,,,,
American Football,male,,,NFL,United States,2022,,,,United States,Los Angeles Rams,national,,,,Cincinnati Bengals,american,,,,,,,
American Football,male,,,NFL,United States,2023,,,,United States,Kansas City Chiefs,american,,,,Philadelphia Eagles,national,,,,,,,
Basketball,male,,,NBA,United States,1947,,,,United States,Golden State Warriors,eastern,,,,Chicago Stags,western,,,,,,,
Basketball,male,,,NBA,United States,1948,,,,United States,Baltimore Bullets,western,,,,Golden State Warriors,eastern,,,,,,,
Basketball,male,,,NBA,United States,1949,,,,United States,Los Angeles Lakers,western,,,,Washington Capitols,eastern,,,,,,,
Basketball,male,,,NBA,United States,1950,,,,United States,Los Angeles Lakers,western,,,,Philadelphia 76ers,eastern,,,,,,,
Basketball,male,,,NBA,United States,1951,,,,United States,Sacramento Kings,western,,,,New York Knicks,eastern,,,,,,,
Basketball,male,,,NBA,United States,1952,,,,United States,Los Angeles Lakers,western,,,,New York Knicks,eastern,,,,,,,
Basketball,male,,,NBA,United States,1953,,,,United States,Los Angeles Lakers,western,,,,New York Knicks,eastern,,,,,,,
Basketball,male,,,NBA,United States,1954,,,,United States,Los Angeles Lakers,western,,,,Philadelphia 76ers,eastern,,,,,,,
Basketball,male,,,NBA,United States,1955,,,,United States,Philadelphia 76ers,eastern,,,,Detroit Pistons,western,,,,,,,
Basketball,male,,,NBA,United States,1956,,,,United States,Golden State Warriors,eastern,,,,Detroit Pistons,western,,,,,,,
Basketball,male,,,NBA,United States,1957,,,,United States,Boston Celtics,eastern,,,,Atlanta Hawks,western,,,,,,,
Basketball,male,,,NBA,United States,1958,,,,United States,Atlanta Hawks,western,,,,Boston Celtics,eastern,,,,,,,
Basketball,male,,,NBA,United States,1959,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1960,,,,United States,Boston Celtics,eastern,,,,Atlanta Hawks,western,,,,,,,
Basketball,male,,,NBA,United States,1961,,,,United States,Boston Celtics,eastern,,,,Atlanta Hawks,western,,,,,,,
Basketball,male,,,NBA,United States,1962,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1963,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1964,,,,United States,Boston Celtics,eastern,,,,Golden State Warriors,western,,,,,,,
Basketball,male,,,NBA,United States,1965,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1966,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1967,,,,United States,Philadelphia 76ers,eastern,,,,Golden State Warriors,western,,,,,,,
Basketball,male,,,NBA,United States,1968,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1969,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1970,,,,United States,New York Knicks,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1971,,,,United States,Milwaukee Bucks,western,,,,Washington Wizards,eastern,,,,,,,
Basketball,male,,,NBA,United States,1972,,,,United States,Los Angeles Lakers,western,,,,New York Knicks,eastern,,,,,,,
Basketball,male,,,NBA,United States,1973,,,,United States,New York Knicks,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1974,,,,United States,Boston Celtics,eastern,,,,Milwaukee Bucks,western,,,,,,,
Basketball,male,,,NBA,United States,1975,,,,United States,Golden State Warriors,western,,,,Washington Wizards,eastern,,,,,,,
Basketball,male,,,NBA,United States,1976,,,,United States,Boston Celtics,eastern,,,,Phoenix Suns,western,,,,,,,
Basketball,male,,,NBA,United States,1977,,,,United States,Portland Trail Blazers,western,,,,Philadelphia 76ers,eastern,,,,,,,
Basketball,male,,,NBA,United States,1978,,,,United States,Washington Wizards,eastern,,,,Oklahoma City Thunder,western,,,,,,,
Basketball,male,,,NBA,United States,1979,,,,United States,Oklahoma City Thunder,western,,,,Washington Wizards,eastern,,,,,,,
Basketball,male,,,NBA,United States,1980,,,,United States,Los Angeles Lakers,western,,,,Philadelphia 76ers,eastern,,,,,,,
Basketball,male,,,NBA,United States,1981,,,,United States,Boston Celtics,eastern,,,,Houston Rockets,western,,,,,,,
Basketball,male,,,NBA,United States,1982,,,,United States,Los Angeles Lakers,western,,,,Philadelphia 76ers,eastern,,,,,,,
Basketball,male,,,NBA,United States,1983,,,,United States,Philadelphia 76ers,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1984,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1985,,,,United States,Los Angeles Lakers,western,,,,Boston Celtics,eastern,,,,,,,
Basketball,male,,,NBA,United States,1986,,,,United States,Boston Celtics,eastern,,,,Houston Rockets,western,,,,,,,
Basketball,male,,,NBA,United States,1987,,,,United States,Los Angeles Lakers,western,,,,Boston Celtics,eastern,,,,,,,
Basketball,male,,,NBA,United States,1988,,,,United States,Los Angeles Lakers,western,,,,Detroit Pistons,eastern,,,,,,,
