name,code2,code3
afrikaans,,
albanian,,
amharic,,
arabic,,
armenian,,
azerbaijani,,
basque,,
belarusian,,
bengali,,
bosnian,,
bulgarian,,
burmese,,
cantonese,,
catalan,,
cebuano,,
chichewa,,
croatian,,
czech,,
danish,,
dari,,
dutch,,
english,en,eng
esperanto,,
estonian,,
farsi,,
fillipino,,
finnish,,
french,,
galician,,
georgian,,
german,de,deu
greek,,
gujarati,,
haitian creole,,
hausa,,
hebrew,,
hindi,,
hmong,,
hungarian,,
icelandic,,
igbo,,
indonesian,,
italian,,
japanese,,
javanese,,
kannada,,
kazakh,,
khmer,,
korean,,
kurdish,,
kyrgyz,,
lao,,
laotian,,
latin,,
latvian,,
lithuanian,,
macedonian,,
malagasy,,
malay,,
malayalam,,
maltese,,
mandarin,,
maori,,
marathi,,
mongolian,,
nepali,,
norwegian,,
oromo,,
persian,,
polish,,
portuguese,,
pulaar,,
punjabi,,
romanian,,
russian,,
serbian,,
sesotho,,
sinhala,,
slovak,,
slovenian,,
somali,,
spanish,es,esp
sundanese,,
swahili,,
swedish,,
tagalog,,
tajiki,,
tamil,,
telugu,,
thai,,
tibetan,,
turkish,,
turkmen,,
ukrainian,,
urdu,,
uzbek,,
vietnamese,,
welsh,,
yiddish,,
yoruba,,
zulu,,
